model,year,n,rmse,mae,r2,sign_acc
FT-Transformer,2015,88,272.7947310528641,217.00719452944668,-0.2361705514268586,0.5
FT-Transformer,2016,88,133.27872351371062,98.46154765167238,0.7555951331172299,0.8409090909090909
FT-Transformer,2017,88,117.57092428626795,84.97380199890137,0.7779972733680338,0.8636363636363636
FT-Transformer,2018,87,106.59299362631698,80.88493143377895,0.7555867563710792,0.8620689655172413
FT-Transformer,2019,66,133.96513601262953,108.66757741754707,0.45959172980021124,0.803030303030303
FT-Transformer,2020,60,217.92135071486354,168.57485820770265,0.027370788806135415,0.6666666666666666
FT-Transformer,2021,87,193.21711565622454,151.66530220645595,0.09727033645211847,0.7011494252873564
FT-Transformer,2022,76,206.2233025279289,160.17856711538215,0.34365321374476143,0.7631578947368421
FT-Transformer,2023,82,209.36703278555257,154.92789396518612,0.336869382256339,0.7926829268292683
FT-Transformer,2024,89,192.8708800628714,144.30450813207733,0.06706889140452921,0.651685393258427
