,coef,se,z,p
Intercept,0.1631,0.1706,0.9559,0.3391
C(county)[T.桦南县],0.0465,0.0486,0.9583,0.3379
C(county)[T.甘南县],-0.039,0.0766,-0.51,0.61
C(yr)[T.2023],-0.0451,0.0541,-0.8327,0.405
C(yr)[T.2024],0.0674,0.0636,1.0598,0.2892
dpi100_base,0.0322,0.0155,2.0788,0.0376
plant_soy_lag,0.3145,0.0879,3.5782,0.0003
peer_lag0,0.3119,0.3117,1.0007,0.317
peer_miss,0.3044,0.3164,0.962,0.3361
head_age10,0.0154,0.0134,1.1516,0.2495
head_edu,0.0173,0.0097,1.7752,0.0759
head_male,-0.1173,0.0781,-1.501,0.1334
head_health,-0.1521,0.0589,-2.5839,0.0098
labor_n,-0.0014,0.0099,-0.1406,0.8882
head_age10_miss,0.164,0.2069,0.793,0.4278
head_edu_miss,-0.0338,0.1244,-0.2718,0.7858
head_male_miss,-0.2879,0.1874,-1.5366,0.1244
head_health_miss,-0.0406,0.0485,-0.8365,0.4029
labor_n_miss,0.0354,0.0858,0.4121,0.6803
