情景,谷物产量_万吨,谷物自给率_pct,谷物净贸易_万吨,口粮产量_万吨,口粮自给率_pct,口粮净贸易_万吨
基准,66233.0,98.79,814.0,35326.0,99.08,328.0
S1-Medium,67649.0,100.69,-466.0,36083.0,100.9,-322.0
S1-High,68246.0,101.5,-1005.0,36402.0,101.67,-597.0
S1-Low,67056.0,99.9,70.0,35766.0,100.14,-50.0
S2-Medium,67751.0,100.83,-558.0,36138.0,101.03,-369.0
S2-High,68300.0,101.57,-1054.0,36431.0,101.74,-622.0
S2-Low,67206.0,100.1,-65.0,35846.0,100.33,-119.0
S3-Medium,66963.0,99.77,155.0,35716.0,100.02,-6.0
S3-High,67820.0,100.92,-618.0,36174.0,101.12,-399.0
S3-Low,66317.0,98.9,738.0,35371.0,99.19,289.0
