情景,产量_万吨,产量变化_pct,净贸易_万吨,自给率_pct,面积_亿亩,单产变化_pct
基准,73377.0,—,12595.0,85.35,18.0112,—
S1-Medium,74811.0,1.95,11294.0,86.88,18.0112,1.95
S1-High,75415.0,2.78,10745.0,87.53,18.0112,2.78
S1-Low,74211.0,1.14,11838.0,86.24,18.0112,1.14
S2-Medium,75305.0,2.63,10850.0,87.41,18.0704,2.29
S2-High,76003.0,3.58,10217.0,88.15,18.0916,3.12
S2-Low,74611.0,1.68,11477.0,86.67,18.0493,1.47
S3-Medium,74197.0,1.12,11852.0,86.23,18.0263,1.03
S3-High,75160.0,2.43,10979.0,87.25,18.044,2.24
S3-Low,73472.0,0.13,12509.0,85.45,18.013,0.12
