情景,产量_万吨,产量变化_pct,净贸易_万吨,自给率_pct,面积_亿亩,单产变化_pct
基准,73377.0,—,12595.0,85.35,18.0112,—
S1-Medium,75069.0,2.31,11078.0,87.14,18.3044,0.67
S1-High,75785.0,3.28,10437.0,87.9,18.4276,0.95
S1-Low,74360.0,1.34,11714.0,86.39,18.1818,0.39
S2-Medium,73995.0,0.84,12033.0,86.01,18.0112,0.84
S2-High,74217.0,1.15,11832.0,86.25,18.0112,1.15
S2-Low,73774.0,0.54,12234.0,85.78,18.0112,0.54
S3-Medium,74348.0,1.32,11725.0,86.38,18.178,0.39
S3-High,75492.0,2.88,10699.0,87.59,18.3737,0.85
S3-Low,73489.0,0.15,12494.0,85.47,18.0305,0.05
