情景,谷物产量_万吨,谷物自给率_pct,谷物净贸易_万吨,口粮产量_万吨,口粮自给率_pct,口粮净贸易_万吨
基准,66233.0,98.79,814.0,35326.0,99.08,328.0
S1-Medium,67762.0,100.82,-552.0,36142.0,101.0,-359.0
S1-High,68408.0,101.68,-1130.0,36487.0,101.81,-650.0
S1-Low,67121.0,99.97,20.0,35800.0,100.2,-71.0
S2-Medium,66792.0,99.54,309.0,35625.0,99.8,71.0
S2-High,66992.0,99.81,128.0,35732.0,100.06,-21.0
S2-Low,66591.0,99.27,490.0,35518.0,99.54,163.0
S3-Medium,67110.0,99.95,30.0,35794.0,100.19,-66.0
S3-High,68143.0,101.33,-893.0,36346.0,101.48,-531.0
S3-Low,66334.0,98.92,723.0,35380.0,99.21,282.0
