维度,变量,系数,SE,p值,显著性,k,文献数
粮食单产,const,-0.0446,0.07,0.5322,,152,24
粮食单产,AMS,-0.0047,0.0217,0.8322,,152,24
粮食单产,AML,0.1529,0.0178,0.0,***,152,24
粮食单产,micro,0.0921,0.0514,0.0899,*,152,24
粮食单产,endog,-0.0076,0.0191,0.6944,,152,24
粮食单产,inv_sqrtN,1.4301,0.6148,0.0319,**,152,24
播种面积,const,0.2255,0.0895,0.0862,*,73,9
播种面积,AMS,-0.1507,0.0639,0.0995,*,73,9
播种面积,AML,0.0588,0.0405,0.2419,,73,9
播种面积,micro,-0.0335,0.0108,0.0537,*,73,9
播种面积,endog,0.1095,0.0336,0.0471,**,73,9
播种面积,inv_sqrtN,-1.096,1.5631,0.5337,,73,9
生产效率,const,0.0266,0.0434,0.5518,,170,18
生产效率,AMS,0.0606,0.0498,0.2474,,170,18
生产效率,AML,-0.0063,0.0511,0.9047,,170,18
生产效率,micro,-0.036,0.0526,0.5074,,170,18
生产效率,endog,0.0463,0.0869,0.6035,,170,18
生产效率,inv_sqrtN,1.6741,0.9356,0.0988,*,170,18
