specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,a1,.2008907889984299,.060966551,3.2950985,.00098387199,.081398547,.32038304
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,a2,.0511011482168652,.01304529,3.9172108,.000089579451,.025532851,.076669447
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,a3,.2673981770483648,.048400603,5.5246868,3.3007375e-08,.17253473,.36226162
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,a4,.0713582880396956,.02680338,2.662287,.0077611669,.018824631,.12389194
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,a5,.1810594548496603,.027070872,6.6883492,2.2570191e-11,.12800153,.23411739
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,b1_1,-.1106744717055395,.12896787,-.85815543,.39080665,-.36344683,.14209789
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,b2_1,-.0016808860452723,.016879955,-.09957882,.92067873,-.03476499,.031403221
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,b3_1,.0891091478362191,.06921161,1.2874885,.19792409,-.046543114,.22476141
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,b4_1,-.0051108012270888,.025126636,-.20340173,.83882105,-.054358102,.044136502
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,b5_1,-.0090529390550671,.031117413,-.29092839,.77110606,-.070041947,.051936071
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g1_1,.1330160823071483,.040403813,3.2921667,.00099418685,.053826064,.2122061
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g1_2,-.0166271093569328,.012407866,-1.3400458,.18023047,-.040946081,.0076918625
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g1_3,-.0330730632857997,.027813328,-1.1891085,.23439699,-.087586187,.021440057
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g1_4,-.0111113055253314,.013649204,-.81406254,.41560915,-.037863255,.015640642
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g1_5,-.033324266005803,.013570606,-2.455621,.014064138,-.059922166,-.0067263669
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g2_2,.0421269451085532,.016338062,2.5784543,.0099243419,.010104934,.07414896
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g2_3,-.0010147644554765,.014127705,-.071827978,.94273883,-.028704558,.026675029
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g2_4,-.0031190535694778,.0046475464,-.67111832,.50214511,-.012228077,.0059899697
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g2_5,-.0032597003680529,.0064399554,-.50616819,.61273861,-.015881781,.00936238
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g3_3,.1410213219944418,.032716569,4.3103943,.000016296359,.076898023,.20514461
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g3_4,-.0177365588302872,.016903054,-1.0493109,.29403505,-.050865937,.015392818
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g3_5,-.0205578557574981,.015818343,-1.2996213,.19373076,-.051561236,.010445525
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g4_4,.058546006410244,.022707773,2.5782363,.0099306041,.014039589,.10305242
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g4_5,-.0099708337078718,.0071108365,-1.4022026,.16085474,-.023907818,.0039661499
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,g5_5,.0888819219956103,.023620846,3.7628593,.00016798165,.042585913,.13517793
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_1,.0204800911318992,.016723461,1.2246323,.22071379,-.012297291,.053257473
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_2,-.0842759520731725,.060780972,-1.3865515,.16557854,-.20340447,.034852564
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_3,.0081995487992335,.027837941,.2945458,.76834089,-.046361815,.062760912
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_4,-.0032885065311235,.013349007,-.24634841,.80541253,-.029452078,.022875065
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_5,.0263141710824994,.021565247,1.2202119,.22238457,-.015952937,.068581283
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_6,.0144966243867397,.010494947,1.3812957,.16718806,-.006073093,.03506634
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_7,-.0197958135471738,.015497603,-1.2773468,.20147982,-.050170556,.010578929
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_8,-.1062575117824017,.12068781,-.8804329,.37862486,-.34280127,.13028623
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_9,.1005267030841053,.1238616,.81160504,.41701829,-.14223759,.34329098
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_10,.0686700141009452,.058633339,1.1711769,.24152766,-.046249218,.18358925
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_11,-.1200540381969208,.10742519,-1.1175594,.2637552,-.33060354,.090495467
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_12,.0498160188825091,.095776103,.52012992,.60297304,-.13790169,.23753373
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_13,-.1131228618135546,.073983155,-1.5290353,.12625568,-.25812718,.031881459
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_14,-.0136344137302415,.034476589,-.39546874,.69249701,-.08120729,.05393846
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_15,-.153869198131345,.1777178,-.86580628,.38659641,-.5021897,.1944513
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t1_16,.0046488131362343,.029232739,.15902764,.87364709,-.052646302,.061943926
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_1,.0003757052530475,.0019282086,.19484679,.84551287,-.0034035142,.0041549248
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_2,.0030168907242186,.01003934,.30050689,.76379055,-.016659852,.022693634
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_3,.0070929132089621,.0074356124,.95391107,.34012866,-.0074806195,.021666447
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_4,-.0012792316473544,.0036085728,-.35449794,.72296572,-.0083519043,.0057934411
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_5,-.003046534729625,.0056972033,-.53474212,.59282815,-.014212849,.0081197787
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_6,-.0026357827536361,.0028763798,-.91635418,.35948116,-.0082733836,.0030018182
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_7,-.0039731723695667,.0036486804,-1.0889341,.27618295,-.011124454,.0031781096
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_8,.0118841166238548,.047578271,.24978034,.8027572,-.081367582,.10513581
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_9,-.0143484940637127,.048757676,-.29428175,.76854259,-.10991178,.081214793
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_10,-.0107447056603373,.013796448,-.77880234,.43609616,-.037785247,.016295835
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_11,-.0030515069039707,.014752217,-.20685074,.83612645,-.031965319,.025862306
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_12,-.0145710812551607,.021772616,-.66923892,.50334311,-.057244625,.028102461
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_13,-.0052742745721854,.016747342,-.31493202,.75281328,-.038098462,.027549913
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_14,-.0101982141326234,.012313132,-.82823884,.40753525,-.034331508,.013935082
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_15,-.0068695239021737,.016210912,-.42375925,.67174137,-.038642328,.024903279
"""geasi_order1_gmm_onestep""",easi,gmm,1,1,1,t2_16,-.020440716195047,.016021365,-1.2758411,.2020117,-.051842015,.010960583
