specification,diagnostic,value,threshold,passed
expenditure_exogenous,adding_up_homogeneity_symmetry_imposed,1,1,1
expenditure_exogenous,adding_up_max_abs_error,0,9.9999999e-09,1
expenditure_exogenous,negative_hicksian_own_elasticities,.6963044273691914,1,0
expenditure_exogenous,positive_expenditure_elasticities,.9978046103183315,1,0
expenditure_exogenous,positive_fitted_share_rate,.9790624999999999,1,0
expenditure_exogenous,slutsky_max_eigenvalue,.0066490368155676,0,0
expenditure_exogenous,slutsky_symmetry_max_abs_error,4.23509667548e-12,.000099999997,1
income_inverse_only,adding_up_homogeneity_symmetry_imposed,1,1,1
income_inverse_only,adding_up_max_abs_error,0,9.9999999e-09,1
income_inverse_only,negative_hicksian_own_elasticities,.6926021076915011,1,0
income_inverse_only,positive_expenditure_elasticities,.985004980863,1,0
income_inverse_only,positive_fitted_share_rate,.9625,1,0
income_inverse_only,slutsky_max_eigenvalue,.0072785146944343,0,0
income_inverse_only,slutsky_symmetry_max_abs_error,1.99313851014e-11,.000099999997,1
income_log_and_inverse,adding_up_homogeneity_symmetry_imposed,1,1,1
income_log_and_inverse,adding_up_max_abs_error,0,9.9999999e-09,1
income_log_and_inverse,negative_hicksian_own_elasticities,.6923926767676768,1,0
income_log_and_inverse,positive_expenditure_elasticities,.977114898989899,1,0
income_log_and_inverse,positive_fitted_share_rate,.9440625,1,0
income_log_and_inverse,slutsky_max_eigenvalue,.0063463909405541,0,0
income_log_and_inverse,slutsky_symmetry_max_abs_error,2.39961918391e-10,.000099999997,1
income_log_only,adding_up_homogeneity_symmetry_imposed,1,1,1
income_log_only,adding_up_max_abs_error,0,9.9999999e-09,1
income_log_only,negative_hicksian_own_elasticities,.6903358248236656,1,0
income_log_only,positive_expenditure_elasticities,.975313190862196,1,0
income_log_only,positive_fitted_share_rate,.9403125,1,0
income_log_only,slutsky_max_eigenvalue,.0069062009947606,0,0
income_log_only,slutsky_symmetry_max_abs_error,2.81607674679e-10,.000099999997,1
