specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,a1,.2405897038744433,.015270225,15.755479,0,.21066061,.27051881
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,a2,.0478283041435345,.0053823451,8.8861456,6.3265363e-19,.037279103,.058377508
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,a3,.2483675969534865,.015610442,15.910351,0,.21777169,.27896351
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,a4,.0638442712685058,.0091314102,6.9917207,2.7153488e-12,.045947038,.081741504
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,a5,.1679736942374211,.012733474,13.191505,0,.14301655,.19293085
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,b1_1,-.0779418344688377,.025774907,-3.0239422,.00249504,-.12845972,-.027423944
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,b2_1,-.0046640042939694,.0081572216,-.57176387,.56748194,-.020651864,.011323855
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,b3_1,.0803536939131467,.029169088,2.754755,.0058736098,.023183331,.13752405
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,b4_1,-.0200482612437753,.013843736,-1.4481829,.1475659,-.047181483,.0070849615
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,b5_1,-.035169402866396,.016854499,-2.086648,.036919978,-.068203613,-.0021351934
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g1_1,.1278822849857048,.012501047,10.229726,1.4593154e-24,.10338068,.15238389
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g1_2,-.0111334244269811,.003881145,-2.8685927,.0041230237,-.01874033,-.0035265198
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g1_3,-.0210032334266214,.012055579,-1.7422004,.081473388,-.044631734,.0026252661
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g1_4,-.0174798597034924,.0058311848,-2.9976516,.0027206859,-.028908772,-.0060509476
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g1_5,-.0426593735783516,.0067413151,-6.3280492,2.4828015e-10,-.055872109,-.029446639
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g2_2,.0415902565787922,.0055821831,7.4505358,9.2961852e-14,.030649379,.052531134
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g2_3,-.0056437851455096,.0046814992,-1.2055508,.22799076,-.014819356,.0035317852
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g2_4,-.0047866838512533,.0032475719,-1.473927,.14050125,-.011151807,.0015784398
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g2_5,-.0022265944946687,.0031537747,-.70600939,.48018229,-.0084078787,.0039546899
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g3_3,.1325214402172656,.017572686,7.5413303,4.6520042e-14,.098079607,.16696328
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g3_4,-.0189842809128295,.0071873944,-2.64133,.008258123,-.033071317,-.0048972466
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g3_5,-.0194300121832823,.0088058319,-2.2064936,.027349459,-.036689125,-.0021708983
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g4_4,.0628279719649453,.0075380858,8.3347378,7.7669844e-17,.048053596,.077602349
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g4_5,-.0075339409517949,.0050961701,-1.4783536,.13931316,-.017522251,.0024543686
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,g5_5,.091072300187298,.0093532475,9.7369719,2.0971105e-22,.072740272,.10940433
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_1,.015334804192409,.0040301154,3.8050532,.00014177372,.007435923,.023233686
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_2,-.0418697012679728,.020675506,-2.0250871,.042858418,-.082392946,-.0013464539
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_3,.0106754407386405,.012688115,.84137326,.40013885,-.014192808,.035543691
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_4,-.0095167383121068,.0095325578,-.99834055,.31811425,-.028200207,.0091667306
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_5,.0207585877585715,.012459766,1.6660495,.095703557,-.0036621059,.045179281
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_6,.012491409391139,.0069788219,1.7899023,.073469609,-.0011868299,.026169648
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_7,-.0029662843164104,.0087076789,-.34065157,.73336589,-.020033021,.014100452
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_8,-.0223570473673763,.036932372,-.60535097,.54494584,-.09474317,.050029073
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_9,.0125691017819458,.038107831,.32982987,.74152851,-.062120877,.087259084
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_10,.000774856528898,.019010162,.040760122,.96748716,-.036484379,.038034089
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_11,-.1311751876239239,.030401586,-4.3147483,.000015978494,-.19076121,-.071589172
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_12,-.0168071369584294,.026202513,-.64143229,.5212419,-.068163119,.034548845
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_13,-.1337698348062944,.028216122,-4.7409005,2.1277019e-06,-.18907242,-.07846725
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_14,-.0528140823152761,.01962658,-2.6909468,.0071249572,-.091281474,-.014346692
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_15,-.1476047745857842,.036457095,-4.0487256,.000051497245,-.21905936,-.076150186
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t1_16,-.0265246701397037,.019501658,-1.3601239,.17379072,-.064747214,.011697876
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_1,.0012744241249914,.00131798,.9669525,.33356777,-.0013087693,.0038576175
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_2,-.0060203846017853,.0065933247,-.91310298,.36118838,-.018943064,.0069022942
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_3,.0060513986904368,.004550017,1.3299727,.18352725,-.0028664707,.014969268
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_4,-.0019287623491925,.0030926492,-.62366027,.53285074,-.0079902429,.0041327183
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_5,-.004697225417701,.0045370883,-1.0352951,.30053112,-.013589756,.0041953046
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_6,-.0011961171183302,.0026039241,-.45935175,.64598161,-.006299715,.0039074807
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_7,-.0045947863402213,.0027231104,-1.6873302,.091539875,-.0099319844,.00074241188
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_8,-.0236440447253151,.012846544,-1.8404984,.065695092,-.048822809,.001534719
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_9,.0220619908075103,.013161317,1.6762753,.093684301,-.0037337183,.047857698
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_10,-.0098750082803444,.0065364619,-1.5107573,.13085029,-.022686239,.0029362219
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_11,.0009411887816386,.0099470671,.094619729,.92461687,-.018554704,.020437082
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_12,-.0099610348953678,.008007695,-1.243933,.21352425,-.025655828,.0057337582
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_13,-.0047507013505947,.008683864,-.54707223,.58432907,-.021770762,.01226936
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_14,-.0083829039094317,.0068991524,-1.2150629,.22434211,-.021904994,.005139186
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_15,-.0068372018293362,.011686777,-.58503741,.55852258,-.029742865,.01606846
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t2_16,-.0200145336720245,.0059315846,-3.3742306,.00074022339,-.031640224,-.0083888415
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_1,-.0133346311863775,.0048176623,-2.7678635,.0056425082,-.022777075,-.003892187
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_2,.0063487769708421,.02605585,.24366033,.80749393,-.044719752,.057417303
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_3,-.0140584408157073,.01408725,-.99795502,.31830117,-.04166894,.01355206
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_4,.0230394631354111,.011885185,1.9385027,.05256192,-.00025507106,.046333998
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_5,-.0135884695447903,.016802402,-.80872184,.41867515,-.046520572,.019343633
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_6,-.0122255021124334,.0075574978,-1.6176654,.10573474,-.027037926,.002586921
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_7,.0001648010300842,.010783056,.015283332,.98780614,-.020969601,.021299202
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_8,.0369470605112021,.036512539,1.0119005,.31158561,-.034616202,.10851032
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_9,-.0278044151038771,.038457576,-.72298926,.46968648,-.10317988,.047571052
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_10,.0286374739805128,.023261202,1.2311261,.21827571,-.016953647,.074228592
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_11,.1518526923292121,.031470165,4.8252907,1.3979939e-06,.090172298,.21353309
"""easi_order1_gmm_twostep""",easi,gmm,1,2,1,t3_12,-.0281772283857128,.031531278,-.89362788,.37152103,-.089977399,.033622939
