margin,demand_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,n_valid,support_rate,min_share_floor,system,analysis_sample,structural_interpretation,interpretation
latent,1,.76418513,.72968507,.73948777,.76862139,.093221799,.6696716,.78331774,.84492725,.0022988506,.0017241379,1740,.55805004,0,omitself,full,1,expenditure
latent,2,-.0022182653,.38668159,.4007453,.38760915,10.264132,-.11935548,.55680656,.73765713,.12126437,.022988506,1740,.55805004,0,omitself,full,1,expenditure
latent,3,1.1369556,1.1120636,1.1131603,1.1317343,.088267602,1.087005,1.1182349,1.1942947,0,0,1740,.55805004,0,omitself,full,1,expenditure
latent,4,.79799217,.77522898,.78185397,.80369389,.1109336,.68195707,.82860029,.87923878,.0022988506,0,1740,.55805004,0,omitself,full,1,expenditure
latent,5,18.644457,1.4568827,1.4749748,2.4888878,578.79865,1.263276,1.5691923,4.1003723,0,0,1740,.55805004,0,omitself,full,1,expenditure
latent,6,1.2117983,1.1289005,1.128511,1.1646192,.65722418,1.0770063,1.1237115,1.2918166,0,0,1740,.55805004,0,omitself,full,1,expenditure
latent,1,-.21783482,-.14698382,-.17126785,-.23028372,.20838363,-.36455089,-.27273577,-.033266839,.91724139,.045977011,1740,.55805004,0,omitself,full,1,hicksian_own
latent,2,.72599918,.10132506,.077818185,.098419458,16.313623,-.42513868,-.18516116,.8879202,.67701149,.064942531,1740,.55805004,0,omitself,full,1,hicksian_own
latent,3,-.046517398,-.10868587,-.10976426,-.069228396,.33344856,-.15146591,-.12432163,.08912614,.83160919,.11781609,1740,.55805004,0,omitself,full,1,hicksian_own
latent,4,-.14857046,-.074304663,-.099185459,-.17040299,.38220578,-.39362767,-.26161098,.22013886,.82356322,.048850574,1740,.55805004,0,omitself,full,1,hicksian_own
latent,5,40.372822,.18508707,.22090435,2.5940211,1352.6965,-.25365099,.40778381,6.4302602,.28390804,.067816094,1740,.55805004,0,omitself,full,1,hicksian_own
latent,6,.76776445,.20725143,.20076902,.42774287,4.7803879,-.074125446,.12860189,1.1856549,.27701148,.20862068,1740,.55805004,0,omitself,full,1,hicksian_own
unconditional,1,.7862311,.74415678,.75456959,.789846,.081212707,.7003293,.8035897,.85946244,.00068989309,.00034494654,2899,.92976266,0,omitself,full,1,expenditure
unconditional,2,-22.439236,.35531029,.38081607,.394649,1198.7656,-.40956867,.67913395,1.0040931,.14349777,.014487755,2899,.92976266,0,omitself,full,1,expenditure
unconditional,3,1.0391428,1.0650153,1.0636278,1.0393357,.051878966,.96534348,1.0526894,1.0940862,0,0,2899,.92976266,0,omitself,full,1,expenditure
