system,structural_interpretation,test,statistic,df,p_value
self,0,demographics_joint_zero,73.674995,45,.0044647059
self,0,all_share_shifters_joint_zero,581.98492,80,0
self,0,Shonkwiler_Yen_terms_joint_zero,22.460289,5,.00042793981
self,0,Hansen_overidentification,25.770905,15,.040500771
self,0,excluded_instruments_first_stage,2.4324389,,.08926864
self,0,theory_restrictions_imposed,1,,
omitself,1,demographics_joint_zero,78.484489,45,.0014682868
omitself,1,all_share_shifters_joint_zero,302.22281,80,1.5293016e-27
omitself,1,Shonkwiler_Yen_terms_joint_zero,8.6857662,4,.069452122
omitself,1,Hansen_overidentification,18.499649,16,.29546067
omitself,1,excluded_instruments_first_stage,17.750244,,4.4557311e-08
omitself,1,theory_restrictions_imposed,1,,
buy,1,demographics_joint_zero,89.028992,45,.00010109045
buy,1,all_share_shifters_joint_zero,301.55994,80,1.9569010e-27
buy,1,Shonkwiler_Yen_terms_joint_zero,9.0383558,4,.060147893
buy,1,Hansen_overidentification,23.369137,16,.1042173
buy,1,excluded_instruments_first_stage,17.920412,,3.8167670e-08
buy,1,theory_restrictions_imposed,1,,
total,1,demographics_joint_zero,109.45989,45,2.7218036e-07
total,1,all_share_shifters_joint_zero,608.17413,80,0
total,1,Shonkwiler_Yen_terms_joint_zero,2.3559542,1,.1248055
total,1,Hansen_overidentification,28.731956,19,.070319876
total,1,excluded_instruments_first_stage,9.1754379,,.00012991556
total,1,theory_restrictions_imposed,1,,
