margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,.7641851233388427,.72968507,.73948777,.76862139,.093221799,.6696716,.78331774,.84492725,.0022988506,.0017241379,-.2067503,.89906603,1740,.55805004,0
latent,expenditure,2,0,-.0022182652281633,.38668159,.4007453,.38760915,10.264132,-.11935548,.55680656,.73765713,.12126437,.022988506,-418.02979,.85056436,1740,.55805004,0
latent,expenditure,3,0,1.136955642117495,1.1120636,1.1131603,1.1317343,.088267602,1.087005,1.1182349,1.1942947,0,0,1.0616381,2.6368613,1740,.55805004,0
latent,expenditure,4,0,.7979921853029061,.77522898,.78185397,.80369389,.1109336,.68195707,.82860029,.87923878,.0022988506,0,-.52648401,.91930652,1740,.55805004,0
latent,expenditure,5,0,18.64445694081208,1.4568827,1.4749748,2.4888878,578.79865,1.263276,1.5691923,4.1003723,0,0,1.1436831,24099.037,1740,.55805004,0
latent,expenditure,6,0,1.21179836223402,1.1289005,1.128511,1.1646192,.65722418,1.0770063,1.1237115,1.2918166,0,0,1.0534481,18.203974,1740,.55805004,0
latent,marshallian,1,1,-.3568499502853191,-.26341558,-.2894572,-.36891603,.24981412,-.57309753,-.40791619,-.10802697,.94137931,.028735632,-.71335059,2.3966687,1740,.55805004,0
latent,hicksian,1,1,-.2178348150105863,-.14698382,-.17126785,-.23028372,.20838363,-.36455089,-.27273577,-.033266839,.91724139,.045977011,-.3806676,2.3907719,1740,.55805004,0
latent,marshallian,2,1,-.1286935362307421,-.10421772,-.10160056,-.095308162,.49348274,-.20469967,-.062180068,-.018957796,.97873563,.3867816,-15.799553,.019816654,1740,.55805004,0
latent,hicksian,2,1,-.1355756400614935,-.037278686,-.03378978,-.017176297,3.1141217,-.21825407,.027819365,.14707564,.39367816,.31264368,-126.66273,.32790726,1740,.55805004,0
latent,marshallian,3,1,-.1420227290004693,-.11235834,-.11354091,-.13597928,.098059557,-.20644043,-.12127751,-.086355843,1,0,-1.8724862,-.06143038,1740,.55805004,0
latent,hicksian,3,1,.0605024907920142,.047122482,.047171183,.063204885,.072194092,.0019508173,.065701827,.12147707,.092528738,.34080461,-1.0444288,.23284981,1740,.55805004,0
latent,marshallian,4,1,-.0942931997087834,-.11130522,-.10701811,-.091159627,.058975719,-.15025206,-.079418957,-.050661623,1,.093103446,-.84522516,-.027824076,1740,.55805004,0
latent,hicksian,4,1,.0474600714945714,.004980816,.01051241,.050491747,.097582877,-.053842284,.058012497,.14522764,.23390804,.34770116,-.87672675,.3017571,1740,.55805004,0
latent,marshallian,5,1,-8.575804587233549,-.19746707,-.20537169,-.70660007,283.38721,-1.5172361,-.26209396,-.11685979,1,0,-11798.736,-.052799981,1740,.55805004,0
latent,hicksian,5,1,-4.718488171068961,.014516444,.013027611,-.24372843,160.26001,-.69508427,.0044708825,.098202094,.4816092,.3321839,-6672.1914,.28110185,1740,.55805004,0
latent,marshallian,6,1,-.2559752016879279,-.15176256,-.15167627,-.19873391,.79303348,-.35585588,-.14913779,-.090602763,1,0,-20.2418,-.059678026,1740,.55805004,0
latent,hicksian,6,1,-.040527412017897,.014555491,.015479312,.0064316113,.67832291,-.11755189,.034182459,.11470307,.33103448,.42413792,-17.057907,.23575923,1740,.55805004,0
latent,marshallian,1,2,-.0570671921659072,-.069763541,-.066918887,-.055712536,.031677872,-.090480767,-.05132968,-.028161757,1,.47643679,-.39358971,-.0063766344,1740,.55805004,0
latent,hicksian,1,2,.0139706719332343,-.014532418,-.011053465,.014815046,.06557256,-.062359836,.01471406,.090406828,.39367816,.59367818,-.3990078,.2205015,1740,.55805004,0
latent,marshallian,2,2,.674193686311907,.056228474,.03312701,.04719007,16.318766,-.53442073,-.23480467,.8912937,.69310343,.056321841,-.73137254,664.28259,1740,.55805004,0
latent,hicksian,2,2,.7259991689011465,.10132506,.077818185,.098419458,16.313623,-.42513868,-.18516116,.8879202,.67701149,.064942531,-.49582297,664.24268,1740,.55805004,0
latent,marshallian,3,2,-.0126137039200786,-.0067976732,-.0069322437,-.011320494,.020124719,-.022520756,-.0094175925,-.0029547687,.98735631,.98390806,-.40970522,.0016754852,1740,.55805004,0
latent,hicksian,3,2,.0916044611337924,.068064637,.069061935,.090987772,.045371626,.035149258,.088243648,.15081853,0,.17873563,.0010860538,.28105476,1740,.55805004,0
latent,marshallian,4,2,-.0948403691574574,-.11027171,-.10611369,-.091682501,.057866737,-.15108389,-.079418041,-.053519633,1,.059195403,-.78227007,-.036123425,1740,.55805004,0
latent,hicksian,4,2,-.0220651544824175,-.055205408,-.050811425,-.019396173,.082260735,-.10626074,-.013125117,.062159345,.58563221,.57873565,-.80651587,.17461276,1740,.55805004,0
latent,marshallian,5,2,-10.0861767195883,-.23532705,-.24523492,-.82121599,331.45953,-1.7877612,-.30574468,-.13684343,1,0,-13799.865,-.068249747,1740,.55805004,0
latent,hicksian,5,2,-7.644573234224237,-.14299616,-.1448179,-.57281196,253.24446,-1.2545666,-.17531785,-.036490541,.98160917,.13850574,-10543.654,.043007448,1740,.55805004,0
latent,marshallian,6,2,-.2243988643086461,-.13322096,-.13321052,-.17490715,.70000899,-.31279218,-.13006607,-.078029886,1,0,-17.952082,-.053528178,1740,.55805004,0
latent,hicksian,6,2,-.1125536859015937,-.056450855,-.055040695,-.068647586,.63334656,-.18101017,-.041472521,.019580811,.81839079,.53218389,-16.020567,.17151093,1740,.55805004,0
latent,marshallian,1,3,-.1297431827516849,-.14354403,-.13840482,-.12706067,.049860749,-.17648563,-.11814636,-.090297736,1,0,-.7121709,-.062634215,1740,.55805004,0
latent,hicksian,1,3,.117726798288576,.11404616,.11801735,.12054377,.10173819,.004782937,.12619603,.23216231,.092528738,.18103448,-.79053986,.37216541,1740,.55805004,0
latent,marshallian,2,3,.3416071186145048,.23074931,.22500166,.21265271,3.2098072,.067439742,.15069868,.41352051,0,.0454023,.0050600921,129.62352,1740,.55805004,0
latent,hicksian,2,3,.3361004382759438,.36880991,.36573759,.33436346,.12350447,.20704351,.33760831,.45339316,0,.0022988506,.026095653,3.4320073,1740,.55805004,0
latent,marshallian,3,3,-.414188273898055,-.52384096,-.51969451,-.43743223,.39105594,-.636473,-.49820951,-.15379214,.94022989,.017241379,-.7406128,6.1666317,1740,.55805004,0
latent,hicksian,3,3,-.0465173978994105,-.10868587,-.10976426,-.069228396,.33344856,-.15146591,-.12432163,.08912614,.83160919,.11781609,-.15213735,6.2323818,1740,.55805004,0
latent,marshallian,4,3,-.1064984882761146,-.11240479,-.10963852,-.10323093,.061141182,-.17271411,-.088509813,-.063260354,1,.0086206896,-.89860702,-.042222392,1740,.55805004,0
latent,hicksian,4,3,.1542524337067676,.16619636,.1684089,.15784298,.12809305,-.0039797458,.17085557,.29057211,.10574713,.1,-1.0561383,.40540093,1740,.55805004,0
latent,marshallian,5,3,-16.25347173390348,-.41501528,-.42842081,-1.2445906,543.65167,-2.5939858,-.49920231,-.24472284,1,0,-22638.365,-.13850021,1740,.55805004,0
latent,hicksian,5,3,-9.202524648543761,.12335721,.10940491,-.48964527,312.03778,-1.4044526,-.014849071,.25783148,.51781607,.12701149,-12991.239,.50229102,1740,.55805004,0
latent,marshallian,6,3,-.9291816246230269,-.56368756,-.56218892,-.71879178,2.9849074,-1.2674215,-.53445864,-.32680362,1,0,-75.949303,-.22669972,1740,.55805004,0
latent,hicksian,6,3,-.5175769045768057,-.16713321,-.1688453,-.33216175,2.6242521,-.76537311,-.18633084,-.019152453,.93160921,.14597701,-66.656731,.12224007,1740,.55805004,0
latent,marshallian,1,4,-.0556869568997947,-.068897553,-.065537453,-.054231659,.029083595,-.085169442,-.050132368,-.03062257,1,.49712643,-.38554505,-.014739808,1740,.55805004,0
latent,hicksian,1,4,.0368439583250892,.0066228556,.010949017,.038086373,.058827441,-.030983657,.041206073,.10598253,.23390804,.52068967,-.39854228,.18550579,1740,.55805004,0
latent,marshallian,2,4,-.1928183871110078,-.11927805,-.11639997,-.10947149,2.3181841,-.20965008,-.077379636,-.037952565,1,.21264368,-95.353699,-.01541077,1740,.55805004,0
latent,hicksian,2,4,-.1755854311910902,-.078157768,-.07395117,-.061879199,2.9509931,-.22604758,-.01742355,.068172365,.58563221,.46724138,-120.15795,.14550062,1740,.55805004,0
latent,marshallian,3,4,-.0785518926935816,-.062381864,-.063103601,-.075568445,.050538044,-.11422157,-.068249263,-.04871171,1,.13275862,-.93857759,-.032686844,1740,.55805004,0
latent,hicksian,3,4,.0581962738568069,.049093496,.048893332,.059965674,.052978359,-.00099641201,.064774841,.11056583,.10574713,.33678162,-.57872081,.18116593,1740,.55805004,0
latent,marshallian,4,4,-.247856263453988,-.1602333,-.18650992,-.27057567,.41314903,-.54434699,-.36163533,.1763043,.84597701,.039655171,-.68495232,4.7127137,1740,.55805004,0
latent,hicksian,4,4,-.1485704621642343,-.074304663,-.099185459,-.17040299,.38220578,-.39362767,-.26161098,.22013886,.82356322,.048850574,-.45223114,4.7058158,1740,.55805004,0
latent,marshallian,5,4,-10.58988840499586,-.26832131,-.28041461,-.92033774,344.47195,-1.9354897,-.34649277,-.15476425,1,0,-14340.501,-.074749835,1740,.55805004,0
latent,hicksian,5,4,-8.232030925903995,-.12980174,-.13138857,-.58591235,273.44101,-1.3560302,-.15630952,-.035967801,.97068965,.16034482,-11384.497,.072268687,1740,.55805004,0
latent,marshallian,6,4,-.1605817675013735,-.095354609,-.095107235,-.1246408,.49979195,-.21857682,-.094268151,-.057046723,1,.04770115,-13.26244,-.040343899,1740,.55805004,0
latent,hicksian,6,4,-.0147775939179713,.021163698,.021628395,.014123512,.42245796,-.068780139,.030800503,.099334486,.30517241,.52758622,-10.548239,.17519844,1740,.55805004,0
latent,marshallian,1,5,-.0385686262735443,-.040695556,-.039878093,-.037997074,.015635911,-.055975284,-.035701089,-.023971263,1,.85114944,-.1856952,-.0061609074,1740,.55805004,0
latent,hicksian,1,5,.0032953587705311,.010968063,.01041227,.0034566468,.038494065,-.040447906,.0013253476,.053957101,.4816092,.82413793,-.18414614,.14309189,1740,.55805004,0
latent,marshallian,2,5,-.2653448299688738,-.16917984,-.16513358,-.17032968,2.4275463,-.3039667,-.12617254,-.075357802,1,.0011494253,-98.463326,-.046512831,1740,.55805004,0
latent,hicksian,2,5,-.2834117306980239,-.14809756,-.14468698,-.15279917,3.3852446,-.32300285,-.10192394,-.030705279,.98160917,.18620689,-137.97118,.034087919,1740,.55805004,0
latent,marshallian,3,5,-.0634464858466563,-.054543883,-.054738808,-.061154064,.036951784,-.088818073,-.055863764,-.04137237,1,.3275862,-.68009889,-.03286089,1740,.55805004,0
latent,hicksian,3,5,-.0005131051185926,.028340353,.022977719,.00079548941,.057482503,-.056336742,-.0023467096,.068031289,.51781607,.70459771,-.64869577,.17109063,1740,.55805004,0
latent,marshallian,4,5,-.1264235314575407,-.13925402,-.13566817,-.12299706,.065293267,-.19228806,-.10915289,-.078268968,1,0,-.93482763,-.054070987,1740,.55805004,0
latent,hicksian,4,5,-.0836573814989947,-.090771273,-.088366352,-.080384366,.070119061,-.14462827,-.072721452,-.024653627,.97068965,.26896551,-.98247671,.05576136,1740,.55805004,0
latent,marshallian,5,5,40.28733551442181,.062500961,.10692018,2.509119,1352.6982,-.39374796,.3266027,6.3913307,.34885058,.056896552,-.68069136,56318.039,1740,.55805004,0
latent,hicksian,5,5,40.3728218288725,.18508707,.22090435,2.5940211,1352.6965,-.25365099,.40778381,6.4302602,.28390804,.067816094,-.44940948,56318.07,1740,.55805004,0
latent,marshallian,6,5,-.1526889843664393,-.09349782,-.093138255,-.11800488,.49180183,-.21187679,-.08710403,-.053501409,1,.061494254,-11.976954,-.038261935,1740,.55805004,0
latent,hicksian,6,5,-.0823288742360632,-.019386545,-.021808447,-.05300872,.43002644,-.13324739,-.039227992,.023200791,.78735632,.55574715,-10.925694,.13159618,1740,.55805004,0
latent,marshallian,1,6,-.1262692155470044,-.14336883,-.1391879,-.12450654,.04871377,-.18183458,-.11801302,-.078016341,1,.0045977011,-.58879238,-.044634096,1740,.55805004,0
latent,hicksian,1,6,.0459980271087438,.029879149,.034766592,.047193296,.11050013,-.082710214,.046581462,.18038212,.33103448,.33850574,-.66153872,.33909744,1740,.55805004,0
latent,marshallian,2,6,-.4267257889010782,-.28098378,-.27639696,-.27128696,4.2870317,-.47065115,-.20815463,-.12491614,1,0,-176.16226,-.054847158,1740,.55805004,0
latent,hicksian,2,6,-.4675268077399361,-.20660096,-.19861721,-.20067134,6.9422073,-.52347702,-.10618955,.048284359,.81839079,.24137931,-282.88281,.25989711,1740,.55805004,0
latent,marshallian,3,6,-.4261325564158789,-.35214093,-.35534409,-.40952742,.27689514,-.61467266,-.36837631,-.26601186,1,0,-4.9260206,-.18793409,1740,.55805004,0
latent,hicksian,3,6,-.1632727224218353,-.083935089,-.08847902,-.15012313,.22999492,-.30060449,-.13813482,-.017314903,.93160921,.17068966,-4.2684116,.13367781,1740,.55805004,0
latent,marshallian,4,6,-.1280803337476566,-.14175992,-.13669005,-.124304,.070655145,-.20101158,-.11015514,-.071786717,1,.0011494253,-.89068836,-.042475943,1740,.55805004,0
latent,hicksian,4,6,.052580492445673,.049104162,.052599799,.055835467,.1308475,-.09279187,.06152973,.19530801,.30517241,.30574712,-.99358654,.36911753,1740,.55805004,0
latent,marshallian,5,6,-13.42645096680343,-.40325293,-.41482472,-1.282841,428.57449,-2.6310825,-.49515557,-.21287048,1,0,-17839.609,-.10308301,1740,.55805004,0
latent,hicksian,5,6,-10.57520480642228,-.050162818,-.062965497,-.69796509,353.71338,-1.7269213,-.15541486,.0806261,.78735632,.16551724,-14726.489,.30392805,1740,.55805004,0
latent,marshallian,6,6,.5110280807661,-.091377027,-.093221709,.17107429,4.8099356,-.46886253,-.12698731,1.0593215,.60057473,.0637931,-.62964916,121.1786,1740,.55805004,0
latent,hicksian,6,6,.7677644711630376,.20725143,.20076902,.42774287,4.7803879,-.074125446,.12860189,1.1856549,.27701148,.20862068,-.094539769,121.20914,1740,.55805004,0
