group,statistic,value
1,qt1: mean,41.79615817835961
1,qt1: p50,14.08990669250488
1,qt1: p99,257.1428527832031
1,qb1: mean,26.02869357848256
1,qb1: p50,7.257316827774048
1,qb1: p99,197.5855560302734
1,qs1: mean,14.67127541830435
1,qs1: p50,2.142857074737549
1,qs1: p99,165
1,qg1: mean,1.096189203321979
1,qg1: p50,0
1,qg1: p99,34.28571319580078
1,q_reconciliation1: mean,-.9642039690088395
1,q_reconciliation1: p50,-.0855915539683103
1,q_reconciliation1: p99,53.57142857142858
1,fallback_share1: mean,.3002363138504172
1,fallback_share1: p50,.0832098226997732
1,fallback_share1: p99,1
1,price_wedge1: mean,1.010800092535513
1,price_wedge1: p50,.8163265306122448
1,price_wedge1: p99,5.454173313414192
1,source_share_qty1: mean,.3362888384507938
1,source_share_qty1: p50,.2566923402846323
1,source_share_qty1: p99,.9982319214391218
1,total participation rate,.9996827411167513
1,purchase participation rate,.9847715736040609
1,own-consumption participation rate,.7566624365482234
1,robust quantity-tail households,1
1,positive-quantity top-one-percent,30
1,robust local-price-tail households,35
2,qt2: mean,4.578262203047702
2,qt2: p50,1.153846144676208
2,qt2: p99,42.85714340209961
2,qb2: mean,3.657186981740285
2,qb2: p50,.8364944159984589
2,qb2: p99,34.28571319580078
2,qs2: mean,.8442953371086517
2,qs2: p50,0
2,qs2: p99,21.4285717010498
2,qg2: mean,.0767798789939075
2,qg2: p50,0
2,qg2: p99,.8655462265014648
2,q_reconciliation2: mean,.174809622848032
2,q_reconciliation2: p50,0
2,q_reconciliation2: p99,10.71428516932896
2,fallback_share2: mean,.3192633432635862
2,fallback_share2: p50,0
2,fallback_share2: p99,1
2,price_wedge2: mean,1.091668826964016
2,price_wedge2: p50,1
2,price_wedge2: p99,4.5
2,source_share_qty2: mean,.141930023183867
2,source_share_qty2: p50,0
2,source_share_qty2: p99,1
2,total participation rate,.9365482233502538
2,purchase participation rate,.899746192893401
2,own-consumption participation rate,.2712563451776649
2,robust quantity-tail households,146
2,positive-quantity top-one-percent,28
2,robust local-price-tail households,30
3,qt3: mean,17.70996648594583
3,qt3: p50,6.546097755432129
3,qt3: p99,122.2561950683594
3,qb3: mean,12.73204057730396
3,qb3: p50,4.658999919891357
3,qb3: p99,92.03121185302734
3,qs3: mean,4.111063746901803
3,qs3: p50,0
