specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,a1,.2081596399887106,.019198576,10.842452,2.1658735e-27,.17053112,.24578816
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,a2,.075620921439019,.023531666,3.2135813,.0013109064,.029499706,.12174214
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,a3,.3171151817617153,.026381973,12.020146,2.7847794e-33,.26540747,.3688229
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,a4,.0793612878173707,.0082904948,9.5725632,1.0428761e-21,.063112214,.095610358
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,a5,.1373290153553528,.014455127,9.5003672,2.0915112e-21,.10899749,.16566055
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,b1_1,-.1123707064939851,.031748489,-3.5394032,.00040103291,-.17459661,-.05014481
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,b2_1,-.0271327077334454,.012311753,-2.2038054,.027538028,-.051263299,-.003002116
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,b3_1,.1527754433118451,.042888779,3.5621309,.00036785696,.068714984,.23683591
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,b4_1,-.0182191578085472,.013075872,-1.3933417,.16351651,-.043847397,.0074090813
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,b5_1,-.0528408877846201,.020334288,-2.5986102,.0093601989,-.092695363,-.012986416
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g1_1,-8.33333333334e-09,.01842236,-4.5234884e-07,.99999964,-.036107171,.036107153
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g1_2,1.66666666667e-09,.0059739416,2.7898946e-07,.99999976,-.011708708,.011708711
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g1_3,1.66666666667e-09,.015690295,1.0622278e-07,.99999994,-.030752411,.030752415
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g1_4,1.66666666667e-09,.0068910317,2.4186025e-07,.99999982,-.013506172,.013506176
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g1_5,1.66666666667e-09,.0076196464,2.1873281e-07,.99999982,-.014934232,.014934234
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g2_2,-8.33333333334e-09,.0087516056,-9.5220628e-07,.99999923,-.01715284,.017152824
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g2_3,1.66666666667e-09,.010944139,1.5228851e-07,.99999988,-.021450117,.021450121
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g2_4,1.66666666667e-09,.0042656129,3.9072151e-07,.9999997,-.0083604455,.0083604492
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g2_5,1.66666666667e-09,.0058915978,2.8288872e-07,.99999976,-.011547318,.011547321
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g3_3,-8.33333333334e-09,.026187629,-3.1821642e-07,.99999976,-.051326819,.0513268
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g3_4,1.66666666667e-09,.0074647488,2.2327164e-07,.99999982,-.014630637,.014630641
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g3_5,1.66666666667e-09,.011329709,1.4710587e-07,.99999988,-.02220582,.022205822
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g4_4,-8.33333333334e-09,.0082673747,-1.0079782e-06,.99999923,-.016203765,.016203748
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g4_5,1.66666666667e-09,.0052988618,3.1453294e-07,.99999976,-.010385577,.01038558
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,g5_5,-8.33333333334e-09,.011822356,-7.0487926e-07,.99999946,-.023171401,.023171384
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_1,.0200253814818307,.0061506815,3.2557988,.0011307388,.007970267,.032080498
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_2,-.0316264065178653,.024983678,-1.2658827,.20555505,-.080593511,.017340701
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_3,.0140577387721095,.015240442,.92239702,.35632151,-.01581298,.043928456
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_4,-.0248123550523876,.012422388,-1.99739,.045782831,-.049159791,-.00046492065
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_5,.0196849373414811,.015399241,1.2783056,.20114167,-.010497021,.049866896
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_6,.0160848474036908,.008447987,1.9039857,.056912038,-.00047290337,.032642599
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_7,-.0056197440857266,.010297441,-.5457418,.58524346,-.025802359,.01456287
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_8,.0115323723377738,.036980834,.31184727,.75515658,-.06094873,.084013477
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_9,-.0201670473478335,.036810435,-.54786223,.58378649,-.092314176,.051980078
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_10,.0314060297378824,.0278135,1.1291649,.25882825,-.023107428,.085919484
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_11,-.1299988477025824,.03398712,-3.8249445,.00013080155,-.19661237,-.063385315
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_12,.0117750536081275,.032252666,.36508778,.71504587,-.05143901,.074989118
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_13,-.1369218148102691,.029706256,-4.6091909,4.0423879e-06,-.19514501,-.07869862
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_14,-.0483735290945442,.023831766,-2.0297921,.042377681,-.095082931,-.0016641264
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_15,-.1677554930533514,.039047517,-4.2961884,.000017375978,-.24428722,-.091223769
"""replacement_total_easi_order1_gmm_curva",easi,gmm,1,2,0,t1_16,-.0462612745870828,.024527945,-1.8860641,.059286322,-.094335161,.0018126135
