evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.1949184355432825,.57561857,.17772253,3.2388611,.0012000797,.22728883,.92394829
sample_average,expenditure,2,0,.0083553524847406,-1.0259421,3.8544986,-.26616746,.79011023,-8.5806208,6.5287361
sample_average,expenditure,3,0,.3483892844306221,1.1344341,.07963983,14.244556,0,.97834289,1.2905253
sample_average,expenditure,4,0,.0793858057825335,1.3143631,.24019611,5.4720416,4.4488015e-08,.8435874,1.7851388
sample_average,expenditure,5,0,.1206137492291449,.83927649,.14162368,5.9261031,3.1020786e-09,.56169921,1.1168538
sample_average,expenditure,6,0,.2483373725296764,1.1902304,.12725773,9.3529129,8.5266690e-21,.94080985,1.439651
sample_average,marshallian,1,1,.1949184355432825,-.36580342,.095248349,-3.8405225,.00012277276,-.55248672,-.17912008
sample_average,marshallian,1,2,.1949184355432825,.058534384,.041694574,1.4038849,.16035311,-.023185479,.14025424
sample_average,marshallian,1,3,.1949184355432825,.0065279482,.10616864,.061486594,.95097166,-.20155877,.21461466
sample_average,marshallian,1,4,.1949184355432825,-.07450483,.052434079,-1.4209237,.15533894,-.17727374,.028264083
sample_average,marshallian,1,5,.1949184355432825,-.070974357,.055510912,-1.2785659,.20104997,-.17977375,.037825029
sample_average,marshallian,1,6,.1949184355432825,-.1293983,.067507721,-1.9167928,.055264272,-.261711,.0029143947
sample_average,marshallian,2,1,.0083553524847406,1.6776972,3.7071807,.45255342,.65087038,-5.5882435,8.9436378
sample_average,marshallian,2,2,.0083553524847406,-3.4894507,5.8914642,-.59228921,.55365694,-15.036509,8.0576067
sample_average,marshallian,2,3,.0083553524847406,-3.2335968,8.0179577,-.40329432,.6867317,-18.948505,12.481311
sample_average,marshallian,2,4,.0083553524847406,2.7867498,6.5826235,.42334941,.67204034,-10.114955,15.688455
sample_average,marshallian,2,5,.0083553524847406,-.20221008,.7854889,-.25743213,.7968452,-1.7417401,1.33732
sample_average,marshallian,2,6,.0083553524847406,3.4867527,7.804749,.44674757,.65505731,-11.810274,18.783779
sample_average,marshallian,3,1,.3483892844306221,-.10527116,.051187627,-2.0565743,.039727192,-.20559707,-.0049452535
sample_average,marshallian,3,2,.3483892844306221,-.095601425,.036288098,-2.6345119,.0084258318,-.16672479,-.024478065
sample_average,marshallian,3,3,.3483892844306221,-.56742692,.074931219,-7.5726376,3.6572131e-14,-.71428943,-.42056447
sample_average,marshallian,3,4,.3483892844306221,-.06756404,.052185185,-1.2946976,.19542456,-.16984512,.034717046
sample_average,marshallian,3,5,.3483892844306221,-.12149865,.027392721,-4.4354358,9.1886213e-06,-.17518739,-.06780991
sample_average,marshallian,3,6,.3483892844306221,-.17707187,.04173106,-4.2431674,.000022038706,-.25886324,-.095280491
sample_average,marshallian,4,1,.0793858057825335,-.32692894,.12501907,-2.6150324,.0089218989,-.57196182,-.081896052
sample_average,marshallian,4,2,.0793858057825335,.27375123,.13990626,1.9566761,.050385561,-.00045999599,.54796243
sample_average,marshallian,4,3,.0793858057825335,-.3591941,.20091112,-1.7878259,.073804103,-.75297266,.034584451
sample_average,marshallian,4,4,.0793858057825335,-.54077852,.19899507,-2.7175474,.0065767723,-.93080169,-.15075538
sample_average,marshallian,4,5,.0793858057825335,.074373104,.10112099,.73548639,.46204334,-.12382039,.27256659
sample_average,marshallian,4,6,.0793858057825335,-.43558583,.17395076,-2.5040755,.012277187,-.77652305,-.0946486
sample_average,marshallian,5,1,.1206137492291449,-.16609025,.086059704,-1.9299423,.053613998,-.33476415,.0025836637
sample_average,marshallian,5,2,.1206137492291449,-.029592386,.041984845,-.70483494,.48091298,-.11188117,.052696399
sample_average,marshallian,5,3,.1206137492291449,-.24811557,.093057424,-2.6662631,.0076699653,-.43050477,-.06572637
sample_average,marshallian,5,4,.1206137492291449,.086666174,.066662513,1.3000736,.19357572,-.043989945,.21732229
sample_average,marshallian,5,5,.1206137492291449,-.37487587,.080735087,-4.6432834,3.4291556e-06,-.53311372,-.21663801
sample_average,marshallian,5,6,.1206137492291449,-.10726859,.067855082,-1.5808483,.11391272,-.24026211,.025724921
sample_average,marshallian,6,1,.2483373725296764,-.2213631,.053377129,-4.1471524,.000033663593,-.32598034,-.11674584
sample_average,marshallian,6,2,.2483373725296764,.098795474,.036878254,2.6789629,.0073850569,.026515426,.17107552
sample_average,marshallian,6,3,.2483373725296764,-.26785067,.075466014,-3.5492885,.00038627358,-.41576135,-.11993999
sample_average,marshallian,6,4,.2483373725296764,-.129389,.044160701,-2.9299579,.0033900784,-.21594238,-.042835616
sample_average,marshallian,6,5,.2483373725296764,-.094428621,.033558302,-2.8138676,.0048949383,-.16020168,-.028655557
sample_average,marshallian,6,6,.2483373725296764,-.57599449,.07684999,-7.49505,6.6273186e-14,-.72661775,-.42537129
sample_average,hicksian,1,1,.1949184355432825,-.25360474,.090032183,-2.816823,.0048501231,-.43006459,-.077144898
sample_average,hicksian,1,2,.1949184355432825,.063343883,.041602023,1.5226153,.12785496,-.018194588,.14488235
