margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,.584293897151262,.50849241,.53166282,.60652941,.33177793,.40244284,.65065235,.75721377,.029739777,.010223049,-4.73457,.83048987,1076,.74566877,0
latent,expenditure,2,0,-2.399346951372543,.084234938,.0980037,-.13561031,60.456978,-1.112963,.36040726,.65418613,.26115242,.046468403,-1974.4788,.80398804,1076,.74566877,0
latent,expenditure,3,0,1.163191167591414,1.1437796,1.1448019,1.1619374,.040269632,1.1211669,1.157666,1.2079139,0,0,1.0945659,1.5351819,1076,.74566877,0
latent,expenditure,4,0,1.469861251941524,1.3229676,1.3243442,1.4001875,1.012949,1.1973624,1.332274,1.6407862,0,0,1.1293331,26.243584,1076,.74566877,0
latent,expenditure,5,0,.7047250932081489,.79587936,.80022913,.7761029,1.7365348,.66518247,.8040064,.86798137,.011152416,.001858736,-55.423954,.91026264,1076,.74566877,0
latent,expenditure,6,0,1.27735842947555,1.2049462,1.2061032,1.2348959,.81353277,1.1335447,1.1946162,1.3794681,0,0,1.0964916,26.329239,1076,.74566877,0
latent,marshallian,1,1,-.3466043149355491,-.23938787,-.26819715,-.37669963,.46458155,-.5874579,-.4424569,-.087017894,.92936802,.020446097,-.69499308,6.9622202,1076,.74566877,0
latent,hicksian,1,1,-.2007698867588801,-.12822793,-.15511458,-.23081811,.42167976,-.34518713,-.29817024,-.035492893,.91728622,.039033458,-.34738865,6.8982854,1076,.74566877,0
latent,marshallian,2,1,1.632737112027888,.42697337,.42158756,.54806006,28.793707,.19021302,.33246687,1.0216414,0,0,.11684619,940.237,1076,.74566877,0
latent,hicksian,2,1,1.229567599219284,.4639501,.46407273,.56419688,17.729757,.33207771,.43336362,.81912464,0,0,.24629304,579.52783,1076,.74566877,0
latent,marshallian,3,1,-.0557095815519122,-.039105501,-.040360384,-.054812234,.025858149,-.084082842,-.051514074,-.030391024,1,.47397768,-.30099964,-.011690459,1076,.74566877,0
latent,hicksian,3,1,.2055813277213522,.14332373,.14964364,.20545435,.072834037,.11269125,.20442556,.29932612,0,.020446097,.0031322597,.43602809,1076,.74566877,0
latent,marshallian,4,1,-.5725610020721731,-.36357871,-.36674735,-.48179165,1.3070546,-.7870115,-.38934508,-.22858964,1,0,-31.603371,-.1257734,1076,.74566877,0
latent,hicksian,4,1,-.2293446540975499,-.15347065,-.15099715,-.15941918,.98147589,-.34667802,-.11317051,.019409925,.85780668,.23513012,-24.181459,.16917326,1076,.74566877,0
latent,marshallian,5,1,-.3075789037815838,-.21466672,-.20964342,-.22725824,1.9976195,-.35732707,-.19303791,-.12788388,1,0,-64.894882,-.064414412,1076,.74566877,0
latent,hicksian,5,1,-.1433376215646906,-.074687347,-.068722084,-.053686954,2.2519484,-.25270021,-.023255773,.11404256,.58085501,.33457249,-72.863907,.36744258,1076,.74566877,0
latent,marshallian,6,1,-.4138582291939511,-.28787851,-.28966996,-.34515095,1.3128334,-.57294965,-.28585851,-.19039917,1,0,-40.907204,-.13203231,1076,.74566877,0
latent,hicksian,6,1,-.1176716852261158,-.089893885,-.090304099,-.069637679,.97235572,-.24492183,-.033337399,.063263454,.67565054,.4479554,-30.254686,.18335207,1076,.74566877,0
latent,marshallian,1,2,.0393552916816562,.044066414,.042373735,.037815377,.024822878,.024763424,.034886915,.052741464,0,.88289964,.016790856,.41284898,1076,.74566877,0
latent,hicksian,1,2,.0585932942773569,.057099938,.05588286,.057429858,.023762487,.036507517,.056514613,.078102835,0,.34293681,.018954642,.39892718,1076,.74566877,0
latent,marshallian,2,2,2.396110922454643,-.061818056,-.075916573,.16096538,59.508602,-.64104474,-.34243321,1.1497315,.73420072,.044609666,-.78491151,1943.3199,1076,.74566877,0
latent,hicksian,2,2,2.407833166046611,-.050963446,-.065147594,.17244977,59.507214,-.60659724,-.33210358,1.1403602,.73420072,.044609666,-.71176618,1943.3016,1076,.74566877,0
latent,marshallian,3,2,-.1210236147323068,-.10506164,-.10595378,-.11994749,.030934256,-.15528223,-.11696704,-.088893555,1,0,-.42145339,-.069385029,1076,.74566877,0
latent,hicksian,3,2,-.086182916996177,-.082199171,-.082256883,-.085446715,.024045818,-.11451297,-.081917949,-.061656136,1,.026022306,-.3005994,-.032831311,1076,.74566877,0
latent,marshallian,4,2,.366563777470576,.25565684,.25656056,.31222683,.78524756,.15598141,.26027858,.50007451,0,0,.10448513,19.000689,1076,.74566877,0
latent,hicksian,4,2,.4125120265450713,.28138706,.28334427,.35216823,.84326392,.18567102,.30211258,.54756141,0,0,.1062393,20.775362,1076,.74566877,0
latent,marshallian,5,2,-.0948172562697781,-.066733927,-.065193579,-.071849898,.56368917,-.10890608,-.062797494,-.041288413,1,.267658,-18.303667,-.026447251,1076,.74566877,0
latent,hicksian,5,2,-.0746876961870502,-.049707387,-.048032444,-.049221508,.63971418,-.095062964,-.041896336,-.0048250752,.93029737,.60687733,-20.751657,.041377548,1076,.74566877,0
latent,marshallian,6,2,.0023509257785501,.0048076943,.0046524988,.0028481269,.0095656924,-.0020079638,.0029706655,.0079964409,.19237918,.99535316,-.20658177,.024469426,1076,.74566877,0
latent,hicksian,6,2,.0417919212713265,.028451074,.029516226,.039977223,.04064966,.017376749,.037290957,.06605015,0,.72862452,.0054898551,1.140536,1076,.74566877,0
latent,marshallian,1,3,.1153920679318873,.1426726,.13528919,.1066774,.13917057,.045961458,.087954462,.18899687,0,.13011153,.0042534536,2.5967214,1076,.74566877,0
latent,hicksian,1,3,.2976857020396494,.31564021,.31532431,.29771605,.062979423,.2243779,.29135084,.38007218,0,0,.083351098,.48763284,1076,.74566877,0
latent,marshallian,2,3,-5.395180927670001,-1.5214994,-1.4997388,-1.890896,92.258545,-3.5270536,-1.0916818,-.59096467,1,0,-3012.1831,-.36357519,1076,.74566877,0
latent,hicksian,2,3,-6.47367138643097,-1.5133337,-1.4886054,-1.9739769,119.79346,-3.9470029,-.97899115,-.39820412,1,0,-3913.6692,-.12971658,1076,.74566877,0
latent,marshallian,3,3,-.6077228286272293,-.66061395,-.65761852,-.61099333,.1062329,-.71956748,-.62112463,-.48913661,.99721187,0,-.78899157,.40015596,1076,.74566877,0
