margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
unconditional,expenditure,1,0,-.0831596824836282,.12899761,.15551473,.25380653,8.8552351,-.40506539,.48587012,.69233108,.17747574,.026796117,-431.07059,.78326178,2575,.82584989,0
unconditional,expenditure,2,0,-3.286916819808027,.24792503,.27345613,.26414901,159.4381,-.52102387,.55698109,.81154972,.16349514,.022524271,-8083.8618,.98494679,2575,.82584989,0
unconditional,expenditure,3,0,1.881490096746995,1.3704956,1.374786,1.6760052,3.4345677,1.293308,1.464066,2.285593,0,0,1.2129785,111.7003,2575,.82584989,0
unconditional,expenditure,4,0,.6153275872035605,.6521759,.66290408,.70087314,2.5313108,.50913948,.74722201,.84207815,.021747572,.0034951456,-124.72221,.92107987,2575,.82584989,0
unconditional,expenditure,5,0,.3279097836558326,.48646379,.49959227,.45875758,2.3667164,.065564588,.59537804,.74393803,.085436895,.01592233,-96.257141,.84163415,2575,.82584989,0
unconditional,expenditure,6,0,1.438957207509866,1.2305994,1.2323405,1.3007846,2.6211286,1.1632272,1.2370623,1.5079858,0,0,1.1122299,100.99734,2575,.82584989,0
unconditional,marshallian,1,1,.1999632925381372,.0042244443,-.022083191,-.1285394,8.414259,-.57715046,-.36653903,.57321119,.78485435,.040388349,-.66476572,407.77936,2575,.82584989,0
unconditional,hicksian,1,1,.3083913102759911,.076543935,.052180022,-.020069951,8.399786,-.3243311,-.26215166,.53861094,.77398056,.051262137,-.32838809,407.65939,2575,.82584989,0
unconditional,marshallian,2,1,-2.635865356683363,-.53035885,-.5127877,-.48948157,91.78569,-1.0620383,-.25545427,-.098110437,1,.013203884,-4649.3394,-.011626896,2575,.82584989,0
unconditional,hicksian,2,1,-2.927282936766384,-.46430776,-.44379342,-.3918584,109.65334,-1.1196519,-.1420259,.16895008,.69165051,.14252427,-5555.8467,.46717951,2575,.82584989,0
unconditional,marshallian,3,1,-.4566058096040271,-.12693726,-.12902839,-.32879254,2.1220746,-.72262257,-.19418855,-.085682929,1,.0038834952,-64.412987,-.043191157,2575,.82584989,0
unconditional,hicksian,3,1,.0446409624779758,.042354159,.04215692,.082007833,.66072619,-.016384237,.098626614,.17894296,.13475728,.22912621,-22.024065,.325827,2575,.82584989,0
unconditional,marshallian,4,1,-.2358458898240561,-.22908291,-.22138086,-.17741469,1.7287542,-.31893364,-.13936116,-.074246384,1,.019417476,-85.894447,-.030100461,2575,.82584989,0
unconditional,hicksian,4,1,-.0888849747867433,-.12528034,-.1167006,-.01721238,2.2332456,-.26355663,.016346224,.21038795,.46330097,.20427184,-110.81628,.40344262,2575,.82584989,0
unconditional,marshallian,5,1,-.29900327442783,-.24543475,-.23840527,-.23267943,1.1198609,-.44704017,-.16509925,-.068206467,.99961168,.039999999,-42.204147,.0026492269,2575,.82584989,0
unconditional,hicksian,5,1,-.1924908371253015,-.15853487,-.15132821,-.11448464,1.4210212,-.44188225,-.04727982,.18701744,.59029126,.19029126,-56.7854,.37034836,2575,.82584989,0
unconditional,marshallian,6,1,-.3325521358517352,-.12324709,-.12490749,-.2092268,2.1815672,-.39005563,-.1497692,-.081705749,1,.0023300971,-74.472733,-.042257987,2575,.82584989,0
unconditional,hicksian,6,1,.0167775682489229,.03608549,.035848636,.083205767,1.2590582,-.045587089,.08739309,.23036152,.2023301,.27611649,-45.41037,.36887336,2575,.82584989,0
unconditional,marshallian,1,2,-.133874673016824,-.11575466,-.11234885,-.093234628,.97356349,-.19324462,-.059693612,-.027707195,1,.40077668,-46.615963,-.0016246268,2575,.82584989,0
unconditional,hicksian,1,2,-.1286526225819596,-.1056546,-.10180961,-.076101385,1.3755288,-.2044117,-.04114636,.020816857,.78640777,.5332039,-66.841698,.10713501,2575,.82584989,0
unconditional,marshallian,2,2,6.748006482181909,.62648523,.5737431,.59898305,264.66681,-.47208852,-.046143848,2.1535418,.53087378,.057475727,-.74625027,13408.342,2575,.82584989,0
unconditional,hicksian,2,2,6.77486119286811,.64686376,.59133941,.61785573,264.6655,-.41176048,-.023473972,2.1468565,.51766992,.065631069,-.59595084,13408.316,2575,.82584989,0
unconditional,marshallian,3,2,-.031410344137568,-.0023579157,-.0025365234,-.01898664,.20647043,-.049489811,-.0093361009,.0037596426,.78368932,.90058255,-5.4459252,.010363094,2575,.82584989,0
unconditional,hicksian,3,2,.0660566126759288,.036691602,.037560027,.061177127,.089327343,.02125716,.056207921,.10706494,0,.42446601,.0063735247,2.6460562,2575,.82584989,0
unconditional,marshallian,4,2,-.0164011732163708,-.018342234,-.017628143,-.01242811,.10073975,-.026697677,-.009603248,-.00096371962,.92504853,.97126216,-4.795845,.030912921,2575,.82584989,0
unconditional,hicksian,4,2,.013049478586557,.0032453137,.0039638956,.019953463,.23081081,-.018867597,.019892368,.061080027,.26446602,.80116504,-11.355084,.13632962,2575,.82584989,0
