evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.2065803186142318,.5200299,.13127834,3.961277,.000074549964,.26272908,.7773307
sample_average,expenditure,2,0,.0542022035619592,.64142299,.20169647,3.1801398,.0014720402,.24610516,1.0367408
sample_average,expenditure,3,0,.343999666633905,1.3774588,.10315618,13.353139,0,1.1752764,1.5796412
sample_average,expenditure,4,0,.0719926625482571,.82580441,.17475466,4.7255068,2.2954200e-06,.48329154,1.1683172
sample_average,expenditure,5,0,.1226564779778276,.68695617,.12971133,5.2960382,1.1834198e-07,.43272662,.94118565
sample_average,expenditure,6,0,.2005686706638193,1.1978375,.13614263,8.7984018,1.3877840e-18,.93100286,1.4646721
sample_average,marshallian,1,1,.2065803186142318,-.36761054,.063205101,-5.816153,6.0217271e-09,-.49149024,-.24373081
sample_average,marshallian,1,2,.2065803186142318,-.051244132,.020168398,-2.5408132,.011059497,-.090773471,-.011714799
sample_average,marshallian,1,3,.2065803186142318,.043940075,.076888107,.57148081,.5676738,-.10675784,.19463798
sample_average,marshallian,1,4,.2065803186142318,-.042517483,.02644657,-1.6076748,.10790641,-.094351806,.0093168383
sample_average,marshallian,1,5,.2065803186142318,-.097103193,.03011716,-3.2241817,.0012633326,-.15613174,-.038074642
sample_average,marshallian,1,6,.2065803186142318,-.005494616,.054679517,-.10048765,.91995716,-.1126645,.10167526
sample_average,marshallian,2,1,.0542022035619592,-.22038367,.087509125,-2.5184081,.011788666,-.39189842,-.04886895
sample_average,marshallian,2,2,.0542022035619592,-.20001236,.2938025,-.68077141,.49601614,-.77585471,.37582999
sample_average,marshallian,2,3,.0542022035619592,.078868181,.16035694,.49182892,.62284029,-.23542565,.39316201
sample_average,marshallian,2,4,.0542022035619592,.0036736184,.060443141,.060778085,.95153594,-.11479276,.12214
sample_average,marshallian,2,5,.0542022035619592,-.11252365,.064405963,-1.7470999,.080620013,-.23875703,.013709718
sample_average,marshallian,2,6,.0542022035619592,-.19104511,.15291667,-1.2493412,.21154028,-.49075624,.10866606
sample_average,marshallian,3,1,.343999666633905,-.15074083,.042190552,-3.5728579,.00035310659,-.2334328,-.06804888
sample_average,marshallian,3,2,.343999666633905,-.027467921,.019074136,-1.4400612,.14985009,-.064852543,.0099166967
sample_average,marshallian,3,3,.343999666633905,-.75388259,.071734808,-10.509299,7.8272819e-26,-.89448023,-.61328495
sample_average,marshallian,3,4,.343999666633905,-.064913809,.019234885,-3.3747962,.00073870388,-.10261349,-.027214132
sample_average,marshallian,3,5,.343999666633905,-.10496705,.026428729,-3.9717026,.000071360751,-.15676641,-.053167697
sample_average,marshallian,3,6,.343999666633905,-.27548659,.047374904,-5.8150325,6.0622103e-09,-.36833969,-.18263349
sample_average,marshallian,4,1,.0719926625482571,-.18516937,.076000735,-2.4364157,.014833632,-.33412805,-.036210667
sample_average,marshallian,4,2,.0719926625482571,-.0072280662,.042815086,-.16882056,.86593777,-.091144085,.076687954
sample_average,marshallian,4,3,.0719926625482571,-.12040614,.10794485,-1.1154413,.26466134,-.33197415,.091161869
sample_average,marshallian,4,4,.0719926625482571,-.27496406,.078544647,-3.5007358,.00046397551,-.42890877,-.12101939
sample_average,marshallian,4,5,.0719926625482571,-.034377269,.058628522,-.58635741,.55763537,-.14928706,.080532528
sample_average,marshallian,4,6,.0719926625482571,-.20365949,.10199443,-1.9967706,.045850106,-.4035649,-.0037540731
sample_average,marshallian,5,1,.1226564779778276,-.19802669,.051474344,-3.8470948,.0001195267,-.29891455,-.097138822
sample_average,marshallian,5,2,.1226564779778276,-.052192483,.036137644,-1.4442691,.14866331,-.12302096,.018635999
sample_average,marshallian,5,3,.1226564779778276,-.056855604,.081262536,-.69965333,.48414382,-.21612725,.10241604
sample_average,marshallian,5,4,.1226564779778276,-.010181527,.037591334,-.27084768,.7865082,-.08385919,.063496135
sample_average,marshallian,5,5,.1226564779778276,-.2874772,.061607536,-4.6662664,3.0672186e-06,-.40822574,-.16672863
sample_average,marshallian,5,6,.1226564779778276,-.08222267,.074877776,-1.0980917,.27216443,-.22898042,.064535081
sample_average,marshallian,6,1,.2005686706638193,-.14568102,.046381757,-3.1409121,.0016842267,-.2365876,-.054774441
sample_average,marshallian,6,2,.2005686706638193,-.081787422,.025148988,-3.2521157,.0011454936,-.13107853,-.032496311
sample_average,marshallian,6,3,.2005686706638193,-.41070336,.10460807,-3.9261155,.000086328713,-.61573142,-.2056753
sample_average,marshallian,6,4,.2005686706638193,-.099885739,.03174299,-3.1467025,.0016512288,-.16210085,-.037670627
sample_average,marshallian,6,5,.2005686706638193,-.11294565,.033803515,-3.3412399,.00083405117,-.17919932,-.04669198
sample_average,marshallian,6,6,.2005686706638193,-.3468343,.11204832,-3.0953994,.0019654806,-.56644499,-.12722363
sample_average,hicksian,1,1,.2065803186142318,-.26018259,.058125958,-4.4761858,7.5988369e-06,-.37410739,-.1462578
sample_average,hicksian,1,2,.2065803186142318,-.023057368,.020705566,-1.1135831,.26545808,-.063639529,.017524796
sample_average,hicksian,1,3,.2065803186142318,.22283018,.06170116,3.6114423,.00030449868,.10189813,.34376222
sample_average,hicksian,1,4,.2065803186142318,-.0050791479,.025368206,-.20021708,.8413108,-.054799918,.044641621
sample_average,hicksian,1,5,.2065803186142318,-.033318158,.028097384,-1.18581,.23569734,-.088388018,.021751702
sample_average,hicksian,1,6,.2065803186142318,.098807089,.042035859,2.3505428,.018746052,.016418315,.18119586
sample_average,hicksian,2,1,.0542022035619592,-.087878317,.091487251,-.96055257,.33677718,-.26719004,.091433398
sample_average,hicksian,2,2,.0542022035619592,-.16524582,.2804307,-.58925718,.55568874,-.71487993,.3843883
sample_average,hicksian,2,3,.0542022035619592,.29951748,.16882071,1.7741749,.076034226,-.031365048,.6304
sample_average,hicksian,2,4,.0542022035619592,.049851365,.057383906,.8687343,.38499248,-.062619023,.16232176
sample_average,hicksian,2,5,.0542022035619592,-.033848971,.059011765,-.57359701,.56624055,-.14950991,.081811965
sample_average,hicksian,2,6,.0542022035619592,-.062395744,.13747257,-.45387775,.64991683,-.33183703,.20704556
sample_average,hicksian,3,1,.343999666633905,.13381504,.03617255,3.6993532,.00021614958,.062918149,.20471194
sample_average,hicksian,3,2,.343999666633905,.047193382,.04046791,1.1661927,.24353656,-.032122266,.12650903
sample_average,hicksian,3,3,.343999666633905,-.28003722,.06061377,-4.6200261,3.8369135e-06,-.39883801,-.16123641
sample_average,hicksian,3,4,.343999666633905,.034253117,.017469872,1.9606965,.049914442,.000012796279,.068493433
sample_average,hicksian,3,5,.343999666633905,.063987195,.024123438,2.6524909,.0079900315,.016706126,.11126826
sample_average,hicksian,3,6,.343999666633905,.00078848377,.054091115,.014576956,.9883697,-.10522815,.10680512
sample_average,hicksian,4,1,.0719926625482571,-.01457443,.072761714,-.20030355,.84124321,-.15718478,.12803592
sample_average,hicksian,4,2,.0719926625482571,.037532352,.041537177,.90358454,.36621574,-.043879021,.11894372
sample_average,hicksian,4,3,.0719926625482571,.1636703,.084073566,1.946751,.051564597,-.0011108642,.32845145
sample_average,hicksian,4,4,.0719926625482571,-.21551222,.077140518,-2.7937615,.0052098883,-.36670485,-.064319573
sample_average,hicksian,4,5,.0719926625482571,.066912994,.061977666,1.0796307,.28030667,-.054561,.18838698
sample_average,hicksian,4,6,.0719926625482571,-.038028996,.084334932,-.45092818,.65204132,-.20332243,.12726443
sample_average,hicksian,5,1,.1226564779778276,-.056115061,.047184445,-1.1892704,.23433329,-.14859487,.036364749
sample_average,hicksian,5,2,.1226564779778276,-.014957945,.028336715,-.52786446,.59759343,-.070496887,.040580995
sample_average,hicksian,5,3,.1226564779778276,.17945708,.068778835,2.6091905,.0090756733,.044653036,.31426111
sample_average,hicksian,5,4,.1226564779778276,.039274275,.036419131,1.0783968,.2808567,-.032105912,.11065446
sample_average,hicksian,5,5,.1226564779778276,-.20321757,.064393409,-3.1558752,.0016001737,-.32942632,-.077008799
sample_average,hicksian,5,6,.1226564779778276,.055559214,.058192544,.95474792,.33970517,-.05849608,.16961451
sample_average,hicksian,6,1,.2005686706638193,.10176864,.043352518,2.3474674,.018901521,.016799254,.18673801
sample_average,hicksian,6,2,.2005686706638193,-.01686199,.032327097,-.52160543,.6019451,-.080221936,.04649796
sample_average,hicksian,6,3,.2005686706638193,.0013523456,.092675783,.014592222,.98835748,-.18028885,.18299353
sample_average,hicksian,6,4,.2005686706638193,-.013650231,.030386066,-.44922665,.65326816,-.073205829,.045905367
sample_average,hicksian,6,5,.2005686706638193,.033976879,.035651494,.9530282,.34057578,-.035898767,.10385253
sample_average,hicksian,6,6,.2005686706638193,-.10658564,.087982759,-1.2114377,.22572769,-.27902868,.06585741
