margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
unconditional,expenditure,1,0,.0946464912987812,.21226826,.24452546,.36100212,5.9284344,-.15154158,.5136013,.69782436,.13041575,.024070023,-257.01724,.78699523,2285,.82105643,0
unconditional,expenditure,2,0,.1421334472579376,.26703399,.28754646,.3313491,2.5884712,-.36969745,.571509,.80333865,.14923413,.021881837,-65.732185,.96423531,2285,.82105643,0
unconditional,expenditure,3,0,1.916166678847128,1.4061674,1.4097046,1.7331688,2.7454638,1.3214568,1.5099156,2.395623,0,0,1.2225405,81.228012,2285,.82105643,0
unconditional,expenditure,4,0,.6115246705673454,.58739293,.60111296,.65080863,.64280528,.42034137,.70387018,.81632119,.029759299,.0056892778,-19.029951,.90410841,2285,.82105643,0
unconditional,expenditure,5,0,-.0403117426523579,.30821893,.32465529,.20295466,3.2679536,-.49541742,.46753535,.67682832,.16805251,.023632385,-73.832207,.79137403,2285,.82105643,0
unconditional,expenditure,6,0,1.34383564862009,1.2281027,1.2298319,1.299212,.71886539,1.1655214,1.2333778,1.5077788,0,0,1.1216391,26.378654,2285,.82105643,0
unconditional,marshallian,1,1,.0130012465357937,-.11161316,-.14360797,-.26297784,6.5295229,-.59674555,-.41737798,.25826588,.84288841,.030634573,-.68786025,290.02515,2285,.82105643,0
unconditional,hicksian,1,1,.128205234481708,-.033240791,-.064407103,-.14761423,6.5157771,-.35133365,-.30318695,.24375483,.84070021,.038074397,-.35348257,289.93259,2285,.82105643,0
unconditional,marshallian,2,1,-.5302872079715337,-.4614571,-.44969067,-.40612864,1.7984372,-.85038954,-.23227054,-.11384784,1,.0026258205,-54.373928,-.021333622,2285,.82105643,0
unconditional,hicksian,2,1,-.4477429764233842,-.39169666,-.37749979,-.30235651,2.0876834,-.89380831,-.11125477,.13850279,.69846827,.1868709,-60.507973,.37505442,2285,.82105643,0
unconditional,marshallian,3,1,-.433668103691492,-.12936696,-.131422,-.32938039,1.5516473,-.71043175,-.19782287,-.087247498,1,.0056892778,-41.599415,-.042121805,2285,.82105643,0
unconditional,hicksian,3,1,.0680782409306866,.055781666,.055601504,.095539458,.43138272,.000072946132,.11090697,.18360141,.099781178,.1833698,-12.63609,.32751891,2285,.82105643,0
unconditional,marshallian,4,1,-.1747510022629587,-.20583443,-.19865388,-.1536693,.35217878,-.28890383,-.11901753,-.057422832,1,.061269145,-11.878532,-.0064427131,2285,.82105643,0
unconditional,hicksian,4,1,-.0269507122819798,-.10456797,-.095798887,-.0017981998,.45215619,-.23922579,.03413938,.21171089,.42800876,.21444201,-13.682275,.38213369,2285,.82105643,0
