margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,3.897069366361497,2.3630712,2.4023259,4.1445947,7.4619865,-.11281752,1.4277027,15.139365,.13043478,0,-1.5484861,30.643538,23,.0073458957,0
latent,expenditure,2,0,.3256381011357716,1.3584173,1.3136452,.23589236,3.1373274,-1.0773928,1.3060708,1.8456063,.2173913,.043478262,-13.236973,2.3000445,23,.0073458957,0
latent,expenditure,3,0,.784128258201033,.67324483,.66445202,.74730897,.30769959,.51208872,.69110596,1.1389561,0,0,.21505317,1.5941527,23,.0073458957,0
latent,expenditure,4,0,.0168467046948265,.84970939,.86038506,.61225629,2.9120014,-.73024827,.86494601,.98717117,.13043478,0,-13.082164,1.1883543,23,.0073458957,0
latent,expenditure,5,0,8.430919925318475,3.0937598,3.0937598,8.4309196,16.110758,.61729509,2.5358427,33.503975,.043478262,0,-3.5584531,65.656914,23,.0073458957,0
latent,expenditure,6,0,.8939100976279972,.85531056,.85531056,.89391011,.097945735,.78767824,.8818059,1.0127761,0,0,.70586789,1.0812839,23,.0073458957,0
latent,expenditure,7,0,3.329470625553452,2.0732849,2.0732849,3.3294706,7.2737031,.62519538,1.9113384,3.5808163,0,0,.060279284,36.367615,23,.0073458957,0
latent,expenditure,8,0,2.848117904611405,2.0373986,2.0373986,2.8481178,3.8885844,.73791295,1.9635103,2.8208313,.043478262,0,-.22683682,18.125994,23,.0073458957,0
latent,expenditure,9,0,-2.771609724388227,-1.6813986,-1.6813986,-2.7716098,8.5286703,-18.620361,-.95629406,8.0185127,.60869563,.043478262,-21.559881,9.9568653,23,.0073458957,0
latent,marshallian,1,1,7.822657594403823,2.6899903,2.6899903,7.8226576,16.601763,.13248357,2.63167,16.091526,0,.086956523,.012418,76.824791,23,.0073458957,0
latent,hicksian,1,1,7.89595409470651,2.791496,2.9195509,8.2509098,16.598421,.20959419,2.7149277,16.1043,0,0,.086925268,76.884972,23,.0073458957,0
latent,marshallian,2,1,-.687972338497579,-.36642694,-.36841437,-.71280283,1.2263407,-.79626548,-.36297044,-.21833557,1,0,-6.1614246,-.14170171,23,.0073458957,0
latent,hicksian,2,1,-.6936635558343411,-.31703731,-.33424452,-.71968377,1.3612834,-.9166137,-.40252337,-.19294697,1,0,-6.7997756,-.12121884,23,.0073458957,0
latent,marshallian,3,1,-.2766759145061986,-.2606948,-.26354069,-.28061521,.072932892,-.33342957,-.2683264,-.21830875,1,0,-.54343128,-.1900115,23,.0073458957,0
latent,hicksian,3,1,-.2166750738617895,-.22243127,-.22527456,-.22287808,.051496338,-.28401846,-.21819344,-.17199937,1,0,-.31767625,-.080208831,23,.0073458957,0
