model,evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high,demand_good_name,shock_good_name
EASI GMM-IV two-step (rejected),sample_average,expenditure,1,0,0.1145044328406577,0.88826746,0.47182682,1.8826133,0.059752788,-0.03649611,1.813031,主食及加工品,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,2,0,0.0458136832058281,1.0159461,0.5143044,1.9753789,0.048225161,0.0079279738,2.0239644,豆类及加工品,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,3,0,0.5808841130637639,0.87173957,0.11247782,7.7503238,9.1658486e-15,0.65128708,1.0921921,畜禽肉,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,4,0,0.0557753803631997,0.80251294,0.21086825,3.8057551,0.00014137216,0.38921878,1.2158072,蛋类及制品,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,5,0,0.0307178510918187,2.202723,2.4690776,0.89212376,0.37232658,-2.6365805,7.042026,奶类,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,6,0,0.3056007078650276,0.93898106,0.13038602,7.2015467,5.9533417e-13,0.68342912,1.194533,水产品及制品,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,7,0,0.0208664456686644,2.6308582,3.2889533,0.79990745,0.42376441,-3.8153718,9.0770884,油脂,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,8,0,0.0243467901083639,4.6318007,6.8069739,0.68044931,0.49621999,-8.7096224,17.973225,蔬菜及制品,总支出
EASI GMM-IV two-step (rejected),sample_average,expenditure,9,0,-0.1785094042073241,1.241824,0.35464299,3.5016172,0.00046244363,0.54673648,1.9369115,干果及制品,总支出
EASI GMM-IV two-step (rejected),sample_average,marshallian,1,1,0.1145044328406577,0.34858465,0.97333282,0.35813513,0.7202422,-1.5591125,2.2562819,主食及加工品,主食及加工品
EASI GMM-IV two-step (rejected),sample_average,marshallian,1,2,0.1145044328406577,-0.098202661,0.13572106,-0.72356242,0.46933442,-0.36421105,0.16780573,主食及加工品,豆类及加工品
