specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a1,.2445298591061587,.013585759,17.998983,0,.21790226,.27115744
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a2,.0418959916735102,.0091500729,4.5787606,4.6773939e-06,.023962179,.059829805
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a3,.2822154215328879,.014958014,18.867172,0,.25289825,.31153259
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a4,.0513422618223813,.0054761665,9.3755846,6.8793728e-21,.040609173,.06207535
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a5,.0189665310437904,.032699119,.58003187,.56189311,-.045122564,.083055623
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a6,.0833811804470983,.019017853,4.3843632,.000011632546,.046106871,.12065549
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a7,.0841834426011311,.010353796,8.1306839,4.2687456e-16,.063890375,.10447651
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,a8,.1560793727360477,.0090283863,17.287626,0,.13838406,.17377469
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b1_1,-.0000887216922159,.022068864,-.0040202201,.99679232,-.0433429,.043165457
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b1_2,.0030640960572276,.0018283698,1.6758623,.093765169,-.00051944301,.0066476353
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b1_3,-.0050598392762474,.0012498108,-4.0484843,.000051550385,-.0075094234,-.0026102553
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b2_1,-.0268776453368991,.013621647,-1.9731568,.048477698,-.053575583,-.00017970806
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b2_2,.0007649360506851,.00071738812,1.0662792,.28629744,-.00064111885,.0021709909
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b2_3,.0004713911276733,.00041274077,1.1420997,.25341254,-.0003375659,.0012803482
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b3_1,.0548425923254639,.028120307,1.9502842,.051142246,-.00027219596,.10995738
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b3_2,-.0018395022064698,.002469199,-.74497932,.45628422,-.0066790436,.0030000391
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b3_3,.0083592841172645,.0019960729,4.1878653,.000028159073,.0044470532,.012271515
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b4_1,.0063307586180431,.0067336191,.94017178,.34712946,-.0068668923,.019528409
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b4_2,.0018853185142587,.00052904349,3.5636361,.00036575287,.00084841234,.0029222248
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b4_3,-.0011339892727969,.00033059291,-3.4301682,.00060320727,-.0017819394,-.00048603906
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b5_1,-.0443331579407218,.018071169,-2.4532535,.014157052,-.079751998,-.0089143189
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b5_2,-.0000628263833648,.0012911916,-.048657682,.96119213,-.0025935152,.0024678626
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b5_3,.0005714442465616,.00065700815,.86976743,.38442752,-.00071626803,.0018591565
"""Nine-group EASI NLSUR-CF""",easi,nlsur,3,2,1,b6_1,.0193851277281661,.019102765,1.0147812,.31021014,-.018055605,.056825861
