evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.2355332021543812,.9996233,.093699023,10.66845,1.4299182e-26,.81597662,1.18327
sample_average,expenditure,2,0,.0458763171225631,.41412809,.31304938,1.3228842,.18587387,-.19943741,1.0276936
sample_average,expenditure,3,0,.3026304020375021,1.1812197,.092757344,12.734514,3.8020357e-37,.99941868,1.3630208
sample_average,expenditure,4,0,.0391328156847027,1.1617762,.17502986,6.6375885,3.1885647e-11,.81872398,1.5048285
sample_average,expenditure,5,0,.058638681015348,.24396051,.39978847,.61022401,.54171342,-.53961045,1.0275315
sample_average,expenditure,6,0,.066261456955641,1.2925551,.32203525,4.0137067,.000059772614,.66137761,1.9237326
sample_average,expenditure,7,0,.0862512650436978,.4832252,.16493185,2.9298475,.0033912829,.1599647,.80648565
sample_average,expenditure,8,0,.1394456717191029,1.0351678,.1010652,10.242574,1.2779041e-24,.8370837,1.233252
sample_average,expenditure,9,0,.026230188267061,2.159333,1.3235891,1.6314225,.1028012,-.43485394,4.75352
sample_average,marshallian,1,1,.2355332021543812,-.39215854,.068037607,-5.7638493,8.2216740e-09,-.52550977,-.25880727
sample_average,marshallian,1,2,.2355332021543812,-.0359607,.028816238,-1.2479318,.21205601,-.092439488,.020518087
sample_average,marshallian,1,3,.2355332021543812,-.23094791,.092849143,-2.4873457,.012870024,-.41292888,-.048966944
sample_average,marshallian,1,4,.2355332021543812,-.0027346192,.020188393,-.13545501,.89225215,-.042303145,.036833905
sample_average,marshallian,1,5,.2355332021543812,-.035152704,.030244779,-1.1622734,.24512443,-.094431378,.024125976
sample_average,marshallian,1,6,.2355332021543812,-.081096366,.046449464,-1.7459054,.0808274,-.17213564,.0099429078
sample_average,marshallian,1,7,.2355332021543812,-.15126079,.038474172,-3.9314892,.000084421292,-.22666879,-.075852804
sample_average,marshallian,1,8,.2355332021543812,-.084087081,.035875969,-2.3438272,.019087005,-.15440269,-.013771471
sample_average,marshallian,1,9,.2355332021543812,.013775395,.035720028,.38564909,.69975656,-.056234572,.083785363
sample_average,marshallian,2,1,.0458763171225631,-.046721961,.14189638,-.32926816,.74195302,-.32483375,.23138984
sample_average,marshallian,2,2,.0458763171225631,-.12108912,.15016496,-.80637395,.42002726,-.41540703,.1732288
sample_average,marshallian,2,3,.0458763171225631,.20939197,.23468094,.89224112,.37226373,-.2505742,.66935813
sample_average,marshallian,2,4,.0458763171225631,.15111467,.084046386,1.7979913,.072178386,-.01361322,.31584257
sample_average,marshallian,2,5,.0458763171225631,-.10281976,.099410594,-1.0342939,.30099881,-.29766095,.092021421
sample_average,marshallian,2,6,.0458763171225631,-.24222411,.14441051,-1.6773303,.093477927,-.52526349,.040815286
sample_average,marshallian,2,7,.0458763171225631,-.052539621,.13253064,-.39643374,.6917851,-.31229493,.20721568
sample_average,marshallian,2,8,.0458763171225631,-.054771297,.10062977,-.54428518,.58624524,-.25200203,.14245944
sample_average,marshallian,2,9,.0458763171225631,-.15446886,.087847777,-1.7583696,.07868465,-.32664734,.017709622
sample_average,marshallian,3,1,.3026304020375021,-.22251566,.052912075,-4.2053852,.000026063773,-.32622141,-.1188099
sample_average,marshallian,3,2,.3026304020375021,-.0034492114,.02820785,-.12227842,.90267855,-.058735583,.051837157
sample_average,marshallian,3,3,.3026304020375021,-.50082636,.13762383,-3.6390958,.0002735969,-.77056408,-.23108858
sample_average,marshallian,3,4,.3026304020375021,-.047711931,.015309614,-3.1164687,.0018303116,-.077718221,-.01770564
sample_average,marshallian,3,5,.3026304020375021,-.094875835,.029561842,-3.2094018,.0013301143,-.15281598,-.036935687
sample_average,marshallian,3,6,.3026304020375021,-.092663579,.051068306,-1.8145027,.069600366,-.19275562,.0074284612
sample_average,marshallian,3,7,.3026304020375021,-.043241795,.032168709,-1.3442192,.17887753,-.1062913,.019807717
sample_average,marshallian,3,8,.3026304020375021,-.15879396,.038073286,-4.1707449,.000030360563,-.23341623,-.08417169
sample_average,marshallian,3,9,.3026304020375021,-.0171414,.035464767,-.48333606,.62885714,-.086651064,.052368265
sample_average,marshallian,4,1,.0391328156847027,-.054651558,.12026668,-.45441982,.64952672,-.2903699,.1810668
sample_average,marshallian,4,2,.0391328156847027,.14285593,.089719407,1.5922523,.11132804,-.032990884,.31870273
sample_average,marshallian,4,3,.0391328156847027,-.36309209,.13642412,-2.661495,.0077794525,-.63047844,-.095705733
sample_average,marshallian,4,4,.0391328156847027,-.23837423,.14286327,-1.6685481,.095206961,-.51838112,.041632619
sample_average,marshallian,4,5,.0391328156847027,.0098101888,.092089273,.10652912,.91516256,-.17068146,.19030185
sample_average,marshallian,4,6,.0391328156847027,-.17626171,.12146139,-1.4511747,.14673121,-.41432166,.061798252
sample_average,marshallian,4,7,.0391328156847027,-.26341316,.1230839,-2.1401105,.032345831,-.50465316,-.022173146
sample_average,marshallian,4,8,.0391328156847027,-.17579298,.11404505,-1.5414344,.1232111,-.39931718,.047731232
sample_average,marshallian,4,9,.0391328156847027,-.0428566,.10411955,-.41160953,.68062568,-.24692719,.16121398
sample_average,marshallian,5,1,.058638681015348,.036786292,.12631421,.29122844,.77087665,-.21078502,.28435761
