evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.1145044328406577,.88826746,.47182682,1.8826133,.059752788,-.03649611,1.813031
sample_average,expenditure,2,0,.0458136832058281,1.0159461,.5143044,1.9753789,.048225161,.0079279738,2.0239644
sample_average,expenditure,3,0,.5808841130637639,.87173957,.11247782,7.7503238,9.1658486e-15,.65128708,1.0921921
sample_average,expenditure,4,0,.0557753803631997,.80251294,.21086825,3.8057551,.00014137216,.38921878,1.2158072
sample_average,expenditure,5,0,.0307178510918187,2.202723,2.4690776,.89212376,.37232658,-2.6365805,7.042026
sample_average,expenditure,6,0,.3056007078650276,.93898106,.13038602,7.2015467,5.9533417e-13,.68342912,1.194533
sample_average,expenditure,7,0,.0208664456686644,2.6308582,3.2889533,.79990745,.42376441,-3.8153718,9.0770884
sample_average,expenditure,8,0,.0243467901083639,4.6318007,6.8069739,.68044931,.49621999,-8.7096224,17.973225
sample_average,expenditure,9,0,-.1785094042073241,1.241824,.35464299,3.5016172,.00046244363,.54673648,1.9369115
sample_average,marshallian,1,1,.1145044328406577,.34858465,.97333282,.35813513,.7202422,-1.5591125,2.2562819
sample_average,marshallian,1,2,.1145044328406577,-.098202661,.13572106,-.72356242,.46933442,-.36421105,.16780573
sample_average,marshallian,1,3,.1145044328406577,-.93243402,.86153471,-1.0822942,.27912182,-2.621011,.75614291
sample_average,marshallian,1,4,.1145044328406577,.39374828,.21476345,1.8334045,.066742435,-.027180346,.81467688
sample_average,marshallian,1,5,.1145044328406577,-.16840675,.084484942,-1.9933344,.046224836,-.33399421,-.0028193032
sample_average,marshallian,1,6,.1145044328406577,-.43279576,.2562274,-1.689108,.091198742,-.93499225,.069400735
sample_average,marshallian,1,7,.1145044328406577,-.22334321,.22357276,-.99897325,.31780764,-.66153777,.21485133
sample_average,marshallian,1,8,.1145044328406577,.450266,.23457858,1.9194677,.054925166,-.0094995517,.91003156
sample_average,marshallian,1,9,.1145044328406577,-.225684,.23779929,-.94905245,.34259394,-.69176203,.24039404
sample_average,marshallian,2,1,.0458136832058281,-.26006261,.17880255,-1.454468,.14581658,-.61050916,.090383962
