margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,.412178900063189,.32341528,.34490296,.47007015,.82708651,.052078974,.58505636,.7411384,.090184718,.018833756,-22.949446,.83148408,2761,.89964157,0
latent,expenditure,2,0,.1954952045161274,.31634635,.34478268,.40243378,3.0480938,-.12770286,.60434604,.7708382,.11807317,.014849693,-102.14601,.86241901,2761,.89964157,0
latent,expenditure,3,0,1.46759164798318,1.2625573,1.2657716,1.3941315,1.0714847,1.217417,1.3142151,1.6434358,0,0,1.1598538,37.082363,2761,.89964157,0
latent,expenditure,4,0,.840713203617885,.8612749,.86214429,.86644042,.65165383,.79984343,.88055336,.92028892,.0054328144,.00072437525,-31.243795,.9544605,2761,.89964157,0
latent,expenditure,5,0,.1853481682883385,.44710961,.46177208,.40821683,5.8129201,-.07685402,.57643014,.73692518,.11626223,.021731257,-286.414,.82942885,2761,.89964157,0
latent,expenditure,6,0,1.525664801223825,1.2586763,1.2618207,1.3616308,4.5287962,1.1767646,1.2699764,1.6194259,0,0,1.1129202,231.5836,2761,.89964157,0
latent,marshallian,1,1,-.0529070898365564,.11346845,.078659631,-.14364763,1.3115256,-.57746285,-.33533767,.54967356,.75479901,.046722203,-.71247792,38.157711,2761,.89964157,0
latent,hicksian,1,1,.0698556400324883,.19233716,.15630917,-.022339225,1.2691457,-.32991397,-.2132889,.55366546,.72220212,.069540024,-.36669031,38.075493,2761,.89964157,0
latent,marshallian,2,1,-.5377817495245507,-.44821355,-.43068305,-.40467584,2.0039928,-.75033271,-.27404001,-.15796275,1,0,-68.573875,-.10253043,2761,.89964157,0
latent,hicksian,2,1,-.442433344088549,-.37676227,-.35714826,-.29497743,2.2227571,-.76123619,-.15571931,.076644726,.78558493,.17022818,-74.526031,.26247814,2761,.89964157,0
latent,marshallian,3,1,-.194285699151119,-.11466492,-.11569437,-.16161971,.4811278,-.27722058,-.12523904,-.082936749,1,0,-17.074629,-.051329903,2761,.89964157,0
latent,hicksian,3,1,.1410935783592078,.042108022,.0451882,.14080073,.12097336,.0070305434,.14124228,.27175388,.085114092,.19992757,-2.2980902,2.0637124,2761,.89964157,0
latent,marshallian,4,1,-.3138833319563061,-.26770365,-.26603606,-.26196077,1.3242968,-.39426005,-.23286492,-.15701532,1,0,-65.595161,-.091424502,2761,.89964157,0
latent,hicksian,4,1,-.137611634987303,-.14885151,-.1464548,-.081121117,1.4742022,-.29138327,-.058745202,.10883366,.6613546,.27345166,-72.557678,.30852562,2761,.89964157,0
latent,marshallian,5,1,-.1978886699416086,-.11732922,-.11479139,-.14456703,1.3877625,-.27955383,-.1010501,-.052039456,1,.083665341,-68.502319,-.015677648,2761,.89964157,0
latent,hicksian,5,1,-.105080966070443,-.038206883,-.034542605,-.039421588,1.6583419,-.29591596,.0062541417,.16877851,.4798986,.28359291,-80.940178,.39758229,2761,.89964157,0
latent,marshallian,6,1,-.5098621076298099,-.256841,-.25890887,-.34779647,4.567234,-.59150398,-.26182309,-.16755942,1,0,-233.43791,-.1069359,2761,.89964157,0
latent,hicksian,6,1,-.1555881898526993,-.10080349,-.10059823,-.056828607,2.7403426,-.23801672,-.024009839,.13072158,.56609923,.26946759,-139.27139,.25986096,2761,.89964157,0
latent,marshallian,1,2,-.0717522698866342,-.081149325,-.07867451,-.065471798,.087626845,-.11606166,-.052939199,-.031498998,1,.45490766,-1.9382472,-.020666514,2761,.89964157,0
latent,hicksian,1,2,-.0502968892130773,-.067714959,-.064992599,-.042727944,.11774065,-.11648219,-.030288382,.016508361,.78558493,.6497646,-2.9418027,.069813147,2761,.89964157,0
latent,marshallian,2,2,.2978706544886707,.10780449,.062517963,-.031676698,4.9060044,-.62661707,-.36059394,.80626518,.75588554,.034045637,-.77330428,165.02306,2761,.89964157,0
