specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""AIDS unrestricted""",aids,gmm,1,2,1,a1,.2221326910148178,.014585532,15.229659,0,.19354557,.25071982
"""AIDS unrestricted""",aids,gmm,1,2,1,a2,.0400372378648862,.014408784,2.7786686,.0054582162,.01179654,.068277933
"""AIDS unrestricted""",aids,gmm,1,2,1,a3,.3239537421466823,.019105963,16.955635,0,.28650674,.36140075
"""AIDS unrestricted""",aids,gmm,1,2,1,a4,.0805455950567531,.0078465994,10.265032,1.0128735e-24,.06516654,.095924646
"""AIDS unrestricted""",aids,gmm,1,2,1,a5,.1257265999737446,.011614684,10.824797,2.6266079e-27,.10296223,.14849097
"""AIDS unrestricted""",aids,gmm,1,2,1,b1,-.0858014228172233,.024546953,-3.4954002,.00047335157,-.13391256,-.037690278
"""AIDS unrestricted""",aids,gmm,1,2,1,b2,-.015928195240949,.0085889213,-1.8545047,.063666999,-.032762174,.00090578198
"""AIDS unrestricted""",aids,gmm,1,2,1,b3,.1092929763103714,.03415091,3.2002947,.0013728709,.042358425,.17622752
"""AIDS unrestricted""",aids,gmm,1,2,1,b4,-.008541300697676,.011793292,-.72425073,.4689118,-.031655729,.014573127
"""AIDS unrestricted""",aids,gmm,1,2,1,b5,-.0546098583738869,.017956547,-3.0412228,.0023561944,-.089804046,-.019415673
"""AIDS unrestricted""",aids,gmm,1,2,1,g1_1,.1217440541793931,.014459846,8.4194574,3.7823234e-17,.09340328,.15008484
"""AIDS unrestricted""",aids,gmm,1,2,1,g1_2,-.0141071659604171,.0054833204,-2.5727415,.010089653,-.024854276,-.0033600556
"""AIDS unrestricted""",aids,gmm,1,2,1,g1_3,-.0227511205323795,.016465796,-1.3817199,.16705769,-.055023488,.0095212488
"""AIDS unrestricted""",aids,gmm,1,2,1,g1_4,-.0184527500729478,.0068306709,-2.7014551,.0069036805,-.031840619,-.0050648814
"""AIDS unrestricted""",aids,gmm,1,2,1,g1_5,-.0238424830356749,.0090314439,-2.6399415,.0082920371,-.041543789,-.0061411778
"""AIDS unrestricted""",aids,gmm,1,2,1,g2_2,.0251547162367485,.0044651078,5.6336188,1.7646668e-08,.016403265,.033906166
"""AIDS unrestricted""",aids,gmm,1,2,1,g2_3,-.0092189539581163,.009915391,-.92976201,.35249433,-.028652763,.010214855
"""AIDS unrestricted""",aids,gmm,1,2,1,g2_4,.0075354935533306,.0041304114,1.824393,.068092674,-.00055996381,.015630951
"""AIDS unrestricted""",aids,gmm,1,2,1,g2_5,-.0027080274850025,.0048677693,-.55631793,.57799351,-.01224868,.0068326253
"""AIDS unrestricted""",aids,gmm,1,2,1,g3_3,.1640450136558767,.028584637,5.7389226,9.5280805e-09,.10802016,.22006987
"""AIDS unrestricted""",aids,gmm,1,2,1,g3_4,-.0251212184121808,.0081278067,-3.0907748,.0019963505,-.041051425,-.0091910101
"""AIDS unrestricted""",aids,gmm,1,2,1,g3_5,-.0363792063921663,.012770527,-2.8486848,.0043900353,-.061408978,-.011349433
"""AIDS unrestricted""",aids,gmm,1,2,1,g4_4,.0577788087557991,.0061032535,9.4668865,2.8830912e-21,.045816652,.069740966
"""AIDS unrestricted""",aids,gmm,1,2,1,g4_5,.0022075354717213,.0061590346,.35842234,.72002727,-.0098639503,.014279021
"""AIDS unrestricted""",aids,gmm,1,2,1,g5_5,.0775549207245454,.0092060091,8.4243803,3.6266420e-17,.059511475,.09559837
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_1,.0151688546626979,.0051031979,2.9724214,.0029546074,.0051667709,.025170939
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_2,-.0133652955063649,.021227403,-.62962461,.5289402,-.054970242,.028239651
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_3,.0214953536126228,.013107697,1.6399031,.10102531,-.0041952608,.047185969
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_4,-.019549377648169,.01047462,-1.8663566,.061991487,-.040079258,.00098050165
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_5,.018871359561824,.013495716,1.3983222,.16201632,-.0075797574,.045322478
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_6,.0137360203003253,.0083453776,1.6459435,.099775389,-.0026206195,.03009266
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_7,-.0035695704050135,.0084669767,-.42158738,.67332619,-.020164538,.013025398
"""AIDS unrestricted""",aids,gmm,1,2,1,t1_8,-.0037895244980856,.030368356,-.1247853,.90069354,-.063310407,.05573136
