margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,.4226521403342921,.32114899,.34150809,.461252,.57853401,.046445828,.56926674,.73121113,.088505745,.021455938,-10.74655,.82174718,2610,.85043991,.0049999999
latent,expenditure,2,0,.4128462031954906,.3104322,.33243319,.4340871,.47196823,-.073180437,.56259745,.74809259,.11494253,.019157087,-2.6957147,.85276788,2610,.85043991,.0049999999
latent,expenditure,3,0,1.466808935221868,1.270667,1.2734438,1.404531,.8929038,1.2223972,1.319921,1.6804711,0,0,1.1559366,22.975521,2610,.85043991,.0049999999
latent,expenditure,4,0,.8297775103291022,.8315292,.83256418,.83799702,.12035659,.75685918,.85402024,.90165436,.0038314175,.0019157088,-.79753381,.94487655,2610,.85043991,.0049999999
latent,expenditure,5,0,.3155729300559043,.42956915,.44427493,.37790865,.88544965,-.16457765,.55556524,.72392356,.12720306,.018773947,-10.252337,.82513934,2610,.85043991,.0049999999
latent,expenditure,6,0,1.500695911569986,1.3105271,1.3140496,1.4464433,.71519274,1.2076787,1.3285459,1.8056968,0,0,1.1411517,11.662872,2610,.85043991,.0049999999
latent,marshallian,1,1,-.1121541789691051,.032020174,.0019135489,-.16696146,.80437243,-.54082495,-.31585169,.41257024,.77854407,.053639848,-.67211026,15.622498,2610,.85043991,.0049999999
latent,hicksian,1,1,.009244147223366,.11106849,.082019612,-.045664933,.75228542,-.29370499,-.19801956,.41660044,.74521071,.077394634,-.29665053,15.542116,2610,.85043991,.0049999999
latent,marshallian,2,1,-.3593126098721794,-.4465546,-.42948842,-.34393424,.34300071,-.73307884,-.24728152,-.11849301,1,0,-2.5811315,-.055884387,2610,.85043991,.0049999999
latent,hicksian,2,1,-.2493213454869231,-.37700018,-.35831428,-.23245661,.43008333,-.74053866,-.13031462,.1137078,.73103446,.16781609,-2.771287,.32878664,2610,.85043991,.0049999999
latent,marshallian,3,1,-.2330100653226172,-.099586524,-.10161222,-.19309367,.57892674,-.38177004,-.13884279,-.074267767,1,.012260537,-16.400612,-.039626062,2610,.85043991,.0049999999
latent,hicksian,3,1,.1048458059624607,.063332498,.063157976,.11636875,.19053468,.024524614,.11984298,.20173876,.050574712,.14827587,-4.2294092,.28619871,2610,.85043991,.0049999999
latent,marshallian,4,1,-.2527192400082566,-.26199815,-.26057196,-.24029875,.18915455,-.37899297,-.21295986,-.13925149,1,0,-2.8831232,-.083619751,2610,.85043991,.0049999999
latent,hicksian,4,1,-.0757325302102506,-.14267822,-.14109187,-.063251451,.2414708,-.27330977,-.04273409,.13177925,.60651338,.26168582,-2.9960759,.31899545,2610,.85043991,.0049999999
latent,marshallian,5,1,-.1571471497626458,-.14785717,-.14219145,-.13589005,.28980461,-.30223843,-.086559601,-.01917197,.98122603,.29080459,-3.9374077,.030057244,2610,.85043991,.0049999999
latent,hicksian,5,1,-.0611327652354828,-.06914112,-.063786671,-.037353028,.39241397,-.32774585,.017409535,.20893411,.45708811,.22030652,-4.175427,.45469055,2610,.85043991,.0049999999
latent,marshallian,6,1,-.4517635664409987,-.24572289,-.24900213,-.3971172,.71312535,-.75043464,-.28323016,-.16778687,1,0,-10.980597,-.10516495,2610,.85043991,.0049999999
latent,hicksian,6,1,-.1141893163662534,-.07829798,-.078069806,-.080615506,.44024339,-.27119017,-.027787019,.10421521,.61264366,.34329501,-6.5973754,.20725948,2610,.85043991,.0049999999
latent,marshallian,1,2,-.0713257775560132,-.089410476,-.086337224,-.066083841,.082806617,-.13041334,-.050017044,-.0246711,1,.49961686,-1.7346531,-.0078851646,2610,.85043991,.0049999999
latent,hicksian,1,2,-.0485105423546615,-.07525406,-.071751736,-.042672399,.10237046,-.13158713,-.026433153,.024695676,.73103446,.63371646,-1.892647,.088373952,2610,.85043991,.0049999999
latent,marshallian,2,2,-.1898133873678431,-.04837485,-.07782004,-.21882164,.64399129,-.6440227,-.39574131,.47241351,.79425287,.035632186,-.78348041,3.9109342,2610,.85043991,.0049999999
latent,hicksian,2,2,-.1645216210121172,-.030744549,-.06003315,-.19375391,.62876701,-.58953816,-.37223586,.47139204,.79118776,.036015324,-.67797834,3.8982985,2610,.85043991,.0049999999
latent,marshallian,3,2,-.0580745758129219,-.027064431,-.027450049,-.048449259,.13701327,-.087121889,-.036363516,-.020972772,1,.71570879,-3.2703841,-.012873637,2610,.85043991,.0049999999
latent,hicksian,3,2,.0105393308890152,.0081872847,.0081335921,.014222837,.060799003,-.0076297838,.01329054,.041940391,.22528736,.92260534,-1.4149828,.083875373,2610,.85043991,.0049999999
latent,marshallian,4,2,.1330609842896158,.1297916,.12908466,.12637715,.097816676,.077652805,.11306584,.18960957,0,.00038314177,.04552054,1.4571933,2610,.85043991,.0049999999
latent,hicksian,4,2,.1695163790606622,.15400884,.15497792,.16324721,.091711655,.11987851,.14931993,.22360976,0,0,.078057222,1.4218525,2610,.85043991,.0049999999
latent,marshallian,5,2,-.0181366243430093,-.019899558,-.01946409,-.015894249,.034639608,-.038828954,-.01067721,.0027747625,.84022987,.93754792,-.44502965,.030220866,2610,.85043991,.0049999999
latent,hicksian,5,2,-.000932212077005,-.0062424773,-.0054541086,.0026873986,.064401351,-.04271619,.0088316752,.049860206,.39272031,.81570882,-.6385107,.10390664,2610,.85043991,.0049999999
latent,marshallian,6,2,-.0765567761444585,-.039766934,-.04023613,-.066640489,.13100281,-.12755561,-.045706868,-.025488572,1,.56513411,-1.9832453,-.015766909,2610,.85043991,.0049999999
