margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,.4087164727773998,.32999557,.34730017,.46614447,.86607951,.05735692,.57731563,.735309,.087183312,.020119226,-21.996346,.82353681,2684,.86832738,0
latent,expenditure,2,0,-.2663895284919034,.16447817,.19416791,.24950661,14.849291,-.49044341,.51610339,.73149401,.16728763,.026453055,-748.20306,.84265107,2684,.86832738,0
latent,expenditure,3,0,1.527396559086339,1.2831945,1.2864131,1.4443997,1.3654137,1.2321399,1.3408917,1.7633523,0,0,1.1624448,47.052254,2684,.86832738,0
latent,expenditure,4,0,.8095890319666793,.82042068,.82178974,.82781899,.2845934,.7389515,.84731346,.89755857,.0078241434,.00037257824,-9.1747999,.94254977,2684,.86832738,0
latent,expenditure,5,0,.0774011311116469,.40096396,.41664878,.32629418,3.9057429,-.25123599,.54798615,.71974379,.14008942,.019374069,-132.63269,.82356751,2684,.86832738,0
latent,expenditure,6,0,1.677960437194124,1.2829202,1.2860489,1.4038931,7.804759,1.1883985,1.2963674,1.697045,0,0,1.1172395,386.31534,2684,.86832738,0
latent,marshallian,1,1,-.0825852579198851,.033098899,.0070419121,-.16334349,1.1922591,-.54319406,-.31983224,.42859322,.77868855,.050670642,-.67243332,29.771181,2684,.86832738,0
latent,hicksian,1,1,.0397510946470917,.11252674,.088637136,-.039952822,1.1520716,-.29544815,-.2002771,.43369845,.74515647,.078986585,-.29840854,29.682951,2684,.86832738,0
latent,marshallian,2,1,-.683771937465293,-.4579607,-.43944129,-.39334103,7.8440819,-.84724122,-.2253588,-.098836601,1,.0022354694,-391.59735,-.029454293,2684,.86832738,0
latent,hicksian,2,1,-.653484932069348,-.40285519,-.38274428,-.30467561,9.8982582,-.92213202,-.12258913,.12923805,.70305514,.16691506,-497.81192,.36069375,2684,.86832738,0
latent,marshallian,3,1,-.2552597506273505,-.097547352,-.099414974,-.20403789,.85757691,-.40022227,-.14048728,-.072254285,1,.017883755,-26.703793,-.036474675,2684,.86832738,0
latent,hicksian,3,1,.1016965826417545,.064954989,.064780638,.11621552,.26961151,.026012955,.1220642,.20238015,.049552906,.1438152,-9.2440224,.29866445,2684,.86832738,0
latent,marshallian,4,1,-.2640590544877146,-.26094079,-.25888628,-.23819217,.41215977,-.37957081,-.20752527,-.13404058,1,0,-14.637801,-.080050275,2684,.86832738,0
latent,hicksian,4,1,-.0918150984093161,-.14356494,-.14132078,-.063670568,.48522049,-.28457597,-.039857771,.13582695,.59873325,.25223547,-16.680418,.36791351,2684,.86832738,0
latent,marshallian,5,1,-.2398067533049425,-.16349135,-.15780266,-.16051967,1.3066009,-.33573663,-.09481281,-.023351019,.98658717,.25633383,-50.727108,.035838824,2684,.86832738,0
latent,hicksian,5,1,-.1676684781986873,-.088076457,-.08202073,-.067253523,1.6257861,-.37919867,.0064763734,.20281979,.47950819,.21423249,-57.287636,.44021723,2684,.86832738,0
latent,marshallian,6,1,-.6723611662288231,-.24354833,-.24651298,-.3879993,8.0923977,-.68896401,-.27520669,-.16616644,1,0,-400.12823,-.094679929,2684,.86832738,0
latent,hicksian,6,1,-.2727498573082771,-.080535457,-.080371603,-.082924195,5.4633098,-.2614646,-.028104231,.10472464,.6128912,.34463486,-270.44479,.2103041,2684,.86832738,0
latent,marshallian,1,2,-.0702146398661644,-.085393302,-.082895331,-.062962696,.11223928,-.1252787,-.046777107,-.02208031,1,.53651267,-3.0209115,-.0059806122,2684,.86832738,0
latent,hicksian,1,2,-.0477808874704033,-.071469538,-.068759568,-.039552841,.13718943,-.12529834,-.024306534,.028363619,.70305514,.64195234,-3.3146169,.0914625,2684,.86832738,0
latent,marshallian,2,2,.6005333612198442,.069238149,.031538136,-.039434329,18.10594,-.64542067,-.38220266,.88978857,.76117736,.032414306,-.78400791,910.47101,2684,.86832738,0
latent,hicksian,2,2,.6231461282433536,.08514566,.045441523,-.020886809,18.103619,-.59253931,-.36100128,.88401377,.7600596,.032041728,-.67918468,910.45093,2684,.86832738,0
latent,marshallian,3,2,-.0662346897715011,-.027931752,-.028315045,-.054038521,.19826555,-.098756582,-.038819201,-.021358734,1,.66616988,-6.6060586,-.013434731,2684,.86832738,0
latent,hicksian,3,2,.0041108023404251,.0037841909,.00373813,.0094139604,.09690851,-.013881128,.0095404349,.038539294,.31035769,.92958272,-3.3043532,.084235862,2684,.86832738,0
latent,marshallian,4,2,.1431295746438901,.1322445,.13132729,.12871909,.22712931,.077390954,.11361498,.193224,0,.00037257824,.045452047,8.2355404,2684,.86832738,0
