evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.188357221627476,.51319957,.24298477,2.1120646,.034680907,.036958139,.98944092
sample_average,expenditure,2,0,.0438591506119873,-.097650632,.31308031,-.31190285,.75511438,-.71127677,.51597548
sample_average,expenditure,3,0,.3707140378562764,1.2489649,.15335473,8.1442862,3.8152503e-16,.94839513,1.5495347
sample_average,expenditure,4,0,.071615690050697,1.3422586,.21288592,6.3050609,2.8808092e-10,.92500991,1.7595073
sample_average,expenditure,5,0,.1211644008405395,.76965868,.18480916,4.1646128,.000031188116,.40743935,1.131878
sample_average,expenditure,6,0,.2042894990130237,1.2493409,.2066243,6.0464373,1.4808373e-09,.8443647,1.654317
sample_average,marshallian,1,1,.188357221627476,-.52807498,.12395954,-4.2600594,.000020437275,-.7710312,-.28511873
sample_average,marshallian,1,2,.188357221627476,-.022702536,.043013502,-.5278002,.59763801,-.10700745,.06160238
sample_average,marshallian,1,3,.188357221627476,.27566871,.15826403,1.7418281,.081538528,-.034523066,.58586049
sample_average,marshallian,1,4,.188357221627476,-.087188751,.051359057,-1.6976314,.089577369,-.18785065,.013473159
sample_average,marshallian,1,5,.188357221627476,-.0031921528,.061610304,-.051811997,.95867848,-.12394612,.11756182
sample_average,marshallian,1,6,.188357221627476,-.14770985,.11563696,-1.2773584,.20147574,-.37435412,.078934431
sample_average,marshallian,2,1,.0438591506119873,.01755988,.19520287,.089957081,.9283213,-.36503071,.40015048
sample_average,marshallian,2,2,.0438591506119873,-.35164276,.17910194,-1.9633665,.049603608,-.70267612,-.00060939195
sample_average,marshallian,2,3,.0438591506119873,.37084451,.33413997,1.1098479,.2670646,-.28405777,1.0257468
sample_average,marshallian,2,4,.0438591506119873,-.0065290928,.13388741,-.048765544,.96110612,-.26894361,.25588542
sample_average,marshallian,2,5,.0438591506119873,.029216044,.15483887,.18868676,.85033834,-.27426258,.33269465
sample_average,marshallian,2,6,.0438591506119873,.038202047,.19607964,.19482924,.84552664,-.34610701,.4225111
sample_average,marshallian,3,1,.3707140378562764,.0014786407,.067785665,.021813471,.98259676,-.13137883,.1343361
sample_average,marshallian,3,2,.3707140378562764,-.015186825,.038583618,-.39360812,.69387037,-.090809323,.060435675
sample_average,marshallian,3,3,.3707140378562764,-.85322899,.13707362,-6.2246037,4.8277432e-10,-1.1218883,-.58456963
sample_average,marshallian,3,4,.3707140378562764,-.024007909,.03149147,-.76236224,.44584385,-.085730061,.037714243
sample_average,marshallian,3,5,.3707140378562764,-.11331619,.054214396,-2.0901494,.036604386,-.21957445,-.0070579215
sample_average,marshallian,3,6,.3707140378562764,-.24470364,.071622238,-3.4165874,.00063411338,-.38508064,-.10432662
sample_average,marshallian,4,1,.071615690050697,-.38547537,.14149153,-2.7243705,.0064424202,-.6627937,-.10815705
sample_average,marshallian,4,2,.071615690050697,-.06715177,.083412357,-.80505782,.42078632,-.23063698,.096333444
sample_average,marshallian,4,3,.071615690050697,-.1588607,.1775609,-.89468288,.37095663,-.50687367,.18915227
sample_average,marshallian,4,4,.071615690050697,-.31897151,.11432946,-2.7899327,.005271899,-.54305315,-.094889879
sample_average,marshallian,4,5,.071615690050697,-.19764061,.11412241,-1.73183,.083303846,-.42131644,.026035206
sample_average,marshallian,4,6,.071615690050697,-.21415867,.15166706,-1.4120315,.15794069,-.51142061,.083103307
sample_average,marshallian,5,1,.1211644008405395,-.053268317,.097939886,-.54388791,.58651865,-.24522696,.13869034
sample_average,marshallian,5,2,.1211644008405395,-.027463811,.056009006,-.49034634,.62388885,-.13723944,.082311824
sample_average,marshallian,5,3,.1211644008405395,-.16901614,.19347653,-.87357438,.38235009,-.54822314,.21019088
sample_average,marshallian,5,4,.1211644008405395,-.075810745,.070338018,-1.0778061,.2811203,-.21367072,.062049232
sample_average,marshallian,5,5,.1211644008405395,-.40656123,.099282131,-4.0950093,.000042215157,-.60115063,-.21197183
