margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,.411762411560776,.349783,.36475721,.47851256,1.4612162,.0869468,.58330494,.73791647,.08345753,.014530552,-67.557259,.8121888,2684,.85532188,0
latent,expenditure,2,0,-36.08769560429858,.11049231,.14459413,.17102022,1838.9468,-.62746906,.49792916,.72103798,.18777943,.028315946,-95267.742,.84108889,2684,.85532188,0
latent,expenditure,3,0,1.727540850685051,1.2937928,1.296688,1.4816942,7.929038,1.238791,1.3601298,1.826305,0,0,1.1704911,405.28781,2684,.85532188,0
latent,expenditure,4,0,.7247908118106624,.71093953,.7148546,.73910248,.22941045,.58859777,.77014142,.84734797,.010432191,.0026080478,-5.2462773,.91204751,2684,.85532188,0
latent,expenditure,5,0,-.28588396032985,.40775079,.42306542,.35553882,19.698088,-.20505683,.55747634,.72358459,.13375559,.021609537,-969.25592,.82481688,2684,.85532188,0
latent,expenditure,6,0,1.488924487306878,1.2884079,1.2918472,1.4097474,.99699569,1.1895653,1.3011547,1.7072583,0,0,1.1188142,21.843361,2684,.85532188,0
latent,marshallian,1,1,-.1116731676819576,-.023221835,-.045199241,-.20336212,2.002028,-.55726618,-.34792709,.33303556,.79769003,.04247392,-.66928214,93.346512,2684,.85532188,0
latent,hicksian,1,1,.0124929072546106,.058746688,.03908046,-.078181021,1.9785136,-.30995998,-.22551765,.34155497,.77682561,.062220566,-.31224057,93.261765,2684,.85532188,0
latent,marshallian,2,1,-22.64096731285479,-.43508196,-.41658428,-.39009345,1131.983,-.85274702,-.20714109,-.0868394,1,.010059613,-58644.145,-.018266486,2684,.85532188,0
latent,hicksian,2,1,-23.61390626226221,-.38565877,-.36432612,-.31195831,1182.276,-.92749393,-.10882206,.13947044,.68330848,.17771982,-61249.004,.37069094,2684,.85532188,0
latent,marshallian,3,1,-.360174526926662,-.097149521,-.099026047,-.21546419,4.7144427,-.42077044,-.14292063,-.070643805,1,.021609537,-240.57292,-.036650777,2684,.85532188,0
latent,hicksian,3,1,.0720724378400656,.069390006,.069243081,.11735657,1.5514615,.030136773,.12442993,.20290653,.049180329,.12965722,-79.056221,.29975015,2684,.85532188,0
latent,marshallian,4,1,-.1881919378015662,-.21340968,-.21040833,-.17751977,.17921968,-.30410272,-.14905646,-.086529315,1,.0026080478,-4.8022237,-.037819494,2684,.85532188,0
latent,hicksian,4,1,-.0296466109582776,-.10390419,-.10046337,-.018174518,.24773997,-.23150012,.0046382984,.17799474,.48807749,.23733234,-5.5995793,.39996237,2684,.85532188,0
latent,marshallian,5,1,-.3673544707197327,-.15789416,-.15231566,-.1491603,6.6768517,-.32572412,-.089991286,-.022176662,.98584205,.27049181,-327.06006,.0362246,2684,.85532188,0
latent,hicksian,5,1,-.3088927051730787,-.079929225,-.073922627,-.051927544,7.8045692,-.35831535,.014877362,.2058064,.46050671,.21795827,-381.41272,.38606638,2684,.85532188,0
latent,marshallian,6,1,-.4727951765856809,-.2451601,-.24832028,-.38906491,1.0503761,-.69348168,-.27567026,-.16741893,1,0,-22.383976,-.094845094,2684,.85532188,0
latent,hicksian,6,1,-.1352529785576009,-.078630969,-.078514695,-.081327409,.68676621,-.2575897,-.024776457,.10461911,.60618478,.34761551,-13.926206,.20881653,2684,.85532188,0
latent,marshallian,1,2,-.066998307724433,-.079165578,-.077044405,-.058434039,.20070416,-.11553601,-.04371151,-.020205423,1,.5771237,-9.5598154,-.0038961284,2684,.85532188,0
latent,hicksian,1,2,-.0441462355692665,-.065111622,-.062881492,-.034856442,.21945107,-.11580981,-.020823834,.030218039,.68330848,.65834576,-10.087022,.096292555,2684,.85532188,0
latent,marshallian,2,2,48.98768413545544,.19660968,.14954261,.10957832,2479.5344,-.61315489,-.32298842,1.1927239,.72652757,.033159465,-.77097213,128454.27,2684,.85532188,0
latent,hicksian,2,2,49.00913679847248,.21175112,.16460001,.13081245,2479.5337,-.56102324,-.3033528,1.1841673,.72354692,.03390462,-.66398913,128454.24,2684,.85532188,0
latent,marshallian,3,2,-.0996641704981447,-.031347092,-.031747885,-.063085102,1.1273379,-.11512121,-.044134799,-.02392273,1,.58755589,-57.244743,-.015062439,2684,.85532188,0
latent,hicksian,3,2,-.0177965239192878,-.00052184227,-.00056238094,.0019067964,.66477007,-.020306889,.0045357114,.031611152,.40685543,.93181819,-33.904255,.08007925,2684,.85532188,0
latent,marshallian,4,2,.1280333123415047,.1308421,.12921464,.12116452,.1108913,.072881401,.10633584,.18900366,0,.00074515649,.043869589,3.1573639,2684,.85532188,0
latent,hicksian,4,2,.1594022486811229,.15047415,.15035656,.15331949,.099359006,.11124309,.14033057,.21101843,0,0,.0682313,2.866972,2684,.85532188,0
latent,marshallian,5,2,-.1056700205792533,-.049146932,-.047906313,-.047453258,1.7330433,-.095861636,-.032119673,-.011787178,.99739194,.7328614,-83.216263,.005667943,2684,.85532188,0
latent,hicksian,5,2,-.0984620676488869,-.036928259,-.035275321,-.029330598,2.1021652,-.10289066,-.013771968,.035812415,.62481374,.72540987,-102.762,.094683096,2684,.85532188,0
latent,marshallian,6,2,-.0674865433053606,-.031142348,-.031537876,-.053949978,.16878006,-.10076857,-.03621766,-.019753082,1,.70193738,-3.4383605,-.010563703,2684,.85532188,0
latent,hicksian,6,2,.0022521027962386,.00027682737,.00025333764,.0078500286,.075435787,-.017116621,.010996055,.034669541,.31818181,.94672132,-1.5416695,.072810106,2684,.85532188,0
latent,marshallian,1,3,.0903128366959017,.10725699,.10175935,.065030061,.53172845,-.031508401,.031014541,.19906422,.29806259,.5685544,-.07064376,24.50676,2684,.85532188,0
latent,hicksian,1,3,.17833656943086,.2147337,.21496789,.19196931,.38305855,.056254841,.20252517,.30924866,.049180329,.077123694,-17.912876,.47038883,2684,.85532188,0
latent,marshallian,2,3,.5402860316810342,-.064972922,-.064736463,-.079884678,33.935394,-.16056955,-.080153294,.013996087,.88114756,.22764531,-102.71326,1754.6672,2684,.85532188,0
latent,hicksian,2,3,-18.36809041518962,-.056730267,-.048924603,-.074858882,928.14648,-.36462012,.037514981,.2103028,.40685543,.22988078,-48083.402,.43929148,2684,.85532188,0
latent,marshallian,3,3,-.1146506850669839,-.71849483,-.71379709,-.46114254,11.282133,-.7923066,-.62516773,.013193055,.89865869,.01490313,-.88202423,574.53595,2684,.85532188,0
latent,hicksian,3,3,.3438905092445788,-.14707242,-.14719711,-.0016891293,11.267783,-.17816466,-.1495236,.28188702,.80625933,.066318929,-.17897426,574.65454,2684,.85532188,0
latent,marshallian,4,3,-.4000725812825903,-.40220347,-.3977887,-.37937006,.3405439,-.57176107,-.34349743,-.22604641,1,0,-9.9067326,-.13270862,2684,.85532188,0
latent,hicksian,4,3,-.1654730751387916,-.11442095,-.11203177,-.14130051,.41747272,-.35078245,-.12176938,.076739311,.77831596,.18181819,-11.643552,.28914347,2684,.85532188,0
latent,marshallian,5,3,-.1273025592335354,-.10237695,-.101892,-.12852132,1.804332,-.21342352,-.11442652,-.047975,.9657228,.08681073,-37.502308,78.826942,2684,.85532188,0
latent,hicksian,5,3,-.4285266124326901,.038800422,.040147949,-.052428387,11.452458,-.28977448,.00091432891,.19051054,.49888226,.2414307,-560.06317,.32750106,2684,.85532188,0
latent,marshallian,6,3,-.700656513623742,-.45658287,-.4605723,-.5929836,1.3749313,-1.0283439,-.4383969,-.27495781,1,0,-28.162434,-.19109547,2684,.85532188,0
