evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.1988863324208024,.5630129,.1242227,4.5322871,5.8348496e-06,.31954092,.80648494
sample_average,expenditure,2,0,.038066939193326,.46964172,.28459078,1.6502352,.098894835,-.088145949,1.0274293
sample_average,expenditure,3,0,.3561559352171628,1.343745,.099020436,13.570381,0,1.1496686,1.5378215
sample_average,expenditure,4,0,.0741020402582493,.76519555,.17871331,4.281693,.000018547671,.41492388,1.1154672
sample_average,expenditure,5,0,.1215262176159773,.51766187,.15899849,3.2557659,.0011308691,.20603056,.82929319
sample_average,expenditure,6,0,.211262535294482,1.2872694,.1224159,10.515541,7.3259343e-26,1.0473386,1.5272001
sample_average,marshallian,1,1,.1988863324208024,-.31851232,.077811904,-4.0933623,.000042516258,-.47102085,-.16600379
sample_average,marshallian,1,2,.1988863324208024,-.047041435,.027908266,-1.6855736,.091877967,-.10174063,.0076577608
sample_average,marshallian,1,3,.1988863324208024,.038683895,.10027574,.38577524,.69966316,-.15785293,.23522073
sample_average,marshallian,1,4,.1988863324208024,-.043785438,.038569421,-1.1352371,.25627598,-.11938011,.031809237
sample_average,marshallian,1,5,.1988863324208024,-.06691587,.048714083,-1.3736453,.16955185,-.16239372,.02856198
sample_average,marshallian,1,6,.1988863324208024,-.12544176,.052804772,-2.375576,.017521581,-.22893721,-.021946302
sample_average,marshallian,2,1,.038066939193326,-.22720465,.13499933,-1.6830056,.092374004,-.49179849,.037389196
sample_average,marshallian,2,2,.038066939193326,-.28208202,.23977114,-1.1764636,.23940967,-.75202483,.18786079
sample_average,marshallian,2,3,.038066939193326,-.072286658,.32212761,-.22440378,.82244313,-.70364517,.55907184
sample_average,marshallian,2,4,.038066939193326,.23383434,.1615544,1.4474032,.14778404,-.082806446,.55047512
sample_average,marshallian,2,5,.038066939193326,-.10450366,.12856853,-.81282455,.41631866,-.35649335,.14748603
sample_average,marshallian,2,6,.038066939193326,-.017399075,.1405745,-.12377121,.90149641,-.29292002,.25812188
sample_average,marshallian,3,1,.3561559352171628,-.1336749,.051002089,-2.6209691,.0087680193,-.23363715,-.033712644
sample_average,marshallian,3,2,.3561559352171628,-.041000638,.027526408,-1.4895018,.13635525,-.094951406,.012950132
sample_average,marshallian,3,3,.3561559352171628,-.64926142,.10030761,-6.472703,9.6265065e-11,-.84586072,-.45266208
sample_average,marshallian,3,4,.3561559352171628,-.11402605,.027674319,-4.1202836,.000037840615,-.16826671,-.059785377
sample_average,marshallian,3,5,.3561559352171628,-.14029115,.039218966,-3.5771253,.00034739377,-.21715891,-.063423395
sample_average,marshallian,3,6,.3561559352171628,-.26549089,.036020182,-7.370615,1.6984272e-13,-.33608916,-.19489264
sample_average,marshallian,4,1,.0741020402582493,-.15772937,.097244486,-1.6219878,.10480595,-.34832507,.032866314
sample_average,marshallian,4,2,.0741020402582493,.10887215,.059098937,1.8422014,.065445699,-.0069596441,.22470394
sample_average,marshallian,4,3,.0741020402582493,-.34198847,.14570001,-2.3472097,.01891461,-.62755525,-.056421693
sample_average,marshallian,4,4,.0741020402582493,-.16158511,.10028602,-1.6112425,.10712686,-.35814208,.034971882
sample_average,marshallian,4,5,.0741020402582493,.076465301,.086244799,.88660771,.37529013,-.092571393,.245502
sample_average,marshallian,4,6,.0741020402582493,-.28923005,.07953617,-3.6364591,.00027641151,-.44511807,-.13334201
sample_average,marshallian,5,1,.1215262176159773,-.10049289,.080229349,-1.2525703,.21036214,-.25773951,.056753736
sample_average,marshallian,5,2,.1215262176159773,-.034562763,.041923869,-.82441729,.40970248,-.11673204,.047606513
sample_average,marshallian,5,3,.1215262176159773,-.11693577,.13405207,-.87231612,.38303596,-.379673,.14580144
sample_average,marshallian,5,4,.1215262176159773,.06496837,.05567386,1.1669456,.24323234,-.044150393,.17408712
sample_average,marshallian,5,5,.1215262176159773,-.29978999,.076031126,-3.9429901,.000080472004,-.44880825,-.15077171
sample_average,marshallian,5,6,.1215262176159773,-.030848827,.065196931,-.47316381,.6360963,-.15863246,.096934803
sample_average,marshallian,6,1,.211262535294482,-.26213783,.057912271,-4.526464,5.9978756e-06,-.37564379,-.14863186
sample_average,marshallian,6,2,.211262535294482,-.034259684,.028234499,-1.213398,.22497769,-.089598283,.021078914
sample_average,marshallian,6,3,.211262535294482,-.42746243,.089370735,-4.7830248,1.7267682e-06,-.60262585,-.25229901
sample_average,marshallian,6,4,.211262535294482,-.14013651,.032641791,-4.2931623,.000017614604,-.20411325,-.076159775
sample_average,marshallian,6,5,.211262535294482,-.1112729,.041122403,-2.7058949,.0068120598,-.19187133,-.030674472
sample_average,marshallian,6,6,.211262535294482,-.31200004,.074927308,-4.1640363,.00003126702,-.45885485,-.1651452
sample_average,hicksian,1,1,.1988863324208024,-.20653674,.072072588,-2.8656769,.0041611865,-.34779641,-.06527707
sample_average,hicksian,1,2,.1988863324208024,-.025609255,.027405983,-.93444031,.35007679,-.079323992,.028105482
sample_average,hicksian,1,3,.1988863324208024,.23920429,.085944638,2.783237,.0053819497,.070755892,.40765268
sample_average,hicksian,1,4,.1988863324208024,-.0020650304,.03574251,-.057775192,.9539277,-.072119065,.067988999
sample_average,hicksian,1,5,.1988863324208024,.001504962,.046913255,.032079674,.97440851,-.090443328,.093453251
sample_average,hicksian,1,6,.1988863324208024,-.0064982199,.054617748,-.11897635,.90529412,-.11354704,.1005506
sample_average,hicksian,2,1,.038066939193326,-.13379933,.15013766,-.89117765,.37283388,-.42806375,.16046509
sample_average,hicksian,2,2,.038066939193326,-.2642042,.23043641,-1.1465384,.25157246,-.71585131,.1874429
sample_average,hicksian,2,3,.038066939193326,.094979025,.34136051,.27823672,.78083068,-.57407528,.76403332
sample_average,hicksian,2,4,.038066939193326,.26863575,.14864364,1.8072468,.070723809,-.022700442,.55997193
sample_average,hicksian,2,5,.038066939193326,-.047429878,.12686655,-.37385646,.70851111,-.29608375,.20122398
sample_average,hicksian,2,6,.038066939193326,.081818625,.1267191,.64566922,.51849359,-.16654626,.33018351
sample_average,hicksian,3,1,.3561559352171628,.13357763,.047235161,2.8279278,.0046850373,.04099841,.22615683
sample_average,hicksian,3,2,.3561559352171628,.010151623,.039035242,.26006302,.79481518,-.066356041,.08665929
sample_average,hicksian,3,3,.3561559352171628,-.17067863,.086566426,-1.9716492,.048649669,-.34034571,-.0010115459
sample_average,hicksian,3,4,.3561559352171628,-.014451797,.025110746,-.57552242,.56493801,-.063667953,.034764361
sample_average,hicksian,3,5,.3561559352171628,.023009095,.037861731,.60771376,.54337734,-.051198531,.097216725
sample_average,hicksian,3,6,.3561559352171628,.01839208,.041904651,.43890309,.66073173,-.063739523,.10052368
sample_average,hicksian,4,1,.0741020402582493,-.0055424427,.095936321,-.0577721,.95393014,-.19357418,.18248929
sample_average,hicksian,4,2,.0741020402582493,.1380008,.058721419,2.3500931,.018768717,.022908933,.25309268
