specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,a1,.2206049999241875,.015200401,14.513104,0,.19081277,.25039724
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,a2,.0416884595467037,.014154359,2.9452736,.0032266921,.013946426,.069430493
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,a3,.32384266309854,.019490283,16.615597,0,.28564242,.3620429
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,a4,.0805914242158913,.0080300178,10.03627,1.0559167e-23,.064852878,.096329972
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,a5,.1243834369371496,.012035295,10.334888,4.8998231e-25,.10079469,.14797218
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,b1_1,-.0897031949422736,.026294393,-3.4114952,.00064607646,-.14123926,-.03816713
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,b2_1,-.0182384930645543,.0088660195,-2.0571232,.039674383,-.035615571,-.00086141488
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,b3_1,.1106080037415654,.03564927,3.1026726,.0019178176,.04073672,.18047929
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,b4_1,-.0105688903336445,.011767405,-.89814961,.36910579,-.03363258,.0124948
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,b5_1,-.0581800804801306,.01933565,-3.0089538,.0026214893,-.096077256,-.020282902
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g1_1,.1236751137472264,.014689766,8.4191341,3.7927627e-17,.094883703,.15246652
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g1_2,-.0142665118946184,.0054685622,-2.6088233,.0090854149,-.024984697,-.0035483274
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g1_3,-.0252158683219108,.016728448,-1.5073645,.13171725,-.058003023,.0075712861
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g1_4,-.0177514437835609,.0070017898,-2.5352724,.011235994,-.031474698,-.0040281881
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g1_5,-.0231668564209314,.0092665153,-2.5000613,.012417185,-.041328892,-.0050048195
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g2_2,.024533670445534,.0045668511,5.3721194,7.7816551e-08,.015582806,.033484533
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g2_3,-.0078268865198535,.0097435275,-.80329084,.42180666,-.02692385,.011270077
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g2_4,.0077933812366928,.0042776391,1.8218884,.068471909,-.00059063715,.016177399
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g2_5,-.0037840171914903,.0049229153,-.76865375,.44209889,-.013432753,.0058647194
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g3_3,.1657207814420727,.029149948,5.6851139,1.3072537e-08,.10858794,.22285363
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g3_4,-.0253858757325078,.0082630236,-3.0722258,.0021246886,-.041581105,-.0091906469
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g3_5,-.0370995767209084,.013151106,-2.8210232,.0047870749,-.062875271,-.011323881
"""EASI order 1 unrestricted""",easi,gmm,1,2,1,g4_4,.057276583732858,.006311907,9.0743704,1.1433655e-19,.044905473,.069647692
