evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.1978396453392133,.57137752,.11931011,4.7890115,1.6760484e-06,.33753398,.80522102
sample_average,expenditure,2,0,.0357434563367574,.4531647,.29265606,1.5484548,.12151284,-.12043066,1.0267601
sample_average,expenditure,3,0,.3546117169929259,1.3220001,.090074681,14.676711,0,1.145457,1.4985433
sample_average,expenditure,4,0,.0734650399339673,.74207795,.17041311,4.3545828,.000013332069,.40807441,1.0760815
sample_average,expenditure,5,0,.1205647433006582,.53954023,.15116927,3.569113,.00035819199,.24325387,.83582652
sample_average,expenditure,6,0,.2177753980964781,1.2967404,.11950678,10.850769,1.9775399e-27,1.0625114,1.5309694
sample_average,marshallian,1,1,.1978396453392133,-.36554477,.069576867,-5.2538261,1.4897137e-07,-.50191289,-.22917661
sample_average,marshallian,1,2,.1978396453392133,-.057366677,.030693095,-1.8690417,.061617013,-.11752404,.002790686
sample_average,marshallian,1,3,.1978396453392133,.049928483,.096769601,.51595217,.60588783,-.13973644,.23959342
sample_average,marshallian,1,4,.1978396453392133,-.070175581,.038823217,-1.8075675,.070673853,-.14626768,.0059165247
sample_average,marshallian,1,5,.1978396453392133,-.06413459,.046238504,-1.3870386,.16542999,-.15476041,.026491215
sample_average,marshallian,1,6,.1978396453392133,-.064084373,.058171712,-1.1016415,.27061757,-.17809883,.049930092
sample_average,marshallian,2,1,.0357434563367574,-.29413676,.15719113,-1.8712045,.061316736,-.60222572,.0139522
sample_average,marshallian,2,2,.0357434563367574,-.22124675,.2472887,-.8946901,.37095279,-.70592368,.26343021
sample_average,marshallian,2,3,.0357434563367574,-.090683967,.30647704,-.29589155,.76731288,-.69136792,.50999999
sample_average,marshallian,2,4,.0357434563367574,.24016982,.17079262,1.4062072,.15966259,-.094577566,.5749172
sample_average,marshallian,2,5,.0357434563367574,-.14321768,.13518178,-1.0594451,.28939709,-.40816909,.12173374
sample_average,marshallian,2,6,.0357434563367574,.055950623,.16878168,.33149701,.74026912,-.27485538,.38675663
sample_average,marshallian,3,1,.3546117169929259,-.12064756,.048035759,-2.5116198,.012017849,-.21479592,-.026499204
sample_average,marshallian,3,2,.3546117169929259,-.040195763,.02544965,-1.5794231,.11423905,-.090076163,.0096846335
sample_average,marshallian,3,3,.3546117169929259,-.61179543,.094839938,-6.4508204,1.1124636e-10,-.79767829,-.42591256
sample_average,marshallian,3,4,.3546117169929259,-.10328449,.025712445,-4.0169063,.000058967144,-.15367995,-.052889016
sample_average,marshallian,3,5,.3546117169929259,-.13722281,.037268333,-3.6820216,.00023139174,-.21026741,-.064178221
sample_average,marshallian,3,6,.3546117169929259,-.30885407,.039924704,-7.7359142,1.0266285e-14,-.38710505,-.23060308
sample_average,marshallian,4,1,.0734650399339673,-.22275253,.096683338,-2.3039391,.021226063,-.4122484,-.033256661
sample_average,marshallian,4,2,.0734650399339673,.10652474,.061124191,1.742759,.081375718,-.013276476,.22632594
sample_average,marshallian,4,3,.0734650399339673,-.29290134,.13547756,-2.1619916,.030618833,-.55843246,-.027370192
sample_average,marshallian,4,4,.0734650399339673,-.15460913,.096184246,-1.6074266,.10796081,-.3431268,.033908539
sample_average,marshallian,4,5,.0734650399339673,.044968151,.086273424,.52122831,.60220772,-.12412465,.21406095
sample_average,marshallian,4,6,.0734650399339673,-.22330785,.087589607,-2.5494788,.010788408,-.39498031,-.051635366
sample_average,marshallian,5,1,.1205647433006582,-.098942414,.074449085,-1.3289943,.18384984,-.24485993,.046975113
sample_average,marshallian,5,2,.1205647433006582,-.045546662,.041640118,-1.0938169,.27403533,-.12715979,.036066469
sample_average,marshallian,5,3,.1205647433006582,-.12613791,.12940395,-.97476095,.32967883,-.37976497,.12748916
sample_average,marshallian,5,4,.1205647433006582,.042280383,.055820063,.75744063,.44878593,-.067124933,.1516857
sample_average,marshallian,5,5,.1205647433006582,-.3396011,.074580684,-4.5534725,5.2767523e-06,-.48577657,-.19342566
sample_average,marshallian,5,6,.1205647433006582,.028407509,.073755853,.38515601,.70012182,-.1161513,.17296632
sample_average,marshallian,6,1,.2177753980964781,-.20172346,.053361025,-3.7803521,.00015660666,-.30630913,-.097137779
sample_average,marshallian,6,2,.2177753980964781,-.020969141,.025717244,-.81537282,.41485894,-.071374014,.02943573
sample_average,marshallian,6,3,.2177753980964781,-.4939611,.086772978,-5.6925683,1.2514253e-08,-.664033,-.3238892
sample_average,marshallian,6,4,.2177753980964781,-.11607967,.028071512,-4.1351414,.000035473608,-.17109883,-.061060522
sample_average,marshallian,6,5,.2177753980964781,-.075564697,.039844945,-1.8964689,.057898063,-.15365934,.0025299569
sample_average,marshallian,6,6,.2177753980964781,-.38844237,.075245485,-5.1623349,2.4388851e-07,-.5359208,-.24096394
sample_average,hicksian,1,1,.1978396453392133,-.25250363,.067015611,-3.7678332,.0001646707,-.38385183,-.12115546
sample_average,hicksian,1,2,.1978396453392133,-.03694367,.030361094,-1.2168096,.22367667,-.096450321,.022562981
sample_average,hicksian,1,3,.1978396453392133,.25254562,.082666852,3.0549805,.0022507505,.090521581,.41456971
sample_average,hicksian,1,4,.1978396453392133,-.028199311,.036503933,-.77250057,.43981799,-.099745706,.043347083
sample_average,hicksian,1,5,.1978396453392133,.0047533894,.045148086,.1052844,.91615015,-.083735235,.093242012
sample_average,hicksian,1,6,.1978396453392133,.060347591,.054578498,1.1057026,.26885524,-.046624299,.16731948
sample_average,hicksian,2,1,.0357434563367574,-.20448281,.1774316,-1.15246,.2491321,-.55224234,.14327672
sample_average,hicksian,2,2,.0357434563367574,-.20504907,.23894529,-.85814232,.39081389,-.67337322,.26327509
sample_average,hicksian,2,3,.0357434563367574,.070013553,.32569313,.21496786,.82979238,-.56833321,.70836031
sample_average,hicksian,2,4,.0357434563367574,.27346158,.15775849,1.7334192,.083021201,-.035739373,.58266252
sample_average,hicksian,2,5,.0357434563367574,-.088581994,.13525173,-.65494168,.51250529,-.35367051,.17650652
sample_average,hicksian,2,6,.0357434563367574,.15463875,.14921404,1.0363553,.30003646,-.1378154,.44709289
sample_average,hicksian,3,1,.3546117169929259,.14089647,.045303442,3.1100612,.001870486,.052103359,.22968958
sample_average,hicksian,3,2,.3546117169929259,.0070570884,.034317486,.2056412,.83707118,-.060203947,.074318126
sample_average,hicksian,3,3,.3546117169929259,-.1429987,.082516164,-1.732978,.083099589,-.30472741,.018730018
sample_average,hicksian,3,4,.3546117169929259,-.0061636916,.02387313,-.25818533,.79626387,-.052954167,.040626783
sample_average,hicksian,3,5,.3546117169929259,.022163788,.036356755,.6096195,.5421139,-.049094144,.09342172
sample_average,hicksian,3,6,.3546117169929259,-.020954965,.040805709,-.51353025,.60758048,-.10093269,.059022754
sample_average,hicksian,4,1,.0734650399339673,-.075940087,.098390952,-.77181983,.44022113,-.26878282,.11690263
sample_average,hicksian,4,2,.0734650399339673,.13304916,.060662076,2.193284,.028286917,.014153682,.25194466
sample_average,hicksian,4,3,.0734650399339673,-.029751802,.11509092,-.25850692,.79601568,-.25532588,.19582227
sample_average,hicksian,4,4,.0734650399339673,-.10009234,.090396181,-1.107263,.26818025,-.27726561,.077080913
sample_average,hicksian,4,5,.0734650399339673,.13443659,.087609917,1.5344906,.12490901,-.037275687,.30614886
sample_average,hicksian,4,6,.0734650399339673,-.061701521,.076340824,-.80823755,.41895384,-.21132679,.087923743
sample_average,hicksian,5,1,.1205647433006582,.0078000319,.074094489,.10527142,.91616046,-.13742249,.15302256
sample_average,hicksian,5,2,.1205647433006582,-.02626163,.040318824,-.65134913,.51482117,-.10528507,.052761812
sample_average,hicksian,5,3,.1205647433006582,.065189362,.1073681,.60715765,.54374629,-.14524825,.27562699
sample_average,hicksian,5,4,.1205647433006582,.081917726,.053525113,1.530454,.1259044,-.022989573,.18682502
sample_average,hicksian,5,5,.1205647433006582,-.27455157,.075326301,-3.6448305,.00026756822,-.4221884,-.12691475
sample_average,hicksian,5,6,.1205647433006582,.14590609,.067569122,2.1593604,.030822208,.013473049,.27833915
sample_average,hicksian,6,1,.2177753980964781,.054823209,.049714249,1.1027664,.27012861,-.042614933,.15226135
sample_average,hicksian,6,2,.2177753980964781,.025380844,.024441067,1.0384507,.29906026,-.022522768,.073284455
sample_average,hicksian,6,3,.2177753980964781,-.034121744,.067049906,-.5089007,.61082184,-.16553713,.097293653
sample_average,hicksian,6,4,.2177753980964781,-.020814586,.025790652,-.80705929,.41963232,-.071363337,.029734163
sample_average,hicksian,6,5,.2177753980964781,.080776483,.038095132,2.1203885,.033973295,.0061113937,.15544157
sample_average,hicksian,6,6,.2177753980964781,-.1060442,.070088014,-1.5130148,.13027589,-.24341418,.03132578
