evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.198955164875328,.5449664,.13627231,3.9990985,.000063584223,.2778776,.81205523
sample_average,expenditure,2,0,.0402058670014799,.54109085,.24264035,2.2300117,.025746664,.065524474,1.0166571
sample_average,expenditure,3,0,.3580436550285706,1.3143944,.10045379,13.084567,0,1.1175085,1.5112802
sample_average,expenditure,4,0,.0712020935868767,.8152892,.16550681,4.9260163,8.3923078e-07,.4909018,1.1396766
sample_average,expenditure,5,0,.1209671694721463,.51182079,.16387457,3.1232471,.0017886746,.19063254,.833009
sample_average,expenditure,6,0,.2106260500355986,1.3257939,.13055895,10.154752,3.1561090e-24,1.069903,1.5816847
sample_average,marshallian,1,1,.198955164875328,-.29105651,.080347687,-3.622463,.00029181133,-.44853505,-.13357794
sample_average,marshallian,1,2,.198955164875328,-.052030973,.026672488,-1.9507357,.051088501,-.10430809,.00024614306
sample_average,marshallian,1,3,.198955164875328,.030599762,.10096091,.30308524,.76182491,-.16727997,.2284795
sample_average,marshallian,1,4,.198955164875328,-.051266361,.037712898,-1.3593853,.17402452,-.12518229,.022649562
sample_average,marshallian,1,5,.198955164875328,-.060961969,.049671408,-1.2273051,.21970797,-.15831614,.036392201
sample_average,marshallian,1,6,.198955164875328,-.12025038,.054627702,-2.2012711,.027716836,-.2273187,-.013182054
sample_average,marshallian,2,1,.0402058670014799,-.25669959,.12236924,-2.0977461,.035927583,-.49653888,-.016860286
sample_average,marshallian,2,2,.0402058670014799,-.3728137,.1768021,-2.1086497,.034974825,-.71933943,-.026287958
sample_average,marshallian,2,3,.0402058670014799,-.042930994,.27569738,-.15571782,.87625545,-.58328795,.49742594
sample_average,marshallian,2,4,.0402058670014799,.22797868,.13333024,1.7098796,.087288134,-.033343807,.48930115
sample_average,marshallian,2,5,.0402058670014799,-.039706655,.11941412,-.33251223,.73950249,-.27375403,.19434072
sample_average,marshallian,2,6,.0402058670014799,-.056918565,.12598249,-.4517974,.65141493,-.30383971,.19000259
sample_average,marshallian,3,1,.3580436550285706,-.13607819,.050533198,-2.6928477,.0070844637,-.23512144,-.037034955
sample_average,marshallian,3,2,.3580436550285706,-.035912197,.025347311,-1.416805,.15653993,-.085592017,.013767619
sample_average,marshallian,3,3,.3580436550285706,-.64700687,.095774099,-6.7555513,1.4229330e-11,-.83472061,-.45929304
sample_average,marshallian,3,4,.3580436550285706,-.093528464,.025386797,-3.6841381,.00022947784,-.14328568,-.043771259
sample_average,marshallian,3,5,.3580436550285706,-.1415914,.03823724,-3.702971,.00021308918,-.21653502,-.066647783
sample_average,marshallian,3,6,.3580436550285706,-.26027724,.034907319,-7.4562368,8.9028726e-14,-.32869434,-.19186015
sample_average,marshallian,4,1,.0712020935868767,-.19703221,.097154044,-2.0280392,.042556252,-.38745064,-.0066137775
sample_average,marshallian,4,2,.0712020935868767,.11770891,.05784573,2.0348763,.041863311,.0043333634,.23108447
sample_average,marshallian,4,3,.0712020935868767,-.29161161,.13909744,-2.0964556,.036041789,-.56423759,-.018985644
sample_average,marshallian,4,4,.0712020935868767,-.17885874,.092873223,-1.9258376,.054124657,-.36088693,.003169429
sample_average,marshallian,4,5,.0712020935868767,.051525012,.088509306,.58214235,.56047082,-.12195003,.22500005
sample_average,marshallian,4,6,.0712020935868767,-.31702054,.078189321,-4.0545249,.000050236329,-.47026879,-.16377228
sample_average,marshallian,5,1,.1209671694721463,-.093669884,.082172289,-1.1399206,.25431937,-.25472462,.067384839
sample_average,marshallian,5,2,.1209671694721463,-.012020477,.040158372,-.29932678,.7646907,-.090729445,.066688493
sample_average,marshallian,5,3,.1209671694721463,-.13173173,.13012266,-1.0123658,.31136316,-.38676745,.12330399
sample_average,marshallian,5,4,.1209671694721463,.051935557,.054620095,.95085073,.34168017,-.055117864,.15898898
sample_average,marshallian,5,5,.1209671694721463,-.3029125,.077457875,-3.9106741,.000092038885,-.45472714,-.15109785
sample_average,marshallian,5,6,.1209671694721463,-.023421748,.066086382,-.3544111,.72303081,-.15294868,.10610518
sample_average,marshallian,6,1,.2106260500355986,-.2689369,.06042726,-4.4505892,8.5635047e-06,-.38737217,-.15050165
sample_average,marshallian,6,2,.2106260500355986,-.042414706,.028078523,-1.5105747,.13089684,-.097447596,.012618186
sample_average,marshallian,6,3,.2106260500355986,-.44652736,.086730555,-5.1484432,2.6265704e-07,-.61651611,-.27653858
sample_average,marshallian,6,4,.2106260500355986,-.14351773,.029347405,-4.8903041,1.0068043e-06,-.20103759,-.085997872
sample_average,marshallian,6,5,.2106260500355986,-.11191565,.041834071,-2.6752272,.0074678641,-.19390891,-.02992237
sample_average,marshallian,6,6,.2106260500355986,-.31248155,.071361922,-4.3788276,.000011931946,-.45234832,-.17261475
sample_average,hicksian,1,1,.198955164875328,-.18263263,.073157623,-2.4964263,.012545176,-.32601893,-.039246306
sample_average,hicksian,1,2,.198955164875328,-.030120125,.026104013,-1.1538503,.24856152,-.081283048,.0210428
sample_average,hicksian,1,3,.198955164875328,.22572154,.084617518,2.6675508,.0076406342,.05987424,.39156881
