evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,expenditure,1,0,.1976664731735722,.57051849,.12298908,4.6387734,3.5048322e-06,.32946429,.81157267
sample_average,expenditure,2,0,.0366078434406017,.47786349,.26769882,1.7850789,.07424853,-.04681655,1.0025436
sample_average,expenditure,3,0,.3569243317435393,1.2983983,.088502511,14.67075,0,1.1249365,1.4718599
sample_average,expenditure,4,0,.0708472432994562,.81647068,.16004743,5.1014295,3.3709742e-07,.50278348,1.1301578
sample_average,expenditure,5,0,.1204239045243262,.54208755,.15223974,3.5607493,.00036979816,.24370313,.84047192
sample_average,expenditure,6,0,.2175302038185045,1.3017924,.12017731,10.832264,2.4209369e-27,1.0662493,1.5373356
sample_average,marshallian,1,1,.1976664731735722,-.34760249,.070236467,-4.9490314,7.4583755e-07,-.48526341,-.20994154
sample_average,marshallian,1,2,.1976664731735722,-.057100967,.028690537,-1.9902369,.046564844,-.11333339,-.00086854637
sample_average,marshallian,1,3,.1976664731735722,.030528868,.096350178,.31685326,.75135493,-.158314,.21937175
sample_average,marshallian,1,4,.1976664731735722,-.070127212,.037894666,-1.8505827,.064229615,-.14439939,.0041449685
sample_average,marshallian,1,5,.1976664731735722,-.066293463,.046967689,-1.4114696,.15810619,-.15834844,.025761513
sample_average,marshallian,1,6,.1976664731735722,-.059923224,.058376722,-1.0264918,.30465987,-.1743395,.054493051
sample_average,marshallian,2,1,.0366078434406017,-.29000565,.14332139,-2.0234637,.043025348,-.57091045,-.009100887
sample_average,marshallian,2,2,.0366078434406017,-.30225047,.19859344,-1.5219558,.12802014,-.69148648,.086985536
sample_average,marshallian,2,3,.0366078434406017,-.094949111,.27981889,-.33932343,.73436606,-.64338404,.45348585
sample_average,marshallian,2,4,.0366078434406017,.22940962,.15298893,1.4995178,.13373934,-.070443153,.52926236
sample_average,marshallian,2,5,.0366078434406017,-.059600558,.13015373,-.45792431,.64700681,-.31469718,.19549607
sample_average,marshallian,2,6,.0366078434406017,.039532691,.1616651,.24453448,.80681694,-.27732509,.35639048
sample_average,marshallian,3,1,.3569243317435393,-.12697038,.047259495,-2.6866639,.0072169532,-.21959729,-.034343474
sample_average,marshallian,3,2,.3569243317435393,-.039776437,.024266377,-1.6391584,.10118029,-.087337665,.0077847913
sample_average,marshallian,3,3,.3569243317435393,-.6053915,.090589605,-6.6827922,2.3443220e-11,-.78294384,-.42783913
sample_average,marshallian,3,4,.3569243317435393,-.085330784,.024292821,-3.5125928,.0004437571,-.13294384,-.037717734
sample_average,marshallian,3,5,.3569243317435393,-.1392601,.036512092,-3.8140814,.00013669035,-.21082248,-.067697711
sample_average,marshallian,3,6,.3569243317435393,-.30166903,.038360946,-7.8639617,3.7217133e-15,-.37685511,-.22648294
sample_average,marshallian,4,1,.0708472432994562,-.24427405,.096223757,-2.5386045,.011129556,-.43286917,-.05567896
sample_average,marshallian,4,2,.0708472432994562,.10614374,.060310576,1.7599524,.078415871,-.012062811,.2243503
