margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,1.174562567289856,1.7822415,1.7776489,1.1579939,8.5792885,.26645774,.99610788,2.187422,.038867924,.012830188,-329.52615,266.3996,2650,.86347342,0
latent,expenditure,2,0,-.2145362607383519,.34004667,.33162984,.11926319,4.9249554,-.6203618,.36960083,.61467057,.21396226,.041509435,-171.76198,.902937,2650,.86347342,0
latent,expenditure,3,0,.9975660550768721,.8962602,.90244424,.99786496,.1084369,.85696298,1.0113302,1.1203941,0,0,.54558939,1.4804752,2650,.86347342,0
latent,expenditure,4,0,.7770416029536817,1.1448381,1.13362,.82998878,1.4988742,.50007743,.78801984,1.2396264,.022264151,.0011320754,-67.742317,3.7052267,2650,.86347342,0
latent,expenditure,5,0,.8453185137883046,.71585965,.73026371,.86219364,.60308868,.63144219,.89581305,1.0435855,.0079245279,.0018867925,-27.634914,5.5335827,2650,.86347342,0
latent,expenditure,6,0,.0290338637279468,.48692775,.54156625,1.2169858,71.027847,.16144571,1.1786488,2.205771,.08075472,.011320755,-3647.0315,146.14931,2650,.86347342,0
latent,marshallian,1,1,1.137282978315676,-.32505801,-.3036477,.21119945,24.012026,-.48793629,-.063012064,1.042742,.55962265,.090943396,-.79082513,1045.3221,2650,.86347342,0
latent,hicksian,1,1,1.344576509927141,.15316206,.14755642,.41867027,24.001783,-.14404061,.1215007,1.1364455,.31132075,.1573585,-.41851804,1045.2721,2650,.86347342,0
latent,marshallian,2,1,-.8102660779387818,-.60390985,-.58899873,-.58180529,2.9689019,-1.2403643,-.29759863,-.12273294,1,0,-59.64291,-.053359412,2650,.86347342,0
latent,hicksian,2,1,-.8553072646470973,-.53049636,-.51372176,-.56079906,3.8437686,-1.2772648,-.25626126,-.014437214,.91773587,.11849057,-92.918114,.17942037,2650,.86347342,0
latent,marshallian,3,1,-.1324059278119931,-.12015956,-.11999156,-.13133416,.039086413,-.18520847,-.12325697,-.090922438,1,0,-.36949578,-.071304552,2650,.86347342,0
latent,hicksian,3,1,.0488990697312642,.07101924,.06807059,.048140723,.077139735,-.042491425,.041919261,.15235315,.27962264,.46301886,-.12854059,.36212754,2650,.86347342,0
latent,marshallian,4,1,-.80825246276228,-.6013301,-.59534115,-.63797104,4.9708147,-1.0134327,-.52993459,-.3193827,1,0,-250.37453,-.19644399,2650,.86347342,0
latent,hicksian,4,1,-.6558464724491152,-.32091418,-.3442789,-.48031723,5.1473923,-.89324933,-.36976349,-.12196389,.97735852,.034716982,-258.55042,.26176381,2650,.86347342,0
latent,marshallian,5,1,-.2469880776268685,-.21764284,-.21548045,-.22714826,.42901027,-.32165089,-.20996143,-.14307863,1,0,-19.562799,-.10259157,2650,.86347342,0
latent,hicksian,5,1,-.0979763571384191,-.079909645,-.073009878,-.076231249,.54522276,-.1901138,-.064516291,.046818037,.7890566,.33433962,-26.031549,.28162307,2650,.86347342,0
latent,marshallian,6,1,-.4780690618223585,-.17264172,-.17495832,-.25792775,7.5937071,-.46249455,-.18479881,-.10380778,.99924529,.0079245279,-385.64755,.14306468,2650,.86347342,0
latent,hicksian,6,1,-.7450038221487193,-.12470211,-.099718556,-.03614274,34.811104,-.20536026,-.0023559681,.13117549,.50716978,.31358489,-1791.6296,6.8758302,2650,.86347342,0
latent,marshallian,1,2,-.1987847937111553,-.089778751,-.08916577,-.11304459,2.1342335,-.20275897,-.08553265,-.033735253,.98867923,.18226415,-81.55011,.034147721,2650,.86347342,0
latent,hicksian,1,2,-.1649885085263618,-.052106116,-.051658023,-.078370497,2.2582567,-.15426454,-.05513953,-.0048766537,.91773587,.45056602,-98.491066,.060332607,2650,.86347342,0
latent,marshallian,2,2,.4773646454831373,.021864342,.00022764548,.056533393,5.5398283,-.70411003,-.39766973,1.0640745,.74264151,.03018868,-.81439871,141.99686,2650,.86347342,0
latent,hicksian,2,2,.4940370315906807,.038719408,.016946137,.072920054,5.5345874,-.65997601,-.38140559,1.0572757,.74188679,.032452829,-.72308314,141.96988,2650,.86347342,0
latent,marshallian,3,2,-.0185230785412199,-.014614064,-.014793447,-.018313535,.0071456512,-.026652485,-.017644988,-.010965516,1,.99509436,-.083984248,-.0046811164,2650,.86347342,0
latent,hicksian,3,2,.0263546570449851,.009642845,.010165219,.025991919,.028066559,-.0069397329,.022139164,.066560015,.17849056,.8045283,-.042418424,.13105138,2650,.86347342,0
latent,marshallian,4,2,.1370671795313083,.089122191,.089415044,.10757105,.84903717,.058527254,.087676838,.17139509,0,.030943396,.033164892,42.575523,2650,.86347342,0
latent,hicksian,4,2,.1648654558408079,.11545541,.11553489,.13854007,.77797669,.090779811,.12284328,.19723995,0,0,.051078994,39.279026,2650,.86347342,0
latent,marshallian,5,2,-.0299055232505186,-.020765612,-.020726869,-.0271316,.057989009,-.042714383,-.025230739,-.012921607,1,.94188678,-2.4266169,-.003440972,2650,.86347342,0
latent,hicksian,5,2,.0102704414741177,.000018157547,.00048241872,.012121103,.060911,-.021603849,.0091185905,.053359739,.3528302,.86301887,-2.5167041,.12181464,2650,.86347342,0
latent,marshallian,6,2,-.0669924043996963,-.010542505,-.011601375,-.039167948,.50604004,-.085582256,-.018709188,-.0028516366,.92641509,.81283021,-16.582411,.55973202,2650,.86347342,0
latent,hicksian,6,2,.0169407256812287,.0071659614,.008145758,.034584865,1.2529744,-.008292309,.024019979,.088143408,.18566038,.72754717,-64.1679,2.7247641,2650,.86347342,0
latent,marshallian,1,3,-.6770784724673237,-.51158124,-.50845087,-.4015722,6.723227,-.93803811,-.31255263,.042922165,.85018867,.12188679,-293.71384,.58315068,2650,.86347342,0
latent,hicksian,1,3,-.2324887198214564,.11310639,.1098967,.017609207,6.5466676,-.17056984,.075329944,.21571761,.27962264,.22716981,-285.2309,.34803748,2650,.86347342,0
latent,marshallian,2,3,.0550641261158313,-.008100233,-.0016736934,.058605641,.48554853,-.10095152,.094129324,.17774932,.21962264,.19283019,-8.720026,12.883633,2650,.86347342,0
latent,hicksian,2,3,-.0069494005791745,.120039,.1231261,.095930986,1.4086946,-.17946054,.18381989,.35143474,.17849056,.070566036,-37.956848,.51727128,2650,.86347342,0
latent,marshallian,3,3,-.5230904632443771,-.49969026,-.51083601,-.52750731,.13708103,-.66090149,-.55182457,-.34773487,.99245286,.0041509434,-.75092149,.47081554,2650,.86347342,0
latent,hicksian,3,3,-.1701175505472092,-.16858153,-.17446148,-.1735442,.064142905,-.20471264,-.1937639,-.1033048,.96830189,.041886792,-.21288741,.53234822,2650,.86347342,0
latent,marshallian,4,3,-.2424762442825965,-.2905609,-.28529513,-.19445407,1.4264284,-.38821426,-.16174246,-.022120392,.95056605,.17056604,-71.935036,.16363181,2650,.86347342,0
latent,hicksian,4,3,.0320074204919849,.11682153,.11887706,.099292576,1.9874878,-.043013435,.12485838,.25163302,.14339623,.15433963,-99.765221,.38654825,2650,.86347342,0
latent,marshallian,5,3,-.302713281592604,-.21699578,-.21769433,-.2775214,.51235723,-.41624889,-.25952694,-.13809992,1,0,-21.265905,-.088125326,2650,.86347342,0
latent,hicksian,5,3,-.0044387108854267,.040306963,.042895101,.024047447,.67415023,-.13882662,.026980497,.20236652,.42339623,.28490567,-30.83993,.33325347,2650,.86347342,0
latent,marshallian,6,3,-.2594314159387222,-.1015587,-.11329582,-.40231776,16.53104,-.86237043,-.25161517,-.0031889665,.90075469,.072075471,-103.79597,835.85101,2650,.86347342,0
latent,hicksian,6,3,-.3915427478860136,.06554573,.066466108,-.00083383039,15.647789,-.24524045,.090654068,.19886476,.25207546,.17622642,-802.38153,.30839214,2650,.86347342,0
latent,marshallian,1,4,-.513159590637812,-.21308355,-.21163264,-.29246631,5.5657349,-.49831849,-.22011963,-.11764999,1,.0075471699,-229.53168,-.031056875,2650,.86347342,0
latent,hicksian,1,4,-.4338512661964079,-.085999846,-.095025383,-.21693367,5.674737,-.42005891,-.15300152,-.039582308,.97735852,.12981132,-248.2975,.082081951,2650,.86347342,0
latent,marshallian,2,4,.4339224726949845,.29296455,.28742176,.31267333,1.6360943,.095542721,.18812416,.58932215,0,.00075471698,.042863015,42.537476,2650,.86347342,0
latent,hicksian,2,4,.4303449165901516,.31991404,.31527421,.32676774,1.3871756,.13545015,.21324332,.57303441,0,0,.060743097,35.980988,2650,.86347342,0
latent,marshallian,3,4,-.0437192817074479,-.036372215,-.036523916,-.04329912,.014528538,-.061699595,-.040764064,-.028962292,1,.7211321,-.14962272,-.019089285,2650,.86347342,0
latent,hicksian,3,4,.0275686885789417,.02359188,.024199467,.027366864,.02822935,-.0054615871,.024128484,.065076359,.14339623,.79132074,-.066525854,.13597031,2650,.86347342,0
latent,marshallian,4,4,.3779799760444438,-.035763346,-.041176375,.086550541,8.4162703,-.42083865,-.098344892,.71521348,.59320754,.09924528,-.63808519,422.60309,2650,.86347342,0
latent,hicksian,4,4,.4378919971591513,.045915943,.036300778,.14897232,8.4122295,-.33475736,-.035865888,.73003197,.53773582,.10641509,-.48089707,422.59326,2650,.86347342,0
latent,marshallian,5,4,.0313191895610185,.037132073,.035902251,.028522857,.079861194,.013919462,.02365575,.051355314,0,.89245284,.003240301,3.956542,2650,.86347342,0
latent,hicksian,5,4,.0922949177731013,.085299902,.085569136,.090569459,.053000215,.054606445,.086518124,.13530312,0,.071698114,.016964424,1.9780651,2650,.86347342,0
latent,marshallian,6,4,-.2549719810945076,-.071936175,-.073110804,-.12327824,4.5364909,-.22382458,-.082562871,-.043104395,.9973585,.18037736,-230.86411,.042978935,2650,.86347342,0
latent,hicksian,6,4,-.2055928774906724,-.04091337,-.036973525,-.0279893,8.2670832,-.10663223,-.0031831884,.035191499,.53433961,.7109434,-425.37543,.11780862,2650,.86347342,0
latent,marshallian,1,5,-.4021641321260387,-.24614458,-.24453975,-.23922096,3.9704642,-.49245363,-.18002611,-.037502136,.96641511,.12150943,-163.16438,.11333843,2650,.86347342,0
latent,hicksian,1,5,-.2451450850089567,-.035616536,-.034951754,-.088639446,4.0877357,-.21484022,-.044857949,.026262546,.7890566,.4935849,-178.01422,.10753161,2650,.86347342,0
latent,marshallian,2,5,-.0583551609250668,-.046400908,-.044130988,-.035876565,.32358199,-.11377256,-.0059882705,.031733863,.5573585,.74000001,-7.9576674,.28354916,2650,.86347342,0
latent,hicksian,2,5,-.0761610491834011,-.0012710814,-.00012982101,-.019944975,.78228039,-.17033084,.030153228,.10863794,.3528302,.39962265,-22.629976,.1845805,2650,.86347342,0
latent,marshallian,3,5,-.1113173781223965,-.093215421,-.094109409,-.11037711,.036655337,-.15777305,-.10438657,-.074249268,1,0,-.36724177,-.055016547,2650,.86347342,0
latent,hicksian,3,5,.0145010381344637,.019315869,.021562004,.014561168,.051123276,-.045041863,.010307615,.084762804,.42339623,.67584908,-.18041213,.15942748,2650,.86347342,0
latent,marshallian,4,5,.0782964326510826,.014433519,.01729341,.060562629,.49146086,.001346068,.055017214,.11728963,.093584903,.46188679,-.068197496,24.1411,2650,.86347342,0
latent,hicksian,4,5,.1760488373282767,.15626536,.15766469,.16616219,.32096764,.10469458,.16272542,.23101667,0,.0086792456,.024489831,16.153612,2650,.86347342,0
latent,marshallian,5,5,-.2273109093670773,-.27672547,-.28758362,-.29017431,1.4238744,-.55013841,-.36073968,.032494225,.88867927,.034716982,-.68022263,65.851486,2650,.86347342,0
latent,hicksian,5,5,-.116865065846407,-.17914316,-.19020768,-.17965785,1.4118147,-.38638672,-.24791569,.088634975,.86603773,.052452829,-.44011298,65.818985,2650,.86347342,0
latent,marshallian,6,5,-.0177241139242469,.010315957,.0047804164,-.091948569,6.1340728,-.24462134,-.059609212,.053003173,.76905662,.33547169,-28.073263,312.34448,2650,.86347342,0
latent,hicksian,6,5,.0243403034441462,.076087043,.075365975,.059304927,.95109963,-.0062962528,.073514156,.12691018,.1154717,.25245282,-46.60643,.20354566,2650,.86347342,0
latent,marshallian,1,6,-.5206584571033379,-.3965953,-.39464784,-.3200863,4.7763577,-.72636092,-.26265714,.028227303,.85886794,.14679246,-200.70949,.20844227,2650,.86347342,0
latent,hicksian,1,6,-.2681028308140939,-.092545927,-.093021482,-.059781797,5.4369168,-.26201376,-.0027822647,.13675492,.50716978,.2154717,-235.23831,.1998823,2650,.86347342,0
latent,marshallian,2,6,.11680629337399,.0035354481,.0071439384,.084228158,.86494786,-.075458646,.082178943,.25259975,.24754716,.24905661,-4.436439,34.506264,2650,.86347342,0
latent,hicksian,2,6,.0140358042945832,.053095039,.05485484,.079719543,.91076356,-.10084158,.13569592,.25424087,.18566038,.13169812,-24.445929,.35208282,2650,.86347342,0
latent,marshallian,3,6,-.1685099310412559,-.13220868,-.13416179,-.1668819,.059200305,-.24209459,-.15674712,-.10695463,1,0,-.61049926,-.080601357,2650,.86347342,0
latent,hicksian,3,6,.0527940916657361,.045011688,.043816581,.05438431,.093729451,-.068959251,.061464198,.16516504,.25207546,.31433961,-.50002801,.25149021,2650,.86347342,0
latent,marshallian,4,6,-.3196564608992889,-.32073945,-.31771466,-.25461677,1.9617823,-.45265633,-.21387012,-.074627213,.99811321,.046792451,-99.267815,.0096266773,2650,.86347342,0
latent,hicksian,4,6,-.1549672151347546,-.11354403,-.11271995,-.075197846,2.3784125,-.29343259,-.011874598,.10507276,.53433961,.29207548,-119.71026,.23614976,2650,.86347342,0
latent,marshallian,5,6,-.0697199205896696,-.020861996,-.024264058,-.065442368,.11892186,-.12646368,-.068320416,.0023199755,.89132077,.3554717,-4.4066105,1.0822083,2650,.86347342,0
latent,hicksian,5,6,.116714765545619,.13342777,.13259564,.12487558,.21894865,-.0095731569,.13189574,.24417897,.1154717,.16528302,-8.4088659,.34610996,2650,.86347342,0
latent,marshallian,6,6,1.04815501233693,-.14056464,-.16673064,-.27729499,60.854542,-.71531057,-.50411785,.33856553,.82867926,.033584904,-.81398386,3130.356,2650,.86347342,0
latent,hicksian,6,6,1.300858317285376,.016816702,-.0079743601,-.0239895,60.84436,-.29622763,-.23728761,.36770773,.78188682,.056226414,-.39240372,3130.1606,2650,.86347342,0
