margin,elasticity_type,demand_good,shock_good,elasticity,aggregate_elasticity,trimmed_aggregate,trimmed_mean,std_dev,p10,p50,p90,negative_rate,near_zero_rate,min,max,n_valid,support_rate,min_share_floor
latent,expenditure,1,0,1.158263739370104,1.7757348,1.7696998,1.1266425,1.3310939,.26037034,.94305062,2.1865675,.039473683,.013157895,-15.276114,25.115099,2508,.8172043,.0049999999
latent,expenditure,2,0,.2365493784563484,.38934737,.37693918,.26232174,.51964337,-.27190873,.38697147,.61814809,.18062201,.043460924,-4.6635027,.902937,2508,.8172043,.0049999999
latent,expenditure,3,0,1.002919871853182,.9015485,.90836179,1.0033051,.10672454,.86352217,1.0169026,1.121549,0,0,.54558939,1.4804752,2508,.8172043,.0049999999
latent,expenditure,4,0,.8099603377128985,1.1254252,1.1154597,.8208859,.37458548,.50004005,.77675784,1.2166126,.018341308,.0011961722,-3.1429467,3.7052267,2508,.8172043,.0049999999
latent,expenditure,5,0,.8665260591847826,.72846186,.74209839,.87244403,.19974899,.64807385,.90543282,1.0461895,.005582137,.0019936203,-1.1116147,2.7397299,2508,.8172043,.0049999999
latent,expenditure,6,0,1.340605821543482,.51491964,.57410377,1.2555964,2.6584167,.19661428,1.2038077,2.2366099,.076555021,.011164274,-31.261023,39.866138,2508,.8172043,.0049999999
latent,marshallian,1,1,.3749973040073986,-.30161643,-.27906796,.20730941,2.1309936,-.47094128,-.052222557,1.0547465,.54984051,.092105262,-.79082513,30.318979,2508,.8172043,.0049999999
latent,hicksian,1,1,.5731118312783902,.16260405,.15688549,.40542573,2.0937891,-.15129198,.1264796,1.1562415,.31618819,.15191388,-.41851804,30.37756,2508,.8172043,.0049999999
latent,marshallian,2,1,-.42889507606882,-.53066891,-.51542276,-.41222841,.41595772,-.91334492,-.28482857,-.12110806,1,0,-3.0571456,-.053359412,2508,.8172043,.0049999999
latent,hicksian,2,1,-.3819612020193482,-.44531417,-.43334627,-.36440641,.47423849,-.90606099,-.24247666,-.011904628,.91467303,.12400319,-3.1114347,.17942037,2508,.8172043,.0049999999
latent,marshallian,3,1,-.1330113371631275,-.12014756,-.12012729,-.13197871,.039319992,-.18739861,-.12423283,-.090923525,1,0,-.36949578,-.071304552,2508,.8172043,.0049999999
latent,hicksian,3,1,.047657059359252,.066377327,.063543335,.046747293,.076189369,-.042518962,.040650763,.15066488,.28349283,.46969697,-.12854059,.36212754,2508,.8172043,.0049999999
latent,marshallian,4,1,-.6479875148566653,-.58770609,-.58088601,-.60970545,.55602914,-.97538,-.52017647,-.31719899,1,0,-7.6811318,-.19644399,2508,.8172043,.0049999999
latent,hicksian,4,1,-.4955003284433812,-.32096466,-.34287593,-.45811152,.58313245,-.86223507,-.36604401,-.12288681,.97767144,.034688994,-6.7119751,.26176381,2508,.8172043,.0049999999
latent,marshallian,5,1,-.2357533450332947,-.21480514,-.21346891,-.22556117,.15915956,-.31975016,-.20980309,-.14280139,1,0,-3.3690698,-.10259157,2508,.8172043,.0049999999
latent,hicksian,5,1,-.0829885516437847,-.077729948,-.072816901,-.073540449,.17421064,-.18818277,-.063437425,.046922956,.7850877,.34051037,-2.9893529,.28162307,2508,.8172043,.0049999999
latent,marshallian,6,1,-.3053293643557571,-.17669968,-.17948386,-.25922158,.60193378,-.47145543,-.18832052,-.10600985,.99920255,.0067783096,-11.074069,.14306468,2508,.8172043,.0049999999
latent,hicksian,6,1,-.0558062854015263,-.12384994,-.097722478,-.031817153,.60876441,-.20221245,.00035973036,.13249749,.49920255,.30741626,-14.934757,6.8758302,2508,.8172043,.0049999999
latent,marshallian,1,2,-.1285179226698441,-.093907982,-.093223296,-.1119538,.22189564,-.20476417,-.086518019,-.03285538,.98923445,.1870016,-3.7521307,.034147721,2508,.8172043,.0049999999
latent,hicksian,1,2,-.0911462812374018,-.051185131,-.050671753,-.075674139,.20183812,-.15574156,-.053748682,-.0038070565,.91467303,.4649123,-2.8796883,.060332607,2508,.8172043,.0049999999
latent,marshallian,2,2,-.1905582209394929,-.094486147,-.1086005,-.21703696,.67587805,-.7079857,-.41562679,.59047747,.77472091,.031499203,-.81439871,3.6479375,2508,.8172043,.0049999999
latent,hicksian,2,2,-.1727394217112287,-.077298634,-.091537625,-.19952816,.66320753,-.66319978,-.40178299,.58816624,.77392346,.033891547,-.72308314,3.6471784,2508,.8172043,.0049999999
latent,marshallian,3,2,-.0186142681668205,-.014423305,-.014626629,-.018396026,.007228544,-.026900919,-.017837733,-.010854258,1,.9948166,-.083984248,-.0046811164,2508,.8172043,.0049999999
latent,hicksian,3,2,.0280464759309019,.012260627,.012807182,.027704868,.027159974,-.0034397801,.023363994,.066946372,.14314194,.79704946,-.033801202,.13105138,2508,.8172043,.0049999999
latent,marshallian,4,2,.109943964643986,.087152511,.087357469,.10372791,.093228891,.058346651,.086614951,.16569141,0,.03229665,.033164892,1.1769552,2508,.8172043,.0049999999
latent,hicksian,4,2,.1417049083780977,.11613561,.11618827,.13621458,.084184408,.091677666,.12323517,.19400081,0,0,.051078994,1.1696969,2508,.8172043,.0049999999
latent,marshallian,5,2,-.0283545979925304,-.020035176,-.020153584,-.026942415,.023787389,-.042286962,-.025233826,-.012732141,1,.94377989,-.59804267,-.003440972,2508,.8172043,.0049999999
latent,hicksian,5,2,.0132517117511691,.0027624827,.0031296534,.013904363,.032678746,-.017701544,.010346618,.053832345,.32535884,.86283892,-.35695416,.12181464,2508,.8172043,.0049999999
latent,marshallian,6,2,-.0510400096719619,-.0098566888,-.011051001,-.039258342,.17058836,-.089923061,-.019460792,-.0025409169,.92264754,.80661881,-2.8090534,.55973202,2508,.8172043,.0049999999
latent,hicksian,6,2,.041198437089299,.0097332457,.010702087,.036596563,.09011858,-.0042105946,.02564932,.090113334,.14992025,.71889955,-.55537552,1.8400397,2508,.8172043,.0049999999
latent,marshallian,1,3,-.4521806014901217,-.51647228,-.5121944,-.38774183,.95577937,-.94294488,-.29388571,.04569263,.84330142,.12878788,-19.52453,.58315068,2508,.8172043,.0049999999
latent,hicksian,1,3,-.0230124922143668,.10977672,.10740516,.021303197,.56292796,-.17288665,.072932124,.21418893,.28349283,.22886762,-8.1598635,.34803748,2508,.8172043,.0049999999
latent,marshallian,2,3,.0695409215163436,.0028450694,.010743351,.071182035,.12152272,-.076429285,.095021181,.17580976,.20135567,.20255183,-.7561838,.85747778,2508,.8172043,.0049999999
latent,hicksian,2,3,.158281976796347,.14774495,.14927417,.16377299,.19035627,-.076654226,.18946269,.35401499,.14314194,.074162677,-.81299478,.51727128,2508,.8172043,.0049999999
