specification,model,estimator,order,gmm_steps,converged,parameter,coefficient,std_error,statistic,p_value,ci_low,ci_high
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,a1,.1753594303173784,.049476057,3.5443292,.00039361362,.07838814,.27233073
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,a2,.0566378740153825,.018672122,3.0332854,.0024190673,.020041188,.093234561
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,a3,.2946586469554148,.042900719,6.8683853,6.4932725e-12,.21057479,.37874252
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,a4,.0746876877679423,.023957362,3.1175256,.0018237615,.027732121,.12164325
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,a5,.1529883131184429,.02616496,5.8470688,5.0031135e-09,.10170593,.20427069
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,b1,.0220723592036337,.050210584,.43959576,.66022992,-.076338574,.12048329
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,b2,-.0300899787895308,.0081182588,-3.7064571,.00021017871,-.046001475,-.014178484
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,b3,.0212253979171661,.04513143,.47030193,.63813931,-.067230582,.10968138
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,b4,-.0061323638118219,.017450972,-.35140529,.72528428,-.04033564,.028070912
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,b5,-.020841658165317,.022192933,-.93911237,.34767306,-.064339012,.022655692
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,l1,.0519920209700628,.041027233,1.2672563,.20506366,-.02841988,.13240393
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,l2,-.0076124126855866,.016909413,-.45018786,.65257496,-.040754255,.025529427
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,l3,.0060095719977622,.033922549,.17715567,.85938609,-.060477398,.072496541
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,l4,.0067226689085557,.019416103,.34624192,.7291609,-.031332195,.044777531
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,l5,-.016516732141977,.019040693,-.86744386,.38569885,-.053835806,.02080234
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g1_1,.160334462714671,.037176725,4.3127646,.000016122571,.087469421,.23319951
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g1_2,-.0210222280071171,.010840312,-1.9392642,.052469172,-.042268846,.00022439176
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g1_3,-.0308512368720097,.029743718,-1.0372354,.29962617,-.089147851,.02744538
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g1_4,-.0318326444611525,.015427267,-2.0634015,.03907451,-.062069532,-.0015957559
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g1_5,-.0347796299829889,.016499834,-2.1078775,.035041593,-.067118712,-.0024405476
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g2_2,.0280039648705005,.0067445561,4.1520839,.000032946115,.014784877,.041223053
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g2_3,-.004066420187168,.012406931,-.3277539,.74309772,-.028383559,.020250717
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g2_4,.0106491813652898,.0056853346,1.8730966,.061055042,-.00049386994,.021792233
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g2_5,-.0051185143361193,.0071379738,-.71708226,.47332335,-.019108687,.0088716578
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g3_3,.1558394354699819,.037516508,4.1538897,.000032687061,.082308434,.22937045
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g3_4,-.0236304876654693,.01303806,-1.8124237,.069920756,-.049184613,.0019236391
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g3_5,-.0305580981780761,.01725316,-1.7711594,.076534197,-.064373672,.0032574756
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g4_4,.0566089851619986,.0094837453,5.9690537,2.3863358e-09,.038021185,.075196788
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g4_5,.0071657456037204,.0083326818,.85995668,.38981292,-.0091660116,.023497503
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,g5_5,.0785831954207757,.010506892,7.4792051,7.4773561e-14,.057990067,.099176325
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_1,-.0087611571227675,.010327418,-.84833956,.39624891,-.029002525,.01148021
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_2,.0192526410114527,.025024638,.76934743,.44168708,-.029794747,.068300031
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_3,.0131549517178369,.018142305,.72509813,.46839184,-.022403315,.048713218
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_4,.0060470935007575,.016254505,.37202567,.70987374,-.025811153,.037905339
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_5,.064340380947635,.021975242,2.9278576,.0034130628,.021269698,.10741106
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_6,.0313530404731038,.011171633,2.8064866,.0050084987,.0094570415,.053249039
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_7,.007424920718928,.010357954,.71683282,.47347727,-.012876295,.027726136
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_8,-.0268384837984114,.034411155,-.77993554,.43542883,-.094283111,.040606145
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_9,.031112987528045,.033941042,.91667742,.3593117,-.035410233,.097636208
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_10,-.0718303220737371,.040298399,-1.7824609,.074674092,-.15081373,.0071530882
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_11,-.0344979332471483,.050731145,-.68001491,.49649504,-.13392915,.064933278
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_12,-.1237794423995291,.063965097,-1.9351091,.052976903,-.24914873,.0015898407
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_13,-.0961097338580376,.036202915,-2.6547513,.0079366909,-.16706614,-.025153324
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_14,-.0333360559298132,.036322337,-.91778392,.35873201,-.10452653,.037854414
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_15,-.0249461350903886,.061545134,-.40533075,.68523443,-.14557238,.09568011
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t1_16,-.0103939591666486,.026968936,-.38540488,.69993746,-.063252099,.042464182
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_1,.0041583296462566,.0039374204,1.056105,.29092023,-.0035588727,.011875533
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_2,-.0038018666007862,.011106601,-.34230694,.73211992,-.025570404,.017966671
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_3,.0059138772079836,.0055765808,1.0604844,.28892425,-.00501602,.016843775
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_4,-.0047926816730374,.0078824852,-.60801655,.54317647,-.020242069,.010656706
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_5,-.001404668051492,.0085300487,-.16467293,.86920142,-.018123256,.01531392
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_6,.005624168809177,.0060527613,.92919058,.35279036,-.0062390259,.017487364
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_7,-.0110375180491967,.0055070105,-2.0042667,.045041487,-.02183106,-.00024397623
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_8,-.0221959942978497,.023746528,-.93470484,.34994042,-.068738334,.024346344
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_9,.015138562857322,.024018606,.63028485,.52850825,-.03193704,.062214166
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_10,.0102567570503615,.0084489379,1.2139699,.22475918,-.0063028568,.02681637
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_11,-.0192825718094553,.010374038,-1.8587335,.06306491,-.039615311,.0010501682
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_12,.024720500915988,.01680905,1.4706662,.14138141,-.0082246307,.057665631
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_13,-.0030244503144775,.012857617,-.23522635,.81403303,-.028224915,.022176016
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_14,.002451141250937,.012800003,.19149536,.8481375,-.022636404,.027538687
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_15,-.0376752158343007,.012959087,-2.907243,.0036462985,-.063074559,-.012275871
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t2_16,-.0238036733439947,.0072056856,-3.303457,.00095500582,-.037926558,-.009680789
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_1,.0015168609467095,.0098626493,.15379852,.87776858,-.017813576,.020847298
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_2,-.013818235812473,.02767358,-.49932957,.61754721,-.068057455,.040420983
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_3,-.0195154245109668,.015802821,-1.234933,.21685544,-.050488383,.011457535
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_4,-.0037405788350413,.015733685,-.23774335,.81208014,-.034578037,.027096877
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_5,-.0508998197267494,.021613432,-2.3550086,.018522274,-.093261369,-.0085382713
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_6,-.0251786366678088,.011173642,-2.2533958,.024234211,-.047078572,-.0032787009
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_7,-.0142169561533684,.011412387,-1.2457479,.21285696,-.036584821,.00815091
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_8,.0557325956630831,.041349195,1.347852,.177706,-.025310341,.13677554
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_9,-.0413469941056106,.04028748,-1.0262988,.30475074,-.120309,.037615016
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_10,.0948771461768215,.035921626,2.6412265,.0082606487,.024472054,.16528223
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_11,.0481974010252223,.04488869,1.0737092,.28295305,-.039782818,.13617761
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_12,.0348450390369653,.054658867,.63750023,.52379906,-.072284371,.14197445
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_13,.1547703221146846,.034577038,4.4761014,7.6018382e-06,.087000579,.22254007
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_14,.0868501940236997,.036741011,2.3638489,.018086191,.014839137,.15886125
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_15,.0610972019115992,.056694493,1.0776567,.28118697,-.050021961,.17221637
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t3_16,.0086489172307406,.02757106,.31369549,.75375235,-.045389369,.062687203
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_1,-.0004340354994543,.003893787,-.11146873,.91124463,-.0080657182,.0071976469
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_2,.0109688196900001,.013116859,.83623827,.40302086,-.014739751,.03667739
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_3,-.0089294117847587,.0086638266,-1.0306545,.30270287,-.025910199,.0080513759
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_4,-.0041734245700131,.0070292759,-.59372038,.55269915,-.017950552,.0096037034
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_5,.0067099935276558,.0085901665,.78112495,.43472901,-.010126423,.023546411
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_6,.0060664297485333,.0044798884,1.3541474,.17568932,-.0027139904,.01484685
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_7,-.009930411341873,.0049776733,-1.9949906,.04604391,-.019686472,-.00017435075
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_8,-.0798026362768896,.039592035,-2.0156236,.043839365,-.15740161,-.0022036722
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_9,.085145177344897,.040572166,2.0986106,.035851244,.005625193,.16466516
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_10,-.0055309916943585,.01354262,-.40841374,.68296993,-.032074038,.021012055
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_11,.0176821331335091,.018679611,.94660074,.34384227,-.018929232,.054293498
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_12,-.0031440810462573,.027459623,-.11449833,.90884274,-.056963954,.050675791
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_13,-.0297532562772353,.014828455,-2.0064974,.044803202,-.058816493,-.00069001911
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_14,-.0364106962196685,.015376801,-2.367898,.017889462,-.066548668,-.0062727216
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_15,-.0083398012206725,.023077428,-.36138347,.71781284,-.053570732,.036891129
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t4_16,-.0240612232421735,.011668812,-2.0620112,.039206661,-.046931677,-.0011907709
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_1,.001671180176508,.0047532558,.35158643,.72514844,-.00764503,.01098739
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_2,-.0350914670556929,.012617323,-2.7812135,.0054156114,-.059820965,-.010361969
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_3,.0019729230387217,.009512851,.20739555,.83570093,-.016671922,.020617768
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_4,.0010413718291097,.0079733096,.13060722,.89608604,-.014586029,.016668772
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_5,.0188914946304458,.011784463,1.6030849,.10891591,-.0042056283,.041988619
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_6,.0057726617242838,.0060581984,.95286775,.34065709,-.0061011887,.017646512
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_7,.0037470566684814,.0060645347,.61786383,.53666508,-.0081392126,.015633326
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_8,.0270896058257743,.018133156,1.4939268,.13519476,-.0084507251,.062629938
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_9,-.0320121124958786,.017960567,-1.7823553,.074691311,-.067214176,.0031899528
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_10,.0227878269249173,.019689364,1.1573672,.24712233,-.01580262,.061378274
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_11,-.0440013904612481,.023131602,-1.9022199,.057142418,-.089338496,.001335714
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_12,.0428646944444279,.029911466,1.4330523,.15184289,-.015760701,.10149009
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_13,-.0146092716497449,.018158931,-.80452263,.42109519,-.050200123,.02098158
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_14,-.0162827224071275,.020022189,-.81323385,.41608399,-.055525493,.022960048
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_15,-.0469574053285159,.029268503,-1.6043665,.10863329,-.10432262,.010407805
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,t5_16,-.0165271920311661,.014232858,-1.1611998,.24556066,-.044423081,.011368698
"""QUAIDS unrestricted""",quaids,gmm,2,2,1,d2,-.0662392740132448,.12317207,-.53777838,.59073007,-.30765209,.17517355
