data_year,village_id,vilLat,vilLon,town_id,county_id,province_id,village_questionnaire_missing,p1_village,p1_source,p2_village,p2_source,p3_village,p3_source,p4_village,p4_source,p5_village,p5_source,p6_village,p6_source
2023,220221100209,43.6489,126.4232,220221100,220221,22,0,2.15,own village: representative products,4.75,own village: representative products,9,own village: representative products,18,own village: representative products,2.055,province direct median,8.5,province direct median
2023,220221100212,,,220221100,220221,22,0,2.15,same-town representative median,6,own village: representative products,9,same-town representative median,18,same-town representative median,2.055,province direct median,8.5,province direct median
2023,220221100214,,,220221100,220221,22,0,2.15,same-town representative median,5.375,same-town representative median,9,same-town representative median,18,same-town representative median,2.055,province direct median,8.5,province direct median
2023,220221102201,,,220221102,220221,22,0,2.35,same-town representative median,7.5,same-town representative median,9.9,same-town representative median,18,nearest direct village in county,2.055,province direct median,8.5,province direct median
2023,220221102203,,,220221102,220221,22,0,2.35,own village: representative products,5,own village: representative products,9.9,same-town representative median,18,nearest direct village in county,2.055,province direct median,8.5,province direct median
2023,220221102204,45.5959,126.3172,220221102,220221,22,0,2.35,same-town representative median,10,own village: representative products,9.9,own village: representative products,18,county direct median,2.055,province direct median,8.5,province direct median
2023,220221171306,43.7785,125.8537,220221171,220221,22,0,3.625,same-town representative median,6,own village: representative products,9.9,same-town representative median,18,county direct median,2.055,province direct median,8.5,province direct median
2023,220221171307,,,220221171,220221,22,0,4.25,own village: representative products,6,same-town representative median,9.9,own village: representative products,18,nearest direct village in county,2.055,province direct median,8.5,province direct median
2023,220221171311,,,220221171,220221,22,0,3,own village: representative products,6,same-town representative median,9.9,same-town representative median,18,nearest direct village in county,2.055,province direct median,8.5,province direct median
2023,220421102208,,,220421102,220421,22,0,2.35,same-town representative median,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,nearest direct village in county,5,own village: representative products
2023,220421102210,,,220421102,220421,22,0,2.35,same-town representative median,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,nearest direct village in county,5,same-town representative median
2023,220421102212,,,220421102,220421,22,0,2.35,same-town representative median,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,nearest direct village in county,5,same-town representative median
2023,220421109203,,,220421109,220421,22,0,2.35,nearest direct village in county,4.75,province direct median,9.449999999999999,province direct median,8.199999999999999,province direct median,2,own village: representative products,5,nearest direct village in county
