period,item_code,village_years,outlet_village_pairs,reversed_endpoint_pairs,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_n_unique_3dp,low_modal_value_share_3dp,community_low_n,community_low_mean,community_low_sd,community_low_p01,community_low_p10,community_low_p25,community_low_p50,community_low_p75,community_low_p90,community_low_p95,community_low_p99,community_low_max,community_high_n,community_high_mean,community_high_sd,community_high_p01,community_high_p10,community_high_p25,community_high_p50,community_high_p75,community_high_p90,community_high_p95,community_high_p99,community_high_max,community_mid_n,community_mid_mean,community_mid_sd,community_mid_p01,community_mid_p10,community_mid_p25,community_mid_p50,community_mid_p75,community_mid_p90,community_mid_p95,community_mid_p99,community_mid_max,item_order,module,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,item_count
pooled_2023_2024,主食原粮/薯类,293,1510,5,0.0,0.0,0.011673151750972763,182,0.08463035019455253,1028,3.540281128404669,5.620145168884156,0.99,1.8,2.0,2.5,3.5,5.0,6.992999999999999,15.0,120.0,1507,5.6336443264764435,10.556983225474385,1.1048000000000002,1.8479999999999994,2.4,3.3,5.9,9.984000000000002,12.780000000000019,32.8,150.0,1028,4.84260019455253,7.368281255876835,1.2,2.0,2.48,3.3125,5.0,7.65,11.077499999999992,21.56800000000003,130.0,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2023,主食原粮/薯类,145,804,2,0.0,0.0,0.00847457627118644,100,0.07838983050847458,472,3.385739406779661,5.758589465351806,1.0,1.8,2.0,2.5,3.2849999999999997,4.5,5.98,28.58000000000004,89.0,803,5.427678704856787,12.67171946494975,1.3,1.8,2.25,3.0,5.0,7.964000000000006,10.0,68.32000000000062,150.0,472,4.67926906779661,8.2344084109033,1.3,2.0700000000000003,2.4000000000000004,3.25,4.7387500000000005,6.390000000000001,8.0,36.72000000000037,97.0,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
2024,主食原粮/薯类,148,706,3,0.0,0.0,0.014388489208633094,135,0.08992805755395683,556,3.6714748201438847,5.501681133841176,0.9764999999999999,1.89,2.2,2.665,3.98,5.99,8.375,15.0,120.0,704,5.868573863636365,7.447444832057644,1.1,1.98,2.5,3.8499999999999996,6.8,11.0,14.985000000000003,28.167,140.0,556,4.981255395683453,6.548196675935107,1.155,2.0,2.5,3.48,5.6225,9.275,13.36125,20.4,130.0,1,主食部分,大米；面粉；玉米面；玉米棒；其他杂粮（小米/薏米/燕麦等）；土豆；红薯,主食原粮/薯类,1,主食,大米; 面粉; 玉米面; 玉米棒; 其他杂粮（小米/薏米/燕麦等）; 土豆; 红薯,7,斤/月,元/斤,0,7
pooled_2023_2024,主食加工品,226,680,5,0.0,0.0,0.005376344086021506,180,0.07885304659498207,558,7.163369444444444,5.109495899698254,1.0,2.4,3.3,5.4,10.0,14.0,18.0,23.857499999999987,29.41,677,14.355780502215655,12.247537938069094,1.8519999999999999,3.4320000000000013,5.0,10.0,20.8,30.0,35.2,58.68328000000007,71.5,555,11.61875545045045,7.907628415116907,1.7810000000000001,3.5,4.99,9.964500000000001,16.2125,22.5,26.15,34.9045,40.092,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2023,主食加工品,83,234,2,0.0,0.0,0.010526315789473684,75,0.11052631578947368,190,5.891253421052631,4.004277687852084,0.9560000000000001,1.999,2.5,5.0,9.03,12.0,12.5,18.0,18.0,231,12.035720346320346,10.015980467449173,1.56,2.5,5.0,9.69,16.0,23.8,30.0,56.35,56.92,187,9.84632232620321,6.5482731026103735,1.5740000000000003,3.115,4.725,8.5,13.693475,18.5,21.189999999999998,33.8,33.8,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
2024,主食加工品,143,446,3,0.0,0.0,0.002717391304347826,140,0.0625,368,7.820168478260869,5.485893774421383,1.6185,2.5,3.61,5.95,10.0,15.0,19.201049999999988,24.51089999999999,29.41,446,15.55742600896861,13.106350386770727,2.0,3.875,5.0,11.0,22.315,33.0,37.84375,65.58865000000003,71.5,368,12.519421195652177,8.381291974776733,2.0,3.61,4.99,11.3925,18.58875,23.625,27.113124999999997,37.677749999999975,40.092,2,主食加工品的获取与消费,米线/米粉；面食（馒头/面条/面包/饼/玉米饼）；带馅的面食（包子/饺子）；其他主食加工品（方便面等）,主食加工品,2,主食,米线/米粉; 面食（馒头/面条/面包/饼/玉米饼）; 带馅的面食（包子/饺子）; 其他主食加工品（方便面等）,4,斤/月,元/斤,0,4
pooled_2023_2024,豆类,206,451,4,0.0,0.0,0.0,69,0.08414239482200647,309,5.679935275080906,2.0207285386627056,1.816,3.696,4.5,5.3,6.5,8.0,9.99,11.9,15.0,451,7.468046563192905,4.451989867718872,2.58,3.9,4.58,6.48,8.995000000000001,11.8,14.995000000000001,27.8,31.395,309,6.92423786407767,3.0737861009467373,2.532,3.98,5.0,6.48,7.99,9.992,12.07,19.782000000000014,22.361,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
2023,豆类,113,238,2,0.0,0.0,0.0,46,0.13380281690140844,142,5.547605633802817,1.6011037547402143,1.8,3.5,4.5225,5.8,6.8,7.0,8.0,10.0,10.0,238,6.586134453781512,2.565819338215509,3.437,4.0,4.5,6.0,7.98,9.786,11.0,13.8,22.0,142,6.550774647887324,1.9516016604458093,3.0025,3.8325000000000005,5.0600000000000005,6.54,7.390000000000001,8.9,9.942499999999997,11.5,15.0,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
2024,豆类,93,213,2,0.0,0.0,0.0,47,0.10778443113772455,167,5.792455089820359,2.3175740242569782,2.33,3.98,4.49,5.0,6.0,9.876000000000001,10.0,14.336600000000004,15.0,213,8.453469483568076,5.732594295257356,2.5,3.5,4.8,6.7,9.99,14.998,21.85,29.50015999999999,31.395,167,7.241793413173653,3.7515892364346417,2.33,3.99,4.8,6.05,8.0,11.728000000000003,15.67444999999999,19.85,22.361,3,豆类过去7天的消费,黄豆；绿豆/红豆/黑豆等杂豆,豆类,3,豆类及制品,黄豆; 绿豆/红豆,2,斤/月,元/斤,0,2
pooled_2023_2024,豆制品,218,381,4,0.0,0.0,0.0,91,0.0657439446366782,289,6.339276816608996,4.985557602080439,1.5856000000000001,2.264,2.98,4.2,8.93,13.131999999999998,16.6,22.402000000000037,29.75,381,11.633804461942256,10.516407935332396,1.98,2.8,4.0,7.98,16.6,25.0,30.2,49.599999999999994,80.0,289,9.718772491349483,7.11761169561057,1.9976,3.0,4.2,7.88,13.34,19.049999999999997,20.889999999999976,31.56876,46.3,4,豆制品的获取与消费,豆浆；豆腐/豆腐皮/豆干；发酵豆制品（豆腐乳/豆酱/豆豉等）,豆制品,4,豆类及制品,豆浆; 豆腐/豆腐皮/豆干; 发酵豆制品（豆腐乳/豆酱/豆豉等）,3,斤/月,元/斤,0,3
