item_code,community_category
zhushi_1,大米
zhushi_2_1,面粉
zhushi_3,玉米面
zhushi_3_1,玉米棒
zhushi_5,其他杂粮（小米/薏米/燕麦等）
zhushi_6,土豆
zhushi_7,红薯
zhushi_1_1,米线/米粉
zhushi_2,面食（馒头/面条/面包/饼/玉米饼）
zhushi_2_2,带馅的面食（包子/饺子）
zhushi_8,其他主食加工品（方便面等）
doulei_1,黄豆
doulei_4,绿豆/红豆
doulei_2,豆浆
doulei_3,豆腐/豆腐皮/豆干
xiancai_4,发酵豆制品（豆腐乳/豆酱/豆豉等）
roulei_1,猪肉（不含排骨、腊肉）
roulei_2,猪排骨
roulei_3,牛肉
roulei_4,羊肉
roulei_9,下水内脏
roulei_5,鸡肉
roulei_6,其他禽肉（鸭肉/鹅肉/其他）
roulei_7,活禽（鸡）
roulei_8,活禽（鸭/鹅/其他）
shuichan_1,水产品（淡水鱼/海水鱼/虾/蟹/贝壳类）
xiancai_3,腊肉/熏肉/精肉火腿/香肠（不包括含淀粉的火腿肠）
roulei_11,含淀粉的火腿肠
roulei_12,肉干/肉脯
roulei_13,咸鱼虾酱等腌制水产品
danlei_1,鸡蛋
danlei_2,鸭蛋/鹅蛋
danlei_3,咸蛋/松花蛋
nailei_1,液态牛奶/羊奶
nailei_2,酸奶
nailei_3,奶粉
youzhi_1,大豆油
youzhi_2,菜籽油
youzhi_3,花生油
youzhi_4,色拉油/调和油
youzhi_5,其他植物油
youzhi_6,动物油
shucai_1,鲜豆类（豌豆/荷兰豆/扁豆/豇豆等）
shucai_2,茄果类（西红柿/茄子/青椒等）
shucai_3,花菜类（西兰花/菜花/芥蓝等）
shucai_4,根茎类（萝卜/胡萝卜/藕/莴笋/竹笋/洋葱等）
shucai_5,瓜类（黄瓜/南瓜/西葫芦/角瓜/冬瓜/苦瓜等）
shucai_6,叶菜类（菠菜/油菜/小白菜/芹菜/韭菜/蒜苗/白菜/生菜/卷心菜等）
shucai_7,菌藻类（各类菌菇/海藻/海带等）
shucai_8,辣椒和葱姜蒜类（辣椒/大蒜/大葱/姜等）
shucai_9,其他新鲜或冷冻蔬菜（罐装菜/干菜/发酵菜/腌制菜除外）
xiancai_1,咸菜（泡菜/榨菜/酸豆角等）
xiancai_2,干菜（脱水蔬菜/金针菜/粉条/粉皮等）
shuiguo_1,瓜果类（西瓜/甜瓜/哈密瓜等）
shuiguo_2,柑橘类（橘/柑/橙/柚等）
shuiguo_3,浆果类（葡萄/草莓等）
shuiguo_7,核果类（苹果/梨/桃/鲜枣/杏/杨梅/石榴/樱桃/枇杷/李子等）
shuiguo_6,干果（花生/瓜子/南瓜子/西瓜子/核桃/杏仁/开心果等）
shuiguo_4,罐头/果脯/糖渍水果
shuiguo_5,其他除果脯以外的水果干（苹果干/草莓干/香蕉干/干枣等）
tiaoliao_1,盐
tiaoliao_2,味精/鸡精
tiaoliao_3,酱油类
tiaoliao_4,醋
yanjiu_1,烟
yanjiu_2,白酒
yanjiu_3,啤酒
yanjiu_4,葡萄酒/果酒
yanjiu_4,米酒/黄酒
yanjiu_7,白糖
yanjiu_8,红糖
yanjiu_9,茶
