item_order,module,item_code,item_name,analytic_family,family_order,previous_six_group,community_categories,community_mapping_count,quantity_unit,price_unit,fixed_questionnaire_item,households,consumer_households,participation_total,quantity_household_mean_all,quantity_household_mean_winsor_p99,quantity_household_mean_excl_top1pct_consumers,quantity_consumer_mean,quantity_consumer_mean_excl_top1pct_consumers,quantity_consumer_p50,quantity_consumer_p90,quantity_consumer_p99,quantity_consumer_max,quantity_percap_mean_all,purchase_quantity_share,own_quantity_share,gift_quantity_share,top1pct_quantity_share,share_consumers_above_outer_fence,purchase_uv_n,purchase_uv_p01,purchase_uv_p10,purchase_uv_p50,purchase_uv_p90,purchase_uv_p99,purchase_uv_max,purchase_uv_share_lt_0_1,purchase_uv_share_lt_0_5,own_price_n,own_price_p50,village_years,outlet_village_pairs,community_low_n,community_low_p01,community_low_p10,community_low_p50,community_low_p90,community_high_p50,community_mid_p50,low_share_lt_0_1,low_share_lt_0_5,low_share_lt_1,low_modal_value_share_3dp,reversed_endpoint_pairs,low_participation_lt_5pct,quantity_top1_share_gt_25pct,household_uv_low_tail_flag,community_low_tail_flag,community_price_is_range_not_same_quality
1,主食部分,zhushi_1,大米,主食原粮/薯类,1,主食,大米,1,斤/月,元/斤,1,3565,3415,0.9579242636746143,306.0446458052784,22.700101257747477,20.375598012427695,319.48730960346046,21.279840527772123,3.4615384615384617,64.28571428571428,257.1428571428571,857142.8571428572,103.43990154793997,0.058603381030092445,0.9353357569968582,0.0060608619730494,0.9340764252707723,0.0404099560761347,2324,1.0,2.0,2.8,4.0,7.884999999999991,101.1,0.0,0.00387263339070568,562,2.5,282,388,334,1.165,2.0,2.5,3.5,3.94,3.4000000000000004,0.0,0.0,0.0,0.11377245508982035,1,0,1,0,0,1
2,主食部分,zhushi_2_1,面粉,主食原粮/薯类,1,主食,面粉,1,斤/月,元/斤,1,3565,1865,0.5231416549789621,14.898145378276999,6.974401038465338,5.863595919543249,28.478224275365953,11.263440482502904,2.071823204419889,31.530612244898165,214.28571428571428,16700.0,4.7745089586033895,0.674787584228084,0.3116423387702731,0.013570077001642936,0.6085186987966288,0.09919571045576407,1585,1.0,1.96,2.3,3.3333333333333335,8.160000000000082,50.0,0.0006309148264984228,0.0037854889589905363,178,2.0,257,347,263,1.6858,1.964,2.39,4.0,3.0,2.75,0.0,0.0,0.0,0.13688212927756654,2,0,1,0,0,1
3,主食部分,zhushi_3,玉米面,主食原粮/薯类,1,主食,玉米面,1,斤/月,元/斤,1,3565,1043,0.29256661991584854,4.219350512629593,1.1043230231485222,0.8691973648473142,14.421845232525884,2.9933405374683666,0.51,8.571428571428571,77.07128571428422,7714.285714285714,1.9217648939213963,0.10601932072371216,0.8621334237784788,0.03184725549780899,0.7946329875059782,0.1236816874400767,373,0.563529411764706,2.0,2.5,5.0,10.509090909090858,58.0,0.002680965147453083,0.00804289544235925,268,3.0,106,114,49,1.9848,2.248,2.95,5.320000000000001,3.0,3.0,0.0,0.0,0.0,0.16326530612244897,0,0,1,0,0,1
4,主食部分,zhushi_3_1,玉米棒,主食原粮/薯类,1,主食,玉米棒,1,斤/月,元/斤,1,3565,1629,0.4569424964936886,9.182123090932462,3.226819544548973,2.637738836133822,20.094701546454406,5.805643542557568,0.872093023255814,17.142857142857142,126.17142857142879,12857.142857142857,2.92189218444685,0.14176302448325276,0.8340473893184353,0.024189586198312064,0.7141009184503029,0.07305095150399017,630,0.5,1.25,3.0,7.0,20.0,200.0,0.0,0.009523809523809525,434,2.0,72,81,49,1.9848,3.0,4.38,5.1720000000000015,4.98,5.0,0.0,0.0,0.0,0.32653061224489793,0,0,1,0,0,1
5,主食部分,zhushi_5,其他杂粮（小米/薏米/燕麦等）,主食原粮/薯类,1,主食,其他杂粮（小米/薏米/燕麦等）,1,斤/月,元/斤,1,3565,1442,0.4044880785413745,1.5515956860453295,1.1532081885498373,0.9769943800909937,3.8359491128651872,2.4305045895746518,0.42432899601478846,7.692857142857163,42.857142857142854,429.28714285714284,0.6343863598785829,0.6926264400057375,0.15826750917260793,0.14910605082165443,0.37297866122723805,0.10194174757281553,888,1.0,3.0,5.0,8.0,25.0,108.0,0.0,0.0045045045045045045,72,5.0,196,225,166,1.9235,2.59,4.26,7.535,7.0,6.0,0.0,0.0,0.0,0.0963855421686747,1,0,1,0,0,1
6,主食部分,zhushi_6,土豆,主食原粮/薯类,1,主食,土豆,1,斤/月,元/斤,1,3565,3042,0.8532959326788219,20.73633205979722,8.348912577068747,7.132048401679618,24.301454238388263,8.370859864342666,2.0,25.714285714285715,147.0714285714296,8142.857142857142,7.428163641335478,0.19579729271610177,0.7888663430168981,0.015336364267000264,0.6590510525630427,0.07593688362919132,1389,0.3333333333333333,1.0,2.0,3.0,5.071999999999934,16.0,0.0028797696184305254,0.012239020878329733,907,1.5,198,259,126,0.8312499999999999,1.0,1.59,2.5,1.9,1.75,0.0,0.0,0.09523809523809523,0.16666666666666666,1,0,1,0,0,1
7,主食部分,zhushi_7,红薯,主食原粮/薯类,1,主食,红薯,1,斤/月,元/斤,1,3565,1286,0.3607293127629734,7.460263706416225,2.0799491401970323,1.8118919238102045,20.681057630928333,5.055648164472778,1.7416582406471184,12.857142857142858,75.32142857142877,10714.285714285714,2.348804010297966,0.22585607439522676,0.7569468858566494,0.01719703974812398,0.7580132800491025,0.07387247278382582,269,0.4,1.2,2.0,4.0,8.97999999999999,20.0,0.0,0.022304832713754646,115,2.0,88,96,41,1.2,2.0,2.96,5.0,3.5,3.5,0.0,0.0,0.0,0.07317073170731707,0,0,1,0,0,1
8,主食加工品的获取与消费,zhushi_1_1,米线/米粉,主食加工品,2,主食,米线/米粉,1,斤/月,元/斤,1,3565,1365,0.38288920056100983,1.2692490055413852,1.2022977240038486,1.088761302752385,3.3149250584285994,2.861725674369889,0.75,8.571428571428571,30.0,128.57142857142856,0.49671128081537796,0.9622009793866415,0.010170752262057834,0.027628268351300524,0.14556902738703173,0.07692307692307693,833,1.0,2.0,4.0,16.53333333333338,60.0,100.0,0.0,0.0012004801920768306,13,6.0,96,119,81,1.0,2.5,5.0,12.0,6.0,6.0,0.0,0.0,0.0,0.16049382716049382,0,0,0,0,0,1
9,主食加工品的获取与消费,zhushi_2,面食（馒头/面条/面包/饼/玉米饼）,主食加工品,2,主食,面食（馒头/面条/面包/饼/玉米饼）,1,斤/月,元/斤,1,3565,3062,0.85890603085554,10.736797011996035,7.013397292500942,6.135068697322379,12.500549101164554,7.1531945814375755,1.6864466292134832,21.428571428571427,107.14285714285714,3428.5714285714284,3.823527906718679,0.35271944719805726,0.6229839451852105,0.02429660761673225,0.4335628896520626,0.06629653821032006,2059,1.0,2.0,3.5,10.0,25.0,104.16666666666667,0.001942690626517727,0.006313744536182613,543,3.0,173,239,195,0.788,2.0,3.27,7.0,5.775,5.12875,0.0,0.0,0.015384615384615385,0.09743589743589744,4,0,1,0,0,1
10,主食加工品的获取与消费,zhushi_2_2,带馅的面食（包子/饺子）,主食加工品,2,主食,带馅的面食（包子/饺子）,1,斤/月,元/斤,1,3565,1978,0.5548387096774193,2.2656565183725794,1.986473989821187,1.7558919369731099,4.083450701718021,3.179079119800651,0.5128205128205128,10.714285714285714,42.857142857142854,668.5714285714286,0.8272879528112316,0.38313504984598074,0.5968617317943539,0.02000321835966545,0.22934425555681145,0.09706774519716886,610,1.0,2.5,7.65625,20.0,48.03333333333323,100.0,0.0,0.00819672131147541,497,10.0,81,81,67,2.5,3.956,5.9,9.904,12.4,11.45,0.0,0.0,0.0,0.1791044776119403,0,0,0,0,0,1
