provn,countyn,year,sentence
陕西省,柞水县,2022,实施养老服务工程，新建社区日间照料中心8所，改扩建凤凰、杏坪、营盘、红岩寺、乾佑街办5所农村幸福院，确保老有所养、老有所乐
四川省,邛崃市,2023,扎实抓好“一老一小”服务，社区养老服务综合体街道覆盖率实现100%，获评全国未成年人保护示范县
山东省,兰陵县,2019,卫计养老服务更加高效
吉林省,通化市通化县,2016,推进社会化养老服务体系建设，积极发展老龄、残疾人事业，增强社会保障能力
福建省,漳州市华安县,2024,严格落实低保、特困、临时救助等政策，做好农村低收入人口动态监测，建立老年人、留守儿童探访关爱机制，探索综合性养老服务模式
甘肃省,岷县,2025,提升“一老一小”服务保障能力，建设养老服务中心，增设老年助餐点10个以上，加快儿童友好城市建设，加强未成年人保护
甘肃省,秦安,2024,"
新建改建学校食堂
个、厕所
改造园位转托位幼儿园
所，新增托位
180
新建乡镇综合养老服务中心
所、村级养老幸福互助院
发放创业担保贷款
4000
万元，安置基层就业大学生
100
人，新开发公益性岗位
个以上"
福建省,尤溪县,2023,（6）优化城乡养老服务供给
吉林省,通榆县,2024,"完善城市养老助餐服务网络，新建社区嵌入式养老服务中心
处"
福建省,松溪县,2018,"
13.“七类”老年人（报告 P7）：“七类”老年人群可
— 27 —
免费享受到政府购买的养老服务，分别是：特困供养人员、
低保对象、建档立卡的贫困人口、重点优抚对象、计划生育
特殊家庭成员、重度残疾人中的老年人、80 周岁以上的老年
14.生态红线（报告 P8）：即生态保护红线"
甘肃省,秦安县,2024,"
一年来，我们持续改善民生不停步，尽力而为、量力而行，
增进人民福祉
取得新
持续加大民生投入，
康复托养中心
、城乡老年养护院建设有序推进，县零工市场、魏店综合养老服务
中心投入使用，秦安至秦州城际公交开通运营，
个老旧小区
户居民享受了改造红利
"
吉林省,通化市通化县,2019,新建农村养老大院11个，探索实施农村养老服务食堂试点工作
吉林省,白城市通榆县,2023,"
加强社会保障体系建设
创新开设城区老年食堂，规范农村养老大院运营管理，创建省级农村养老示范县"
甘肃省,庆阳市镇原县,2019,加快养老服务机构质量提升和残疾人康复中心项目建设，尽早建成投用
福建省,福州市福清市,2025,健全基本养老服务体系，发展社区居家养老，打造示范型长者食堂7个
四川省,泸州市泸县,2017,大力发展健康养老服务业，建成覆盖城乡的新型养老服务体系，争创川南社会化养老服务示范县
吉林省,通化县,2020,东安朝鲜族养老服务中心完成主体建设
山东省,栖霞市,2025,"
牵头单位：人社局
配合单位：各镇街
47.健全关爱服务体系，依托线下服务、智慧平台等方式，探
索多元化养老服务供给，年内完成独居老年人“安心居家”照护
服务 500 户以上、改造家庭养老床位 600 个，提供困难老人居家
上门服务 1100 人以上"
甘肃省,庆阳市镇原县,2014,加大养老服务设施建设力度，全县新建乡镇中心敬老院1处、农村互助老人幸福院13处
甘肃省,庄浪县,2022,精准落实城乡低保、特困供养、临时救助政策，健全完善养老服务体系，全力创建全省民政工作先进示范县
山东省,冠县,2015,"
养老体系不断完善，新建3家民办养老院、
6处老年人日间照料中心和14处村级幸福院，4处中心敬老院全部被评为省三星级五保供养服务机构"
吉林省,永吉县,2023,扎实开展 社区居家养老服务中心和老年食堂建设，增强养老服务水平
四川省,巴中市南江县,2021,年内实现赶场敬老院、民康医院扩建项目、正直养老服务综合体建成投用
甘肃省,庆阳市镇原县,2015,"政府工作报告
详细内容
文件名
索引号
全文检索
搜索过于频繁，请输入验证码
地方性法规
行政规范性文件
政府信息公开指南
政府信息公开制度
国家相关制度文件
省部级相关制度文件
市级相关制度文件
县级相关制度文件
法定主动公开内容
领导之窗
县委领导
县人大领导
县政府领导
县政协领导
机构简介
政府会议
通知公告
政府大事记
规划信息
五年规划
专项规划
统计信息
预算决算
县级财政预算决算和“三公”经费
部门财政预算决算和“三公”经费
行政许可
收费项目
行政事业性收费和政府性收费目录清单
政府采购
重大项目
权责清单
行政处罚
双随机一公开
重大民生信息
乡村振兴
应急管理
预警信息
保障性住房
财政资金直达基层
安全生产
生态环境
义务教育
就业创业
法治政府建设
质量监管信息
养老服务
社会保障
医疗卫生
涉农政策
公共文化服务
县域商业建设
助企纾困
人事信息
招考信息
其他法定信息
政府工作报告
政务督查
政策解读
新闻发布会
建议提案办理
政府网站监管年度报表
政府文件
县政府文件
镇政办发
镇政发
政府信息公开年报
2024年
县政府信息公开工作年度报告
县政府组成部门
2023年
县政府信息公开工作年度报告
县政府组成部门
2022年
县政府信息公开工作年度报告
县政府组成部门
2021年
县政府信息公开工作年度报告
县政府组成部门
2020年
县政府信息公开工作年度报告
县政府组成部门
2019年
县政府信息公开工作年度报告
县政府组成部门
2018年
县政府信息公开工作年度报告
县政府组成部门
2017年
县政府信息公开工作年度报告
县政府组成部门
历年报告
依申请公开
乡镇部门平台链接
索引号：
3070211020000013000000/2025011700000012
发布机构：
生效日期：
2016-02-28
废止日期：
文 号：
所属主题：
政府工作报告
镇原县政府工作报告（2015）
来源：
发布时间：2016-02-28
浏览次数：
【字体：
——2016年2月20日在镇原县
第十七届人民代表大会第五次会议上
镇原县人民政府县长 侯志强
各位代表：
现在，我代表县人民政府向大会作工作报告，请予审议，并请各位政协委员和列席人员提出意见"
四川省,泸州市泸县,2020,抢抓全国农村居家和社区养老服务试点改革机遇，持续深化社区嵌入型养老服务，结合医疗、智慧、文旅等产业，探索创新多元化养老模式，建成汇兴老年公寓，启动城市福利院、石桥敬老院建设
陕西省,子洲县,2016,"推进养老服务综合改革,引导社会力量举办、托管养老机构"
甘肃省,秦安,2025,在完成以上工作的同时，我们将倾力办好10件民生实事：一是新建乡镇综合养老服务中心1个、村级互助幸福院5个、老年助餐服务点5个
福建省,尤溪县,2012,高度重视老龄老干工作，稳步推进居家养老服务新模式，适时启动老年公寓建设
福建省,福鼎市,2011,大力发展社会福利事业和慈善事业，积极推进市社会福利中心建设，扎实开展居家养老服务工作
山东省,冠县,2025,民营经济、数字经济、城乡建设、林长制、养老服务、安全生产等6个领域工作获得省级督查激励，列全省第2位
云南省,大关县,2019,"抓好农村留
守妇女儿童和老人关爱服务，促进养老服务业健康发展，支持发
展残疾人事业"
甘肃省,庆阳市镇原县,2016,强化社会保障，实施全民参保计划，提高城乡低保保障水平，健全城乡养老服务体系，推进关爱农村“三留守”人员工作，创新社会救助机制，筑牢保障困难群众基本生活的防线
甘肃省,岷县,2025,引导社会力量积极参与，优化居家、社区、机构养老服务供给
湖北省,鹤峰县,2024,县社会福利院完成改造升级，2个养老服务综合体和3个老年人互助照料活动中心建成投用
福建省,华安县,2022,疫情防控实现“零确诊”，建成一批敬老院、幸福园，社区居家养老服务中心荣获全国“敬老文明号”称号
福建省,福清市,2024,创新“长者食堂+学堂”模式，启动示范型大众食堂建设，新建长者食堂24家
