term,est,se,t,p,n,outcome
LAelder_only_multi,0.00308891684510713,0.00183887091096323,1.67978993342666,0.0938982355573463,1234,food_self_suff_rate
LAthreegen,0.000351739256360814,0.001231212689719,0.28568521044166,0.775289692881139,1234,food_self_suff_rate
LAelder_alone,6.80695492865813e-05,0.00179516600383995,0.0379182477503347,0.969774668776775,1234,food_self_suff_rate
LAelder_child,0.0049804568348696,0.00464736619444029,1.0716729920762,0.284611716809011,1234,food_self_suff_rate
LAother,0.000948685637230074,0.00172157077826791,0.551058166882083,0.58194842703549,1234,food_self_suff_rate
LAelder_only_multi,-0.348547315210715,0.147883565563551,-2.35690364837012,0.0189830630439905,1234,hdds12 | + food_ssr
LAthreegen,0.521598288043346,0.124116407429351,4.20249263450722,3.36171321364906e-05,1234,hdds12 | + food_ssr
LAelder_alone,-0.283044899239731,0.242628494066086,-1.16657732361244,0.244182211081299,1234,hdds12 | + food_ssr
LAelder_child,0.118256718158713,0.272842495869219,0.433424851147074,0.664975459769359,1234,hdds12 | + food_ssr
LAother,0.398075236310402,0.231064167591544,1.72279086134241,0.0858172843375591,1234,hdds12 | + food_ssr
food_ssr,-6.63706350132965,3.45993551499106,-1.91826219667184,0.0558981291797677,1234,hdds12 | + food_ssr
LAelder_only_multi,0.0747244205965455,0.0279147826057669,2.67687632219311,0.00778511635445992,1202,shucai_self_suff_rate
LAthreegen,-0.0163384207017482,0.0242388837230726,-0.674058297750566,0.500724318750377,1202,shucai_self_suff_rate
LAelder_alone,-0.015676609041171,0.0492692366584534,-0.318182503005783,0.750538462976413,1202,shucai_self_suff_rate
LAelder_child,0.00301713628083598,0.0406394090589438,0.0742416376296194,0.940861017823466,1202,shucai_self_suff_rate
LAother,-0.0318944645396342,0.0475303718911745,-0.671033347112447,0.502646991383799,1202,shucai_self_suff_rate
LAelder_only_multi,0.0529600613058289,0.0350290674746844,1.51188898602863,0.131472258915884,1225,danlei_self_suff_rate
LAthreegen,0.0635468560095876,0.0307295838269831,2.06793741065208,0.0393865814199973,1225,danlei_self_suff_rate
LAelder_alone,-0.0230958517309981,0.0533328774727748,-0.433050921409369,0.665246824437051,1225,danlei_self_suff_rate
LAelder_child,-0.0643415227904929,0.0590262416666776,-1.09004945891407,0.276447738584319,1225,danlei_self_suff_rate
LAother,0.00361546874664453,0.0631504592087535,0.057251662013938,0.954377677957515,1225,danlei_self_suff_rate
LAelder_only_multi,0.0214242569836156,0.0194669009080613,1.10054790358252,0.271856336173381,1228,roulei_self_suff_rate
LAthreegen,0.0369608534758182,0.0194551488393421,1.89979803192645,0.0582884741796954,1228,roulei_self_suff_rate
LAelder_alone,-0.0456104978958357,0.0262095877000917,-1.74022187673239,0.0827065937849266,1228,roulei_self_suff_rate
LAelder_child,-0.0307919038988207,0.0308782702386303,-0.997203005895662,0.319360850778291,1228,roulei_self_suff_rate
LAother,0.0685669552377399,0.0471540294584287,1.45410595924128,0.146820801830583,1228,roulei_self_suff_rate
LAelder_only_multi,0.00904418848202875,0.0206141919199673,0.438736018231613,0.661125865075792,1227,doulei_self_suff_rate
LAthreegen,0.0344651551350584,0.0196629925954396,1.75279296718303,0.0805206545450619,1227,doulei_self_suff_rate
LAelder_alone,-0.010113977010521,0.0277419190891191,-0.364573805367628,0.715651644600837,1227,doulei_self_suff_rate
LAelder_child,-0.0156688749853418,0.0297317485393591,-0.527008190069927,0.598524645630067,1227,doulei_self_suff_rate
LAother,0.0438978630439069,0.0431840611013687,1.01652929169544,0.310085640636753,1227,doulei_self_suff_rate
