feature,quartile,mean_cate,n
detour_town_5km,Q2,-0.0365447812865595,2091
detour_town_5km,Q1,-0.0478782847493936,2095
detour_town_5km,Q3,-0.0280189677208983,2113
detour_town_5km,Q4,-0.0112455458475614,2087
ln_income,Q1,-0.0396013539184234,2100
ln_income,Q2,-0.0145089520005881,2094
ln_income,Q3,-0.0424844312214922,2111
ln_income,Q4,-0.0269891658682382,2081
food_ssr_w,Q1,-0.0857982335915553,2097
food_ssr_w,Q3,0.00125767265471717,2097
food_ssr_w,Q2,-0.079800615628346,2095
food_ssr_w,Q4,0.0405675578577206,2097
dep_ratio,Q4,-0.035853492666891,1942
dep_ratio,Q3,-0.0238317793565602,2307
dep_ratio,Q1,-0.0330100063881153,4040
dep_ratio,Q2,-0.0146995222229044,97
