provn,countyn,mean_fgds10,mean_cate,n,shortfall,priority
四川省,泸县,2.41481481481482,-0.064092711545391,135,1.01311311311311,27
福建省,漳州市福安县,2.05263157894737,-0.0284604212679261,19,1.37529634898056,28
云南省,大关县,2.11764705882353,-0.0378532962086382,238,1.3102808691044,28
福建省,福清,2.39130434782609,-0.0569003926084476,23,1.03662358010184,29
四川省,雷波县,2.27586206896552,-0.0424671664572242,145,1.15206585896241,31
福建省,华安县,2.11320754716981,-0.0199838339313055,159,1.31472038075812,33
云南省,红河哈尼族彝族自治州元阳县,1.75757575757576,-0.00799765489354287,33,1.67035217035217,40
四川省,武胜县,2.60294117647059,-0.057517467490512,136,0.82498675145734,41
云南省,红河县,2.23873873873874,-0.0174470055099164,222,1.18918918918919,41
甘肃省,庄浪,2.6530612244898,-0.064770234444639,49,0.774866703438132,43
云南省,彝良县,2.2734375,-0.0144716000335183,256,1.15449042792793,44
甘肃省,庆阳市镇原县,2.5868544600939,-0.0533084943608602,213,0.841073467834031,45
山东省,冠县,2.87323943661972,-0.153728892233104,213,0.554688491308209,46
山东省,兰陵县,2.84403669724771,-0.0768343421068754,218,0.583891230680222,47
福建省,福清市,2.55113636363636,-0.0323471015642326,176,0.876791564291564,49
四川省,邛崃市,2.66810344827586,-0.0543034598371259,232,0.759824479652066,50
云南省,元阳县,2.08968609865471,0.00583588644474145,223,1.33824182927322,50
福建省,漳州市华安县,1.76086956521739,0.00957096678669804,46,1.66705836271054,51
甘肃省,庄浪县,2.91447368421053,-0.076257907142002,152,0.513454243717402,51
福建省,福鼎市,2.40167364016736,-0.012314147726535,239,1.02625428776056,52
