term,est,se,t,p,n,outcome,moderator
detour_town_5km,-0.00478678605131993,0.0987385297176341,-0.0484794139127741,0.961361665159144,8386,fgds10,no_fridge
detour_town_5km:no_fridge,-0.054634026737231,0.072275026676505,-0.755918458276976,0.4502036472571,8386,fgds10,no_fridge
detour_town_5km,0.0052153509231093,0.0999498853721446,0.0521796588729534,0.958415139455649,8386,fgds10,no_vehicle
detour_town_5km:no_vehicle,0.0829257062148212,0.0546668863033184,1.5169275556451,0.130182510591835,8386,fgds10,no_vehicle
detour_town_5km,-0.00804578476057341,0.100129450279419,-0.0803538293491177,0.93600151175029,8386,fgds10,hi_ss
detour_town_5km:hi_ss,-0.0143349175507323,0.0336084487405407,-0.426527200389365,0.669984461400324,8386,fgds10,hi_ss
detour_town_5km,-0.0789077235597133,0.153161694848701,-0.515192285105366,0.606742039175525,8386,hdds12,no_fridge
detour_town_5km:no_fridge,-0.0704703706082143,0.106278333290327,-0.663073727508558,0.507717309864073,8386,hdds12,no_fridge
detour_town_5km,-0.0801342438213029,0.153835890155421,-0.520907336645194,0.60275884921147,8386,hdds12,no_vehicle
detour_town_5km:no_vehicle,0.0516044663673132,0.0745992307277041,0.691756012279477,0.489546577223164,8386,hdds12,no_vehicle
detour_town_5km,-0.0796713628341265,0.155857566074764,-0.511180591617274,0.609545084718294,8386,hdds12,hi_ss
detour_town_5km:hi_ss,-0.0173928468069169,0.0510137739089195,-0.340944130853174,0.733349049378102,8386,hdds12,hi_ss
inc_ter::T1:detour_town_5km,-0.00577166967729956,0.1039636316281,-0.0555162376199596,0.955758691173097,8386,fgds10,income tercile slopes
inc_ter::T2:detour_town_5km,-0.0692612320033685,0.101385546041759,-0.683147003763641,0.494963342411038,8386,fgds10,income tercile slopes
inc_ter::T3:detour_town_5km,0.020008277714223,0.102970560659096,0.194310661087535,0.846044729658411,8386,fgds10,income tercile slopes
inc_ter::T1:detour_town_5km,-0.0988585859717592,0.159622643763875,-0.619326830083066,0.536101710490095,8386,hdds12,income tercile slopes
inc_ter::T2:detour_town_5km,-0.14513291881622,0.152261646912884,-0.953181065349024,0.341152415147038,8386,hdds12,income tercile slopes
inc_ter::T3:detour_town_5km,-0.0647670486421706,0.162267595676144,-0.399137291535603,0.690034087168615,8386,hdds12,income tercile slopes
