category,spec,theta,se,n
大米,main_linear,0.0510332793501382,0.00464439280792347,104155
面粉,main_linear,0.0135291663054242,0.0042456513913922,52424
挂面,main_linear,0.0183451344086862,0.0020583462979573,110987
方便面,main_linear,-0.00532956561575141,0.00218408361167871,147508
食用油,main_linear,-0.0736097339098936,0.0094657496186922,185651
黄油,main_linear,0.0459526103602366,0.00561879154483374,50660
成人奶粉,main_linear,0.114717291999551,0.00606243000255815,46480
奶酪,main_linear,0.00636190355664813,0.00471648008885915,17811
常温牛奶,main_linear,0.0300073960313186,0.0030115705851986,225323
新鲜牛奶,main_linear,0.0101164457788241,0.00366018432825653,49572
常温酸奶,main_linear,0.0612853108482233,0.00351476432283673,125309
新鲜酸奶,main_linear,0.011179072081368,0.00251325338948293,161269
坚果,main_linear,0.0971459035649466,0.00496362164722064,109925
大米,R1_tierA,0.0559874169624585,0.00732624152369266,58729
面粉,R1_tierA,0.0195152910443781,0.00478173273209194,30368
挂面,R1_tierA,0.0200288836270497,0.00332830884673822,52538
方便面,R1_tierA,-0.00496356871307952,0.00359703279587772,66298
食用油,R1_tierA,-0.0721628379088604,0.0099777993319403,90981
黄油,R1_tierA,0.0494931174401801,0.00785114015560831,28632
成人奶粉,R1_tierA,0.127651583056159,0.00794267731865088,19212
奶酪,R1_tierA,-6.63025507167716e-05,0.00700708703838948,9985
常温牛奶,R1_tierA,0.0306422367499162,0.0039111770605111,109288
新鲜牛奶,R1_tierA,0.0108063809981877,0.00368713621531871,37095
常温酸奶,R1_tierA,0.052978509206575,0.00516497403730624,51948
新鲜酸奶,R1_tierA,0.0168422851286325,0.00314828538531363,93123
坚果,R1_tierA,0.109383734753264,0.00642582942327383,58588
大米,R2_no_lockdown,0.051351245229362,0.00435343743471961,101165
面粉,R2_no_lockdown,0.0139607103962419,0.00440558108910832,50849
挂面,R2_no_lockdown,0.0176910198640734,0.00204186884912532,108191
方便面,R2_no_lockdown,-0.00507240310236346,0.00205019010281,144074
食用油,R2_no_lockdown,-0.0752588232851354,0.00936747243332206,181656
黄油,R2_no_lockdown,0.0453114587839052,0.00555837863025824,49638
成人奶粉,R2_no_lockdown,0.115820925682795,0.00617411875391454,45460
奶酪,R2_no_lockdown,0.00709159913030632,0.0044637327901453,17411
常温牛奶,R2_no_lockdown,0.0301046323733998,0.00303528360999875,220586
新鲜牛奶,R2_no_lockdown,0.00977159314361416,0.00336053075671615,48598
常温酸奶,R2_no_lockdown,0.0616083031812714,0.00367927685640137,122848
新鲜酸奶,R2_no_lockdown,0.0109022386850057,0.00241855003555247,158450
坚果,R2_no_lockdown,0.0981790238607755,0.00509158823321456,107358
大米,R3_quarterly,0.0473269601766391,0.00526241280654168,73653
面粉,R3_quarterly,0.0136328567704587,0.00456825675444984,39546
挂面,R3_quarterly,0.0199026612851017,0.00225630016919577,76818
方便面,R3_quarterly,-0.00426154198264201,0.00232975249677028,97792
食用油,R3_quarterly,-0.0655732707699185,0.00950189413838103,121557
黄油,R3_quarterly,0.0493423878115942,0.00595550068664207,39401
成人奶粉,R3_quarterly,0.111100272736725,0.00673949866888294,34721
奶酪,R3_quarterly,0.0101592574937943,0.00475329935657554,14003
常温牛奶,R3_quarterly,0.0322566406526573,0.00367907323681661,131195
新鲜牛奶,R3_quarterly,0.00631834868082323,0.00469830331105116,30074
常温酸奶,R3_quarterly,0.0590712804928948,0.00381372431193208,85125
新鲜酸奶,R3_quarterly,0.0102616755236374,0.00229097501131067,95662
坚果,R3_quarterly,0.0993120082048986,0.00567899700376927,76860
大米,R4_trim2.5,0.0400434026395997,0.00412564964129252,98944
面粉,R4_trim2.5,0.0131161533370282,0.0032644735769853,49698
挂面,R4_trim2.5,0.014380401347035,0.00192175999880623,105387
方便面,R4_trim2.5,-0.00348569720762999,0.00246734851346447,139916
食用油,R4_trim2.5,-0.0616010027741543,0.0092745780750549,176381
黄油,R4_trim2.5,0.0348674280603603,0.00390458099823005,47878
成人奶粉,R4_trim2.5,0.0846878218517378,0.00512047715624676,44022
奶酪,R4_trim2.5,0.00431764148363429,0.00402536317368369,16775
常温牛奶,R4_trim2.5,0.0254979943539684,0.00302152688641664,214177
新鲜牛奶,R4_trim2.5,0.00863936546710855,0.00272769738148848,47051
常温酸奶,R4_trim2.5,0.0613277799530203,0.00326707298942078,119142
新鲜酸奶,R4_trim2.5,0.0075952007467188,0.00217316454726227,153145
坚果,R4_trim2.5,0.0889177368720764,0.00474843006007956,104512
大米,R9_median_uv,0.0523553164933868,0.00449443899997138,104155
面粉,R9_median_uv,0.0158170678309218,0.0040564497049891,52424
挂面,R9_median_uv,0.0186102039479143,0.00213609574079372,110987
方便面,R9_median_uv,-0.00327438568795469,0.0018543651515166,147508
食用油,R9_median_uv,-0.0599304501440142,0.00789612089443962,185651
黄油,R9_median_uv,0.0459863446622562,0.00576233457109022,50660
成人奶粉,R9_median_uv,0.112541706981662,0.00622864215508424,46480
奶酪,R9_median_uv,0.00790710001228852,0.00467036935753691,17811
常温牛奶,R9_median_uv,0.0309142102081531,0.00279910113991697,225323
新鲜牛奶,R9_median_uv,0.00978780728878558,0.00383495448576407,49572
常温酸奶,R9_median_uv,0.0607038418378137,0.00353066400332102,125309
新鲜酸奶,R9_median_uv,0.0123196231954714,0.00238469699687226,161269
坚果,R9_median_uv,0.0927710742932874,0.00465014190010039,109925
大米,R8_poly2,0.0474944424117501,0.00473977930991,104155
面粉,R8_poly2,0.0112680001504983,0.00356791415527693,52424
挂面,R8_poly2,0.0181181791887997,0.00219305250073975,110987
方便面,R8_poly2,-0.00501957539453326,0.00237876023922493,147508
食用油,R8_poly2,-0.0810421154057428,0.0103264853208541,185651
黄油,R8_poly2,0.0456794523117792,0.00551329113952299,50660
成人奶粉,R8_poly2,0.113894796134395,0.00622180857541356,46480
奶酪,R8_poly2,0.00631807446078396,0.00462260355410349,17811
常温牛奶,R8_poly2,0.0319037739960385,0.0030463090523933,225323
新鲜牛奶,R8_poly2,0.0105798088614,0.00382357395650673,49572
常温酸奶,R8_poly2,0.0620602144086881,0.00375503042418552,125309
新鲜酸奶,R8_poly2,0.0131750185538241,0.00248076639931291,161269
坚果,R8_poly2,0.1032399647936,0.00574901113085232,109925
大米,R8_poly4,0.0506617250610142,0.00532205612031944,104155
面粉,R8_poly4,0.011766470856479,0.00416666609864637,52424
挂面,R8_poly4,0.0154275422939732,0.0038114812854821,110987
方便面,R8_poly4,-0.00320031153242836,0.00260613417736586,147508
食用油,R8_poly4,-0.076669796523908,0.0113957602502395,185651
黄油,R8_poly4,0.045337673467519,0.00709862651510111,50660
成人奶粉,R8_poly4,0.120405693338702,0.00713158981499314,46480
奶酪,R8_poly4,0.00755203745674882,0.00633808246359664,17811
常温牛奶,R8_poly4,0.0391923152976361,0.00364047077510576,225323
新鲜牛奶,R8_poly4,0.0118595264722837,0.00483059185090101,49572
常温酸奶,R8_poly4,0.0707355297849991,0.0045166023511384,125309
新鲜酸奶,R8_poly4,0.0118671703598774,0.00286463053023266,161269
坚果,R8_poly4,0.114247635745771,0.0068199590344586,109925
