Category,n,med,p1,p99,mass_2x,mass_half,iqr_ratio,unit_flag
方便面,243966,25.9433962264151,10.5994152046784,102.941176470588,0.0854463326857021,0.0570243394571375,1.825,ok
食用油,278411,18.8888888888889,7.98,178,0.0621383494186652,0.0488091346965458,2.35714285714286,ok
常温牛奶,373430,14,6.33333333333333,32,0.0751037677744156,0.0464879629381678,1.824,ok
新鲜酸奶,316344,18.8888888888889,7.375,69.6296296296296,0.0947987001492047,0.0965120248843032,1.95,ok
坚果,210390,59.5238095238095,15,295.836045364891,0.0946908123009649,0.0958980940158753,2.7129750982962,ok
新鲜牛奶,102460,15.8371040723982,7.81893004115226,44.7513789237668,0.0815049775522155,0.0422994339254343,1.84344827586207,ok
挂面,165266,8.77777777777778,3.7375,120.739942528736,0.049647235366016,0.122523689083054,1.856,check
面粉,70604,5.6,2.98,28.8888888888889,0.1121182935811,0.0273497252280324,1.81363636363636,check
成人奶粉,66664,77.6666666666667,19.5018063918481,876.651982378855,0.0583673346933877,0.0798931957278291,2.15657142857143,ok
常温酸奶,189941,19.3,5,48,0.0837259991260444,0.108038812052164,2.13687150837989,check
黄油,69876,43.8235294117647,13.9705769230769,244.444444444444,0.0760633121529567,0.0964708912931479,2.06328680897646,ok
奶酪,28592,139,42.994,300,0.0232932288752099,0.0544557918298825,1.65,ok
大米,139540,7,3.33333333333333,29.75,0.0642109789307725,0.0385982513974488,1.62326989619377,ok
