term,est,se,t,p,eq,n
Py1,-0.030013899542692,0.0177203399874155,-1.69375415844205,0.103813666909069,大米,584835
Py2,0.0246854390328873,0.00460043112586887,5.36589688172433,1.89075565799405e-05,大米,584835
Py3,-0.00241716135294988,0.000347832390094686,-6.94921295941384,4.39472416108241e-07,大米,584835
Pp1,0.0232969876274173,0.0345932218054428,0.673455272782711,0.507369307343358,大米,584835
Pp2,0.0392031870922109,0.0335211516855658,1.16950597222743,0.254177362542989,大米,584835
Pp3,0.0180878436697405,0.0150371931685163,1.20287366578567,0.241261947738642,大米,584835
Pp4,-0.0181576356322101,0.0212023372051286,-0.85639783277374,0.400612573406963,大米,584835
Pp5,0.00483405778269015,0.0223672189733357,0.21612243294318,0.83079761716488,大米,584835
Pp6,0.0011558590864749,0.0085897307585669,0.134562900626671,0.894128098949276,大米,584835
Pp7,-0.0345148200539077,0.00954424181172259,-3.61629773582594,0.00145092372876338,大米,584835
Pp8,-0.00213478037674572,0.00663804241562015,-0.321597881285349,0.750661815917846,大米,584835
Pp9,-0.0538655269532354,0.0248042136408283,-2.171628084374,0.0404464243372499,大米,584835
Pp10,0.00946197713022046,0.0168843801912508,0.560398251108057,0.580626128596336,大米,584835
Pp11,0.00693373531285087,0.0182719891576624,0.379473480036693,0.707817399768231,大米,584835
Pp12,-0.00703248217385197,0.0194381767572189,-0.361787129610304,0.720813739691712,大米,584835
Pp13,-0.00183008849348148,0.0141777633238107,-0.129081608409131,0.898415236210837,大米,584835
Pz_fsize,-0.00505761485768461,0.00183155315461469,-2.76138033173741,0.0111113894187498,大米,584835
Pz_elderly,-0.0281333148117246,0.00470640763249126,-5.97766215945743,4.28005267347908e-06,大米,584835
Pz_lock_days,-0.000684526652137553,0.000355055025850892,-1.92794525439284,0.0662981606931689,大米,584835
Pz_ln_covid,0.00221158492573153,0.00071668770872764,3.08584185105928,0.00521968779021291,大米,584835
Pz_cny_share,-0.029953982790557,0.00913320565959521,-3.27967899847823,0.00328702755118498,大米,584835
Pz_hot_days,-0.000440640313746967,0.000118147377213283,-3.72958185056881,0.00109832357308851,大米,584835
phi_1,0.0184135251418142,0.0383631022981102,0.479980086040154,0.635774754415464,大米,584835
Py1,0.0528455142446275,0.0141340450171883,3.73888113277993,0.0010734454282009,面粉,584835
Py2,-0.00598936901574021,0.00472346764217986,-1.26800255012992,0.217483196991717,面粉,584835
Py3,8.33642941696511e-05,0.000382357135122532,0.218027300949767,0.829330652974052,面粉,584835
Pp1,0.083348927469242,0.0317913230196456,2.62175082860616,0.0152478859175402,面粉,584835
Pp2,-0.0310029328057405,0.0239849867515371,-1.29259745385324,0.208985614155389,面粉,584835
Pp3,-0.00429790220283282,0.0106343632097848,-0.404152286135787,0.689834241388106,面粉,584835
Pp4,-0.00549761296625501,0.0232098235534261,-0.236865780284809,0.81485787809426,面粉,584835
Pp5,0.022003678605082,0.0189663237404778,1.16014462824559,0.257891408574987,面粉,584835
Pp6,-0.00408745195227012,0.0125331934750171,-0.326130124809594,0.747274766800426,面粉,584835
Pp7,0.0126629687474358,0.0235244129332631,0.538290531770533,0.595548020168431,面粉,584835
Pp8,-0.00279294636384081,0.0101224047941645,-0.275917276638742,0.785075584774926,面粉,584835
Pp9,-0.0457281226397556,0.0265860105525711,-1.72000693933875,0.0988608595261612,面粉,584835
Pp10,0.00490007781148032,0.0120444861753468,0.406831619061509,0.6878928032742,面粉,584835
Pp11,-0.0171284625598558,0.0149321760733056,-1.1470841540957,0.263139881299154,面粉,584835
Pp12,-0.0362425180304561,0.0167697867200832,-2.16117942555898,0.0413346511042208,面粉,584835
Pp13,-0.0212856289938462,0.0104967163094869,-2.02783693168961,0.0543150500354861,面粉,584835
Pz_fsize,-0.00176259242808825,0.00123305192377623,-1.42945515440283,0.166316635293045,面粉,584835
Pz_elderly,-0.00544332524959319,0.00525015295641049,-1.03679365054438,0.310610177396535,面粉,584835
Pz_lock_days,-0.00020857331951369,0.000369277700985983,-0.564814281926022,0.577667974731981,面粉,584835
Pz_ln_covid,0.00248072212749637,0.000670112485074906,3.70194882612742,0.00117564674557943,面粉,584835
Pz_cny_share,-0.00669449313040583,0.0116983289985408,-0.572260630662796,0.572697106228313,面粉,584835
Pz_hot_days,0.000204285155739448,0.000238102299377302,0.857972208893846,0.399760564798765,面粉,584835
phi_2,-0.0373144789089908,0.0125869557297992,-2.96453564388489,0.00694413913039977,面粉,584835
Py1,-0.0386145124380185,0.0252100710592857,-1.53170978166662,0.139234194061524,挂面,584835
Py2,-0.0050583774404257,0.0044142711823255,-1.14591451940677,0.263613718914468,挂面,584835
Py3,0.000707613409116427,0.000266732618870239,2.65289416837567,0.014215891508223,挂面,584835
Pp1,0.165330786588202,0.0284738702897895,5.80640372754273,6.46415895841878e-06,挂面,584835
Pp2,-0.0989487316924751,0.0287684996330097,-3.43948182751035,0.00223395051810857,挂面,584835
Pp3,-0.0197436481089959,0.00747760376395235,-2.64037099748118,0.0146227239546445,挂面,584835
Pp4,0.0437887549160518,0.017207158751259,2.54479868228378,0.0181068191134966,挂面,584835
Pp5,-0.123744473499659,0.0250285312479994,-4.94413644466452,5.35755572780127e-05,挂面,584835
Pp6,0.00833892054137851,0.00342681059888124,2.43343491003003,0.0231384006186206,挂面,584835
Pp7,-0.055435721045294,0.00982656188509567,-5.64141575593958,9.64295695022463e-06,挂面,584835
Pp8,0.00403918097670618,0.00309779839847518,1.303887618605,0.205171726767205,挂面,584835
Pp9,-0.0269186503206545,0.0155908625120832,-1.72656582019065,0.0976553247202082,挂面,584835
