category,eval_at,y0,theta,se,n,t,p
大米,mean,5.7463931952425,0.0438155592805897,0.00518302158478568,104155,8.45367100326315,2.82284007035745e-17
大米,p10,4.53496779081333,0.0118150039614003,0.0129301806102672,104155,0.913753977420746,0.360846134206619
大米,p25,5.22733522568688,0.0322271445154018,0.006275178767705,104155,5.13565361376759,2.81165108361508e-07
大米,p50,5.8478242297469,0.0457083309238557,0.00515805279449323,104155,8.86154770898317,7.89111655338444e-19
大米,p75,6.39254204430597,0.0537940797677303,0.00505119292322747,104155,10.6497773071313,1.74782675746126e-26
大米,p90,6.85411534622489,0.0579020059152062,0.00551662823999711,104155,10.4959049978029,9.02090782212604e-26
面粉,mean,5.7463931952425,0.00763313311511165,0.00453909703537631,52424,1.68164131668069,0.092638413722114
面粉,p10,4.53496779081333,-0.00745158705504149,0.00519924988562004,52424,-1.43320425426193,0.151799474248939
面粉,p25,5.22733522568688,0.00101447522535935,0.00448511040516824,52424,0.226187347404059,0.821055710940627
面粉,p50,5.8478242297469,0.00895371126109221,0.00456303051356609,52424,1.96222910069798,0.0497358173416816
面粉,p75,6.39254204430597,0.0161977711307681,0.00527107806286577,52424,3.07295223815404,0.0021195240806936
面粉,p90,6.85411534622489,0.022536864292542,0.00746826403843045,52424,3.01768445472348,0.00254713974996863
挂面,mean,5.7463931952425,0.014960540717796,0.00279449885840413,110987,5.35356837695744,8.62364261651327e-08
挂面,p10,4.53496779081333,0.0174086119635261,0.00441364775463543,110987,3.94426853507797,8.00439238472009e-05
挂面,p25,5.22733522568688,0.0148148724457791,0.00318128836964465,110987,4.65687819662633,3.21040250729272e-06
挂面,p50,5.8478242297469,0.0151982110044586,0.00280484578852703,110987,5.41855494039123,6.00826766530353e-08
挂面,p75,6.39254204430597,0.0176445372178112,0.00373325232053002,110987,4.72631788662657,2.28627645088895e-06
挂面,p90,6.85411534622489,0.021261403136793,0.00577192071952526,110987,3.6835923724437,0.000229969893265161
方便面,mean,5.7463931952425,-0.00720245070361481,0.00234719659746702,147508,-3.06853320739615,0.00215112419496578
方便面,p10,4.53496779081333,-0.00937780172580893,0.00252330092281712,147508,-3.71648170894304,0.000202016258681971
方便面,p25,5.22733522568688,-0.0091045962695054,0.0023833615024245,147508,-3.82006517275859,0.000133416416462616
方便面,p50,5.8478242297469,-0.00666085925041678,0.00238970516261733,147508,-2.78731424889314,0.00531469132987592
方便面,p75,6.39254204430597,-0.00280226255852972,0.00320891889743818,147508,-0.873273101656412,0.382514238149149
方便面,p90,6.85411534622489,0.00172113512893337,0.00478275345989037,147508,0.35986281613036,0.718949725104467
食用油,mean,5.7463931952425,-0.0793117750306211,0.0113072080714621,185651,-7.01426687555116,2.31157799742909e-12
食用油,p10,4.53496779081333,-0.156176048056997,0.0161947807098359,185651,-9.64360375451972,5.23183009077282e-22
食用油,p25,5.22733522568688,-0.111508778752782,0.0131537522645935,185651,-8.47733608705212,2.3040863950209e-17
食用油,p50,5.8478242297469,-0.0731490971613331,0.0109220105267138,185651,-6.69740218455386,2.1215714326044e-11
食用油,p75,6.39254204430597,-0.0407752452349732,0.00871674841518069,185651,-4.6778045313274,2.89962753262195e-06
食用油,p90,6.85411534622489,-0.0142953169777683,0.00748772855653446,185651,-1.90916602676428,0.0562406773715764
黄油,mean,5.7463931952425,0.0436005362578453,0.00715980478112795,50660,6.0896264061234,1.13174475915104e-09
黄油,p10,4.53496779081333,0.052255482192334,0.00929119203481727,50660,5.62419568947825,1.86374282326279e-08
黄油,p25,5.22733522568688,0.0465003487206686,0.00817233161026123,50660,5.68997330728509,1.27059232128778e-08
黄油,p50,5.8478242297469,0.0431754739653286,0.00697582905312884,50660,6.18929644584155,6.04333363911203e-10
黄油,p75,6.39254204430597,0.041684640425447,0.00693014604557906,50660,6.01497286655868,1.79916833297556e-09
黄油,p90,6.85411534622489,0.0414663853160511,0.00937620078734023,50660,4.42251464708809,9.75587332440343e-06
成人奶粉,mean,5.7463931952425,0.120476009321503,0.00684147522075019,46480,17.6096536834774,2.07711976929611e-69
成人奶粉,p10,4.53496779081333,0.0984117815198982,0.0129122158734536,46480,7.6216028669583,2.50544857333241e-14
成人奶粉,p25,5.22733522568688,0.113739416598405,0.00730923142918961,46480,15.5610637999754,1.33855484272961e-54
成人奶粉,p50,5.8478242297469,0.121316570392701,0.00680129067889932,46480,17.8372864975584,3.62895879582474e-71
成人奶粉,p75,6.39254204430597,0.123169444889122,0.00688507679962396,46480,17.8893349302725,1.42802550284647e-71
成人奶粉,p90,6.85411534622489,0.121227619342857,0.00960618814157994,46480,12.6197423531743,1.64358124186706e-36
奶酪,mean,5.7463931952425,0.0060813467150943,0.00547646136409378,17811,1.11045186129979,0.266804360904969
奶酪,p10,4.53496779081333,0.0118118193146678,0.00871181445930316,17811,1.35583917332562,0.175150344370502
奶酪,p25,5.22733522568688,0.0084319203621493,0.00641198414107142,17811,1.3150251430192,0.188501452531399
奶酪,p50,5.8478242297469,0.00564035783607738,0.00532910090936372,17811,1.05840702437568,0.289869918378661
奶酪,p75,6.39254204430597,0.00337469842081757,0.00541675624454898,17811,0.623010943904595,0.533277330170266
奶酪,p90,6.85411534622489,0.00159025417667447,0.00789640347039749,17811,0.201389681091665,0.840393883219238
常温牛奶,mean,5.7463931952425,0.0351074831754395,0.00360005575812005,225323,9.75192761841351,1.80998294004186e-22
常温牛奶,p10,4.53496779081333,0.0245722070504221,0.00289754608567197,225323,8.48035072571541,2.24516116845023e-17
常温牛奶,p25,5.22733522568688,0.0317345895778698,0.00335594344397156,225323,9.45623491804554,3.19231197379908e-21
常温牛奶,p50,5.8478242297469,0.0355667480604304,0.00363261811872637,225323,9.79094055526554,1.23144968907585e-22
常温牛奶,p75,6.39254204430597,0.0369155365622194,0.00376132253854132,225323,9.81450970608216,9.75108482846199e-23
常温牛奶,p90,6.85411534622489,0.0365835848196682,0.00391793828160004,225323,9.33745817066008,9.86744721430318e-21
新鲜牛奶,mean,5.7463931952425,0.00957808900070807,0.00415397345271792,49572,2.30576557836237,0.0211237345637767
新鲜牛奶,p10,4.53496779081333,0.00669312007909797,0.00444124230160334,49572,1.50703781162349,0.131800965479602
