category,eps_uv_naive,eps_pobs
大米,-0.665843665578041,-0.256438115593328
面粉,-0.897107612231261,0.0500731402650087
挂面,-0.476346247336903,-0.00787153197056858
方便面,-0.74429001579578,0.40291944794987
食用油,-1.51947643974807,-0.11997065996055
黄油,-0.351936581097752,-0.0470137235343299
成人奶粉,-0.241052810390086,0.128094797471644
奶酪,-0.747776343507757,-0.391456516525709
常温牛奶,-0.552436204479518,0.486678580399991
新鲜牛奶,-0.607992900401246,-0.0869396043880154
常温酸奶,-0.273892873743937,0.0816856051089119
新鲜酸奶,-0.761755046369056,-0.850908440907365
坚果,-0.283134247209678,0.0257395325229723
