year,province,provincechn,total_cpi_yoy,food_cpi_yoy,food_budget_share_all,nonfood_cpi_yoy_approx,total_price_index_2023,food_price_index_2023,nonfood_price_index_2023,nonfood_cpi_yoy,national_nonfood_price_index_2023,national_nonfood_bridge,nonfood_price_source,nonfood_relative_price_index_2023
2000,11,北京,103.5,,,,66.15663372255096,,,,,,national_nonfood_cpi_fallback,
2001,11,北京,103.1,,,,68.20748936795003,,,,,,national_nonfood_cpi_fallback,
2002,11,北京,98.2,,,,66.97975455932693,,,,,,national_nonfood_cpi_fallback,
2003,11,北京,100.2,,,,67.11371406844559,,,,,,national_nonfood_cpi_fallback,
2004,11,北京,101.0,,,,67.78485120913004,,,,,,national_nonfood_cpi_fallback,
2005,11,北京,101.5,,,,68.80162397726698,64.61539576491059,,,,,national_nonfood_cpi_fallback,
2006,11,北京,100.9,100.9,,,69.4208385930624,65.19693432679479,,,,,national_nonfood_cpi_fallback,
2007,11,北京,102.4,102.4,,,71.0869387192959,66.76166075063787,,,,,national_nonfood_cpi_fallback,
2008,11,北京,105.1,105.1,,,74.71237259397999,70.1665054489204,,,,,national_nonfood_cpi_fallback,
2009,11,北京,98.5,98.5,,,73.5916870050703,69.1140078671866,,,,,national_nonfood_cpi_fallback,
2010,11,北京,102.4,102.4,,,75.35788749319198,70.77274405599908,,,,,national_nonfood_cpi_fallback,
2011,11,北京,105.6,105.6,,,79.57792919281074,74.73601772313503,,,,,national_nonfood_cpi_fallback,
2012,11,北京,103.3,103.3,,,82.2040008561735,77.20230630799848,,,,,national_nonfood_cpi_fallback,
2013,11,北京,103.3,103.3,,,84.91673288442722,79.74998241616242,,,,,national_nonfood_cpi_fallback,
2014,11,北京,101.6,101.6,,,86.27540061057806,81.02598213482102,87.80886797952476,,,,derived_from_total_food_cpi,101.77740973451787
2015,11,北京,101.8,101.8,0.22436623859482466,101.8,87.82835782156846,82.4844498132478,89.38942760315621,,89.40141690138984,backcast_from_2016_yoy,derived_from_total_food_cpi,101.77740973451787
2016,11,北京,101.4,103.3,0.21483379648682843,100.88013017944662,89.05795483107042,85.20643665708498,90.17617093272617,101.4,90.65303673800929,observed_yoy_chain,derived_from_total_food_cpi,101.25560496395502
2017,11,北京,101.9,99.4,0.20170549853104722,102.53167633674003,90.75005597286076,84.69519803714248,92.45913971360824,102.3,92.7380565829835,observed_yoy_chain,derived_from_total_food_cpi,101.88328670701712
2018,11,北京,102.5,102.9,0.20241981223533626,102.39848302887128,93.01880737218228,87.15135878021962,94.67675648827952,102.2,94.77829382780914,observed_yoy_chain,derived_from_total_food_cpi,101.78238053457677
2019,11,北京,102.3,106.2,0.19723267809842465,101.34180523596578,95.15823994174247,92.55474302459325,95.94713416408183,101.4,96.10518994139846,observed_yoy_chain,derived_from_total_food_cpi,100.82903406244415
2020,11,北京,101.7,106.1,0.21525075187003576,100.49311345568654,96.7759300207521,98.20058234909344,96.42026239299054,100.4,96.48961070116405,observed_yoy_chain,derived_from_total_food_cpi,99.63248337919843
2021,11,北京,101.1,99.0,0.21325847846012835,101.66923753546108,97.84046525098036,97.2185765256025,98.0297456046444,101.4,97.84046525098036,observed_yoy_chain,derived_from_total_food_cpi,100.19345814963012
