model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation,fixed_by_restriction,estimated_on_boundary
AIDADS_sat,grain,alpha,0.4502886306687662,False,False,False,False,False
AIDADS_sat,grain,beta,0.0,True,False,True,True,False
AIDADS_sat,grain,delta,0.2051439310169783,False,False,False,False,False
AIDADS_sat,grain,tau,0.2051439310169783,False,False,False,False,False
AIDADS_sat,oil,alpha,8.559403985648043e-05,True,False,False,False,True
AIDADS_sat,oil,beta,0.0,True,False,True,True,False
AIDADS_sat,oil,delta,0.1268574750854359,False,False,False,False,False
AIDADS_sat,oil,tau,0.1268574750854359,False,False,False,False,False
AIDADS_sat,vegfruit,alpha,0.0016937945369542,False,False,False,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True,True,False
AIDADS_sat,vegfruit,delta,0.0516848494497742,False,False,False,False,False
AIDADS_sat,vegfruit,tau,0.0516848494497742,False,False,False,False,False
AIDADS_sat,pork,alpha,0.4352992023991383,False,False,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True,True,False
AIDADS_sat,pork,delta,0.0448761403588034,False,False,False,False,False
AIDADS_sat,pork,tau,0.0448761403588034,False,False,False,False,False
AIDADS_sat,meatother,alpha,0.0003946451625754,False,False,False,False,False
AIDADS_sat,meatother,beta,0.0,True,False,True,True,False
AIDADS_sat,meatother,delta,0.0428625285028209,False,False,False,False,False
AIDADS_sat,meatother,tau,0.0428625285028209,False,False,False,False,False
AIDADS_sat,dairyegg,alpha,0.1069514318358709,False,False,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True,True,False
AIDADS_sat,dairyegg,delta,0.0165053886033007,False,False,False,False,False
AIDADS_sat,dairyegg,tau,0.0165053886033007,False,False,False,False,False
AIDADS_sat,nonfood,alpha,0.0052867013568381,False,False,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True,True,False
AIDADS_sat,nonfood,delta,14.126576993735256,False,False,False,False,False
AIDADS_sat,nonfood,tau,14.126576993735256,False,False,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False,False,True
AIDADS_sat,all,kappa,1.2610673674156492,False,False,False,False,False
MAIDADS_sat,grain,alpha,0.0039182159171122,False,False,False,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True,True,False
MAIDADS_sat,grain,delta,0.6746134635242146,False,False,False,False,False
MAIDADS_sat,grain,tau,0.0296423731796182,False,False,False,False,False
MAIDADS_sat,oil,alpha,0.001167469268447,False,False,False,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True,True,False
MAIDADS_sat,oil,delta,0.1708267867279731,False,False,False,False,False
MAIDADS_sat,oil,tau,0.0728614827515829,False,False,False,False,False
MAIDADS_sat,vegfruit,alpha,0.0178212137444718,False,False,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True,True,False
MAIDADS_sat,vegfruit,delta,0.0237604063611165,False,False,False,False,False
MAIDADS_sat,vegfruit,tau,0.0523125331854331,False,False,False,False,False
MAIDADS_sat,pork,alpha,0.025102886021455,False,False,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True,True,False
MAIDADS_sat,pork,delta,0.0768338620913288,False,False,False,False,False
MAIDADS_sat,pork,tau,0.0010238770837956,False,False,False,False,False
MAIDADS_sat,meatother,alpha,0.0006140063583396,False,False,False,False,False
MAIDADS_sat,meatother,beta,0.0,True,False,True,True,False
MAIDADS_sat,meatother,delta,0.032526639375897,False,False,False,False,False
MAIDADS_sat,meatother,tau,0.0529686322201344,False,False,False,False,False
MAIDADS_sat,dairyegg,alpha,0.0090481920425427,False,False,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True,True,False
MAIDADS_sat,dairyegg,delta,0.0069914970947903,False,False,False,False,False
MAIDADS_sat,dairyegg,tau,0.0094958665671973,False,False,False,False,False
MAIDADS_sat,nonfood,alpha,0.9423280166476312,False,False,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True,True,False
MAIDADS_sat,nonfood,delta,68.68419848139972,False,False,False,False,False
MAIDADS_sat,nonfood,tau,0.0410913914683551,False,False,False,False,False
MAIDADS_sat,all,omega,0.7050209092350966,False,False,False,False,False
MAIDADS_sat,all,kappa,4.910731446808447,False,False,False,False,False
