draw,group,alpha,beta,delta,tau,omega,kappa
1,dairyegg,0.0114824505480667,0.0,9.916526510658872e-05,0.0088532131181051,6.040202875202317,4.104619324903374
1,grain,0.0091886074627698,0.0,0.8283162229988025,0.3392573885526879,6.040202875202317,4.104619324903374
1,meatsea,0.0836288471349418,0.0,0.0702296427127139,0.0505407842030633,6.040202875202317,4.104619324903374
1,nonfood,0.8834555668600813,1.0,0.0403020859742825,0.0708218684917852,6.040202875202317,4.104619324903374
1,oil,0.0007571185716747,0.0,0.2108620173178998,0.1191424049275362,6.040202875202317,4.104619324903374
1,vegfruit,0.0114874094224654,0.0,8.42384766989821e-06,0.0442579756818277,6.040202875202317,4.104619324903374
2,dairyegg,0.0086367853416204,0.0,7.931629496009375e-05,0.0177440657996358,2.9750857793887744,4.326810213360643
2,grain,2.753725257517607e-05,0.0,0.7976041686629752,0.3349203598277535,2.9750857793887744,4.326810213360643
2,meatsea,0.0718993959286491,0.0,0.0587503633103754,0.0436587991776155,2.9750857793887744,4.326810213360643
2,nonfood,0.8967075491206309,1.0,0.0009939797826134,0.0564298858137101,2.9750857793887744,4.326810213360643
2,oil,2.753725257517607e-05,0.0,0.1933938772578798,0.1118299072723817,2.9750857793887744,4.326810213360643
2,vegfruit,0.0227011951039491,0.0,9.447437028831924e-06,0.0462509871626438,2.9750857793887744,4.326810213360643
3,dairyegg,0.0086992263509345,0.0,5.031698288113782e-05,0.0209213441588555,3.0216443947683396,4.159559211582236
3,grain,8.081312048335362e-06,0.0,0.899332455295634,0.3408793867121084,3.0216443947683396,4.159559211582236
3,meatsea,0.0838694724183103,0.0,0.0685073134395507,0.037412387546629,3.0216443947683396,4.159559211582236
3,nonfood,0.90740705729461,1.0,16.058021753738824,0.0587722980822692,3.0216443947683396,4.159559211582236
3,oil,8.081312048335362e-06,0.0,0.2262276983195096,0.1061892111921421,3.0216443947683396,4.159559211582236
3,vegfruit,8.081312048335362e-06,0.0,9.219574636705564e-06,0.0591421521488021,3.0216443947683396,4.159559211582236
4,dairyegg,0.0083510987658521,0.0,2.6915158842106324e-05,0.0142951909174032,4.143499949574757,4.496670634037159
4,grain,0.0140587293152512,0.0,0.3302318632688491,0.281116927580555,4.143499949574757,4.496670634037159
4,meatsea,0.0422511361832489,0.0,6.14421235332821e-06,0.1171571675080972,4.143499949574757,4.496670634037159
4,nonfood,0.9058262707685668,1.0,0.2101733082316616,0.0731889531202193,4.143499949574757,4.496670634037159
4,oil,0.0005574645442119,0.0,0.0868480385190482,0.1322563463021536,4.143499949574757,4.496670634037159
4,vegfruit,0.0289553004228689,0.0,1.2021425789682786e-05,0.0361971353257264,4.143499949574757,4.496670634037159
5,dairyegg,0.0108479402065315,0.0,0.0001028060912003,0.0099503019087872,7.1692643039265755,4.086258166672559
5,grain,0.0132547198210337,0.0,0.7946549450913323,0.3311506450650288,7.1692643039265755,4.086258166672559
5,meatsea,0.0884589818154412,0.0,0.0653476661772748,0.0485696668883365,7.1692643039265755,4.086258166672559
5,nonfood,0.8763063640778539,1.0,0.4676589885126738,0.0714381650023407,7.1692643039265755,4.086258166672559
5,oil,0.0007538526091202,0.0,0.2193510447702119,0.1217511832880126,7.1692643039265755,4.086258166672559
5,vegfruit,0.0103781414700192,0.0,9.371911373559112e-06,0.045703266137515,7.1692643039265755,4.086258166672559
6,dairyegg,0.0085301190285071,0.0,0.0001066423792497,0.0147865182176252,4.379570692876014,4.170108067473498
6,grain,0.0001128295386067,0.0,0.8560860035507551,0.3841112430561528,4.379570692876014,4.170108067473498
6,meatsea,0.0972717750786337,0.0,0.0697353983402675,0.0258041664232065,4.379570692876014,4.170108067473498
6,nonfood,0.8938596172770386,1.0,3.2747273625981914,0.0692473521697536,4.379570692876014,4.170108067473498
6,oil,0.0001128295386067,0.0,0.2358550369529647,0.1180402035898983,4.379570692876014,4.170108067473498
6,vegfruit,0.0001128295386067,0.0,9.70391758797756e-06,0.0541596401907087,4.379570692876014,4.170108067473498
7,dairyegg,0.0077606633695482,0.0,6.101825555914885e-05,0.010976637094127,0.2692132693009215,5.238943730828822
7,grain,0.0001190184737271,0.0,0.7558229758384387,0.0003007412459754,0.2692132693009215,5.238943730828822
7,meatsea,0.0583713039900896,0.0,0.0481058305243968,1.2722820234078129e-05,0.2692132693009215,5.238943730828822
7,nonfood,0.9234490246332332,1.0,49.4405973708159,0.0695260395590899,0.2692132693009215,5.238943730828822
7,oil,0.0001190184737271,0.0,0.1251524076866426,0.1190007895351492,0.2692132693009215,5.238943730828822
7,vegfruit,0.0101809710596746,0.0,1.0424614697609488e-05,0.0868930293552475,0.2692132693009215,5.238943730828822
8,dairyegg,0.0081764840290371,0.0,8.747123602718665e-05,0.0157907207138624,6.264625957952579,4.099749901143448
8,grain,0.0137338364684085,0.0,0.842384077476233,0.3276863771662426,6.264625957952579,4.099749901143448
8,meatsea,0.0808742299409559,0.0,0.0750026547697515,0.0558753564687837,6.264625957952579,4.099749901143448
8,nonfood,0.8962208049579763,1.0,4.233408448052778,0.0755584520649723,6.264625957952579,4.099749901143448
8,oil,0.0004891774198237,0.0,0.2240882075188623,0.127321919061804,6.264625957952579,4.099749901143448
8,vegfruit,0.0005054671837982,0.0,9.169333526429698e-06,0.0518505769054564,6.264625957952579,4.099749901143448
9,dairyegg,0.0074078712697193,0.0,8.781918423803139e-05,0.0185547118152411,3.2363475073731096,4.207099121941473
9,grain,0.0042754185786466,0.0,0.8238268619344669,0.3278946689025979,3.2363475073731096,4.207099121941473
9,meatsea,0.081843846999617,0.0,0.0696118451896206,0.0483372515639988,3.2363475073731096,4.207099121941473
9,nonfood,0.905739788661391,1.0,3.339475232895021,0.0710333878668487,3.2363475073731096,4.207099121941473
9,oil,0.0003603599654137,0.0,0.1847629569642879,0.1155409572242068,3.2363475073731096,4.207099121941473
9,vegfruit,0.0003727145252121,0.0,8.930505379836691e-06,0.0573597593142866,3.2363475073731096,4.207099121941473
10,dairyegg,0.0087288737905471,0.0,9.32610224710204e-05,0.016110090931641,5.534925725478215,4.111769229688888
10,grain,0.0058434670360782,0.0,0.8143458467581755,0.3542842051333225,5.534925725478215,4.111769229688888
10,meatsea,0.1070764239327394,0.0,0.0570751029118482,0.0293604801277839,5.534925725478215,4.111769229688888
10,nonfood,0.8686698069452057,1.0,0.0043053485185057,0.057164741834746,5.534925725478215,4.111769229688888
10,oil,0.0002914439953259,0.0,0.2248360442525667,0.1284226519861605,5.534925725478215,4.111769229688888
10,vegfruit,0.0093899843001036,0.0,8.71789493010958e-06,0.0503012386226374,5.534925725478215,4.111769229688888
11,dairyegg,0.0055507983668537,0.0,7.746465198569262e-05,0.0197953006168633,5.555925996209628,4.19876868801494
11,grain,0.007917437271356,0.0,0.7734628236031584,0.3485286183266942,5.555925996209628,4.19876868801494
11,meatsea,0.0837733807553014,0.0,0.0751366304197628,0.0363295059821512,5.555925996209628,4.19876868801494
11,nonfood,0.901888456275686,1.0,2.4879753174198966,0.0706925435163247,5.555925996209628,4.19876868801494
11,oil,0.0003872851685969,0.0,0.1876360523471937,0.1220911055605611,5.555925996209628,4.19876868801494
11,vegfruit,0.0004826421622055,0.0,9.879147631392328e-06,0.0537501355769191,5.555925996209628,4.19876868801494
12,dairyegg,0.0010020301032494,0.0,7.378789527723115e-05,0.0326454926326889,2.1303953709874586,4.148435830241443
12,grain,0.00228481365525,0.0,0.6758534474348977,0.327033129246891,2.1303953709874586,4.148435830241443
12,meatsea,0.0971543842421933,0.0,0.0003912618927743,0.048311736481448,2.1303953709874586,4.148435830241443
12,nonfood,0.8991484513185846,1.0,2.371384145080774,0.0697011744378239,2.1303953709874586,4.148435830241443
