model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,3.2459296169931376e-05,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.4093720228328169,False,False,False
AIDADS_sat,grain,tau,0.4093720228328169,False,False,False
AIDADS_sat,oil,alpha,3.2459313346992805e-05,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.12632254543280597,False,False,False
AIDADS_sat,oil,tau,0.12632254543280597,False,False,False
AIDADS_sat,vegetable,alpha,0.003033355341624644,False,False,False
AIDADS_sat,vegetable,beta,0.0,True,False,True
AIDADS_sat,vegetable,delta,0.025195733128341745,False,False,False
AIDADS_sat,vegetable,tau,0.025195733128341745,False,False,False
AIDADS_sat,fruit,alpha,0.011169914603444877,False,False,False
AIDADS_sat,fruit,beta,0.0,True,False,True
AIDADS_sat,fruit,delta,0.0164837020833128,False,False,False
AIDADS_sat,fruit,tau,0.0164837020833128,False,False,False
AIDADS_sat,pork,alpha,0.01729967663008704,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.06044860885401031,False,False,False
AIDADS_sat,pork,tau,0.06044860885401031,False,False,False
AIDADS_sat,beef,alpha,0.015574045671533114,False,False,False
AIDADS_sat,beef,beta,0.0,True,False,True
AIDADS_sat,beef,delta,4.2786740363235196e-05,True,False,False
AIDADS_sat,beef,tau,4.2786740363235196e-05,True,False,False
AIDADS_sat,mutton,alpha,0.002037333323637297,False,False,False
AIDADS_sat,mutton,beta,0.0,True,False,True
AIDADS_sat,mutton,delta,0.0047092380910285095,False,False,False
AIDADS_sat,mutton,tau,0.0047092380910285095,False,False,False
AIDADS_sat,poultry,alpha,0.00013950280003779494,False,False,False
AIDADS_sat,poultry,beta,0.0,True,False,True
AIDADS_sat,poultry,delta,0.017127639704660923,False,False,False
AIDADS_sat,poultry,tau,0.017127639704660923,False,False,False
AIDADS_sat,aquatic,alpha,0.014704915040960172,False,False,False
AIDADS_sat,aquatic,beta,0.0,True,False,True
AIDADS_sat,aquatic,delta,0.0001449587668176401,False,False,False
AIDADS_sat,aquatic,tau,0.0001449587668176401,False,False,False
AIDADS_sat,egg,alpha,0.004540663476140542,False,False,False
AIDADS_sat,egg,beta,0.0,True,False,True
AIDADS_sat,egg,delta,0.007314235998213109,False,False,False
AIDADS_sat,egg,tau,0.007314235998213109,False,False,False
AIDADS_sat,milk,alpha,0.0020850076141464306,False,False,False
AIDADS_sat,milk,beta,0.0,True,False,True
AIDADS_sat,milk,delta,0.0059649857965916155,False,False,False
AIDADS_sat,milk,tau,0.0059649857965916155,False,False,False
AIDADS_sat,nonfood,alpha,0.9293506668888712,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,74.3559275189435,False,False,False
AIDADS_sat,nonfood,tau,74.3559275189435,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,5.161419285403686,False,False,False
MAIDADS_sat,grain,alpha,4.817830763364782e-05,True,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.5831680259255565,False,False,False
MAIDADS_sat,grain,tau,0.197177510608526,False,False,False
MAIDADS_sat,oil,alpha,3.6356085682554004e-05,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.08988181268722363,False,False,False
MAIDADS_sat,oil,tau,0.1738501562570653,False,False,False
MAIDADS_sat,vegetable,alpha,0.00395787679091619,False,False,False
MAIDADS_sat,vegetable,beta,0.0,True,False,True
MAIDADS_sat,vegetable,delta,0.016588497271173737,False,False,False
MAIDADS_sat,vegetable,tau,0.03447676884286168,False,False,False
MAIDADS_sat,fruit,alpha,0.011338470683276182,False,False,False
MAIDADS_sat,fruit,beta,0.0,True,False,True
MAIDADS_sat,fruit,delta,0.01873393952318436,False,False,False
MAIDADS_sat,fruit,tau,0.01535894743375125,False,False,False
MAIDADS_sat,pork,alpha,0.023814815026768597,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.04956934346753317,False,False,False
MAIDADS_sat,pork,tau,0.05078002531697731,False,False,False
MAIDADS_sat,beef,alpha,0.016837741104118977,False,False,False
MAIDADS_sat,beef,beta,0.0,True,False,True
MAIDADS_sat,beef,delta,4.664192691609375e-05,True,False,False
MAIDADS_sat,beef,tau,2.8742089802164596e-05,True,False,False
MAIDADS_sat,mutton,alpha,0.001788524435680739,False,False,False
MAIDADS_sat,mutton,beta,0.0,True,False,True
MAIDADS_sat,mutton,delta,0.004153528334201925,False,False,False
MAIDADS_sat,mutton,tau,0.005223195798339001,False,False,False
MAIDADS_sat,poultry,alpha,0.00012432752861796535,False,False,False
MAIDADS_sat,poultry,beta,0.0,True,False,True
MAIDADS_sat,poultry,delta,0.00995022793503695,False,False,False
MAIDADS_sat,poultry,tau,0.026063139500506854,False,False,False
MAIDADS_sat,aquatic,alpha,0.01713791919614334,False,False,False
MAIDADS_sat,aquatic,beta,0.0,True,False,True
MAIDADS_sat,aquatic,delta,0.0002502698508952483,False,False,False
MAIDADS_sat,aquatic,tau,0.00013613151325977775,False,False,False
MAIDADS_sat,egg,alpha,0.0050212136528590585,False,False,False
MAIDADS_sat,egg,beta,0.0,True,False,True
MAIDADS_sat,egg,delta,0.01084998083436292,False,False,False
MAIDADS_sat,egg,tau,0.004175723049274976,False,False,False
MAIDADS_sat,milk,alpha,0.0025335337382810076,False,False,False
MAIDADS_sat,milk,beta,0.0,True,False,True
MAIDADS_sat,milk,delta,0.00401114743892481,False,False,False
MAIDADS_sat,milk,tau,0.007571090082358717,False,False,False
MAIDADS_sat,nonfood,alpha,0.9173610434500218,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,74.47060220061609,False,False,False
MAIDADS_sat,nonfood,tau,88.55380612670012,False,False,False
MAIDADS_sat,all,omega,0.22967365372909332,False,False,False
MAIDADS_sat,all,kappa,4.883820164771968,False,False,False
