model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,2.819510516701999e-07,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.41287758257197776,False,False,False
AIDADS_sat,grain,tau,0.41287758257197776,False,False,False
AIDADS_sat,oil,alpha,1.1150966334464435e-05,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.1279448252054539,False,False,False
AIDADS_sat,oil,tau,0.1279448252054539,False,False,False
AIDADS_sat,vegfruit,alpha,0.0033004902595181644,False,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.036848293769605515,False,False,False
AIDADS_sat,vegfruit,tau,0.036848293769605515,False,False,False
AIDADS_sat,pork,alpha,0.0038006415050065205,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.05265928424391786,False,False,False
AIDADS_sat,pork,tau,0.05265928424391786,False,False,False
AIDADS_sat,meatother,alpha,1.780365319100035e-07,True,False,False
AIDADS_sat,meatother,beta,0.0,True,False,True
AIDADS_sat,meatother,delta,0.04197925823746284,False,False,False
AIDADS_sat,meatother,tau,0.04197925823746284,False,False,False
AIDADS_sat,dairyegg,alpha,0.0017322852173666321,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.007573946138617725,False,False,False
AIDADS_sat,dairyegg,tau,0.007573946138617725,False,False,False
AIDADS_sat,nonfood,alpha,0.9911549720641908,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,2.8312755982041513,False,False,False
AIDADS_sat,nonfood,tau,2.8312755982041513,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,7.105128564297859,False,False,False
MAIDADS_sat,grain,alpha,0.0009335430218855972,False,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.6501793319924807,False,False,False
MAIDADS_sat,grain,tau,0.17553348875778546,False,False,False
MAIDADS_sat,oil,alpha,5.838859481325751e-07,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.1627935192254194,False,False,False
MAIDADS_sat,oil,tau,0.09980289276346058,False,False,False
MAIDADS_sat,vegfruit,alpha,0.00440993016768869,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.026876375347679105,False,False,False
MAIDADS_sat,vegfruit,tau,0.049863540545354273,False,False,False
MAIDADS_sat,pork,alpha,0.007687745133534312,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.060615274896727064,False,False,False
MAIDADS_sat,pork,tau,0.0260027342407209,False,False,False
MAIDADS_sat,meatother,alpha,5.838809230172565e-07,True,False,False
MAIDADS_sat,meatother,beta,0.0,True,False,True
MAIDADS_sat,meatother,delta,0.0003511058495207091,False,False,False
MAIDADS_sat,meatother,tau,0.07510732344940092,False,False,False
MAIDADS_sat,dairyegg,alpha,0.002219436934304169,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,6.144233693722572e-06,True,False,False
MAIDADS_sat,dairyegg,tau,0.022500111323191622,False,False,False
MAIDADS_sat,nonfood,alpha,0.984748176975716,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,45.64298746613761,False,False,False
MAIDADS_sat,nonfood,tau,0.04147995948852474,False,False,False
MAIDADS_sat,all,omega,0.8505361269972856,False,False,False
MAIDADS_sat,all,kappa,6.070796665989375,False,False,False
