variant,model,group,group_label_cn,items,alpha,beta,delta,tau,omega,kappa,nll,success,message
baseline_real_national_nonfood,AIDADS_sat,grain,粮食/主粮,grain,2.819510516701999e-07,0.0,0.41287758257197776,0.41287758257197776,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,oil,食用油,oil,1.1150966334464435e-05,0.0,0.1279448252054539,0.1279448252054539,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.0033004902595181644,0.0,0.036848293769605515,0.036848293769605515,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,pork,猪肉,pork,0.0038006415050065205,0.0,0.05265928424391786,0.05265928424391786,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,meatother,非猪肉肉类及水产品,beef+mutton+poultry+aquatic,1.780365319100035e-07,0.0,0.04197925823746284,0.04197925823746284,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,dairyegg,奶蛋类,milk+egg,0.0017322852173666321,0.0,0.007573946138617725,0.007573946138617725,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,,0.9911549720641908,1.0,2.8312755982041513,2.8312755982041513,0.0,7.105128564297859,-4340.667288587313,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,grain,粮食/主粮,grain,0.0009335430218855972,0.0,0.6501793319924807,0.17553348875778546,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,oil,食用油,oil,5.838859481325751e-07,0.0,0.1627935192254194,0.09980289276346058,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.00440993016768869,0.0,0.026876375347679105,0.049863540545354273,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,pork,猪肉,pork,0.007687745133534312,0.0,0.060615274896727064,0.0260027342407209,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,meatother,非猪肉肉类及水产品,beef+mutton+poultry+aquatic,5.838809230172565e-07,0.0,0.0003511058495207091,0.07510732344940092,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,dairyegg,奶蛋类,milk+egg,0.002219436934304169,0.0,6.144233693722572e-06,0.022500111323191622,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,,0.984748176975716,1.0,45.64298746613761,0.04147995948852474,0.8505361269972856,6.070796665989375,-4428.086265176008,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
