item_name,code,energy,protein,fat,carb,edible_share,kcal_per_100g_edible,kcal_per_kg_as_purchased
稻谷,RICE,0.0,7.4,0.8,77.9,70.0,348.40000000000003,2438.8
小麦,WHEA,0.0,11.2,1.5,73.6,70.0,352.7,2468.9
玉米,MAIZ,0.0,8.7,3.8,73.0,70.0,361.0,2527.0
大麦,BARL,0.0,10.2,1.4,73.3,70.0,346.59999999999997,2426.2
大豆,SOYS,0.0,35.0,16.0,34.2,100.0,420.8,4208.0
大豆油,SOYO,0.0,0.0,99.9,0.0,100.0,899.1,8991.0
菜籽油,RAPO,0.0,0.0,99.9,0.0,100.0,899.1,8991.0
花生,GRDS,0.0,24.8,13.0,10.0,75.0,256.2,1921.5
花生油,GRDO,0.0,0.0,99.9,0.0,100.0,899.1,8991.0
食糖,SUGA,0.0,0.0,0.0,99.9,100.0,399.6,3996.0
水果,FRTO,37.0,0.57,0.15,9.5,82.0,37.0,303.4
蔬菜,VEGT,24.9,1.53,0.19,5.36,87.0,24.9,216.63
猪肉,PIGM,0.0,13.2,37.0,2.4,93.0,395.40000000000003,3677.2200000000007
牛肉,CATM,0.0,19.9,4.2,2.0,99.0,125.4,1241.46
羊肉,SHGM,0.0,19.0,14.1,0.0,99.0,202.89999999999998,2008.7099999999998
鸡肉,CHKM,0.0,19.3,9.4,1.3,79.0,167.0,1319.3
鸡蛋,EGGS,0.0,13.3,8.8,2.8,94.0,143.6,1349.84
奶,MILK,0.0,3.0,3.2,3.4,100.0,54.4,544.0
水产品,FISH,0.0,16.6,3.3,1.6,74.0,102.50000000000001,758.5000000000001
高粱,SORG,0.0,10.4,3.1,74.7,70.0,368.3,2578.1
其他粮食，按小米算,OTGR,0.0,9.0,3.1,75.1,70.0,364.29999999999995,2550.1
马铃薯,POTA,0.0,2.0,0.2,17.2,94.0,78.6,738.84
