model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,5.116313109864672e-06,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.4109229970609294,False,False,False
AIDADS_sat,grain,tau,0.4109229970609294,False,False,False
AIDADS_sat,oil,alpha,1.754029062227298e-06,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.12688430014845542,False,False,False
AIDADS_sat,oil,tau,0.12688430014845542,False,False,False
AIDADS_sat,vegfruit,alpha,1.8645797201293032e-06,True,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.051423385025271856,False,False,False
AIDADS_sat,vegfruit,tau,0.051423385025271856,False,False,False
AIDADS_sat,pork,alpha,0.009634206655636636,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.05504921266211551,False,False,False
AIDADS_sat,pork,tau,0.05504921266211551,False,False,False
AIDADS_sat,aquatic,alpha,0.007436616564342094,False,False,False
AIDADS_sat,aquatic,beta,0.0,True,False,True
AIDADS_sat,aquatic,delta,0.00013777138777025646,False,False,False
AIDADS_sat,aquatic,tau,0.00013777138777025646,False,False,False
AIDADS_sat,othermeat,alpha,2.9264306919643878e-06,True,False,False
AIDADS_sat,othermeat,beta,0.0,True,False,True
AIDADS_sat,othermeat,delta,0.029591276468969592,False,False,False
AIDADS_sat,othermeat,tau,0.029591276468969592,False,False,False
AIDADS_sat,dairyegg,alpha,0.0024989874301978143,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.017477852524365504,False,False,False
AIDADS_sat,dairyegg,tau,0.017477852524365504,False,False,False
AIDADS_sat,nonfood,alpha,0.9804185279972392,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,2.9926575024370488,False,False,False
AIDADS_sat,nonfood,tau,2.9926575024370488,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,6.941933593205992,False,False,False
MAIDADS_sat,grain,alpha,6.651312987935813e-06,True,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.71863464576714,False,False,False
MAIDADS_sat,grain,tau,6.14421235332821e-06,True,False,False
MAIDADS_sat,oil,alpha,2.7935952805838755e-06,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.2166799555406856,False,False,False
MAIDADS_sat,oil,tau,0.003964318961064243,False,False,False
MAIDADS_sat,vegfruit,alpha,3.100418259707362e-06,True,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,5.6210599929640294e-05,True,False,False
MAIDADS_sat,vegfruit,tau,0.1212414771777145,False,False,False
MAIDADS_sat,pork,alpha,0.019151189022136576,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.08449017125135033,False,False,False
MAIDADS_sat,pork,tau,0.0005742855150828782,False,False,False
MAIDADS_sat,aquatic,alpha,0.013372389132630206,False,False,False
MAIDADS_sat,aquatic,beta,0.0,True,False,True
MAIDADS_sat,aquatic,delta,8.061869869221894e-05,True,False,False
MAIDADS_sat,aquatic,tau,0.00014338387382440196,False,False,False
MAIDADS_sat,othermeat,alpha,4.564294359751475e-06,True,False,False
MAIDADS_sat,othermeat,beta,0.0,True,False,True
MAIDADS_sat,othermeat,delta,0.0508118612751639,False,False,False
MAIDADS_sat,othermeat,tau,0.001376510296419432,False,False,False
MAIDADS_sat,dairyegg,alpha,0.004311659604748334,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,6.14421235332821e-06,True,False,False
MAIDADS_sat,dairyegg,tau,0.04303674304013825,False,False,False
MAIDADS_sat,nonfood,alpha,0.963147652619597,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,64.03696643643137,False,False,False
MAIDADS_sat,nonfood,tau,6.214239417816874,False,False,False
MAIDADS_sat,all,omega,0.5579748061173178,False,False,False
MAIDADS_sat,all,kappa,5.29965054836003,False,False,False
