model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,4.1766489893595317e-07,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.411055888457081,False,False,False
AIDADS_sat,grain,tau,0.411055888457081,False,False,False
AIDADS_sat,oil,alpha,1.0524479248528257e-05,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.12659464246613772,False,False,False
AIDADS_sat,oil,tau,0.12659464246613772,False,False,False
AIDADS_sat,vegfruit,alpha,3.630563349780371e-06,True,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.05145361091669043,False,False,False
AIDADS_sat,vegfruit,tau,0.05145361091669043,False,False,False
AIDADS_sat,pork,alpha,0.017680836802594437,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.05688693310449849,False,False,False
AIDADS_sat,pork,tau,0.05688693310449849,False,False,False
AIDADS_sat,aquatic,alpha,0.014030066264878516,False,False,False
AIDADS_sat,aquatic,beta,0.0,True,False,True
AIDADS_sat,aquatic,delta,8.94840365974586e-06,True,False,False
AIDADS_sat,aquatic,tau,8.94840365974586e-06,True,False,False
AIDADS_sat,othermeat,alpha,3.529993552578559e-07,True,False,False
AIDADS_sat,othermeat,beta,0.0,True,False,True
AIDADS_sat,othermeat,delta,0.029148737502029672,False,False,False
AIDADS_sat,othermeat,tau,0.029148737502029672,False,False,False
AIDADS_sat,dairyegg,alpha,0.004581713483497041,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.017978076753920758,False,False,False
AIDADS_sat,dairyegg,tau,0.017978076753920758,False,False,False
AIDADS_sat,nonfood,alpha,0.9636924577421777,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,68.02684010445711,False,False,False
AIDADS_sat,nonfood,tau,68.02684010445711,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,5.546583245457875,False,False,False
MAIDADS_sat,grain,alpha,8.069546924632652e-07,True,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.6064277130487113,False,False,False
MAIDADS_sat,grain,tau,0.14950978066882972,False,False,False
MAIDADS_sat,oil,alpha,1.2003388177698823e-05,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.12503551622774225,False,False,False
MAIDADS_sat,oil,tau,0.12217833092109319,False,False,False
MAIDADS_sat,vegfruit,alpha,4.674579695444036e-06,True,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.03982488669977356,False,False,False
MAIDADS_sat,vegfruit,tau,0.06571263622948108,False,False,False
MAIDADS_sat,pork,alpha,0.025558156010990138,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.047292701252184044,False,False,False
MAIDADS_sat,pork,tau,0.0438774303228259,False,False,False
MAIDADS_sat,aquatic,alpha,0.018210785553644786,False,False,False
MAIDADS_sat,aquatic,beta,0.0,True,False,True
MAIDADS_sat,aquatic,delta,6.144499670150548e-06,True,False,False
MAIDADS_sat,aquatic,tau,6.1448514304797675e-06,True,False,False
MAIDADS_sat,othermeat,alpha,1.1230665406021388e-06,True,False,False
MAIDADS_sat,othermeat,beta,0.0,True,False,True
MAIDADS_sat,othermeat,delta,0.03492803475038462,False,False,False
MAIDADS_sat,othermeat,tau,0.02060428820296287,False,False,False
MAIDADS_sat,dairyegg,alpha,0.004635115428847483,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,0.02595107078466485,False,False,False
MAIDADS_sat,dairyegg,tau,0.011542233340106145,False,False,False
MAIDADS_sat,nonfood,alpha,0.9515773350174114,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,16.964890532907553,False,False,False
MAIDADS_sat,nonfood,tau,199.36609395734547,False,False,False
MAIDADS_sat,all,omega,0.21390745119181362,False,False,False
MAIDADS_sat,all,kappa,5.2883666844573005,False,False,False
