variant,draw,group,alpha,beta,delta,tau,omega,kappa
baseline_real_national_nonfood,1,dairyegg,0.0029413725651508,0.0,2.9012911289723382e-05,0.0152185937411591,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,1,grain,0.0018255971443743,0.0,0.4951568522034323,0.3099204540550758,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,1,nonfood,0.9764402442002956,1.0,0.0023835430258596,0.1306323271756833,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,1,nonpork_meatsea,0.0006406128941547,0.0,6.1885671595569296e-06,0.0589521791155228,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,1,oil,0.0008685551330811,0.0,0.1412445224248316,0.1159700881298822,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,1,pork,0.0111588414387177,0.0,0.0668545642441373,0.0004261442077017,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,1,vegfruit,0.0061247766242253,0.0,0.0328969055133472,0.0408037581295695,1.3007033098695235,5.846741266903359
baseline_real_national_nonfood,2,dairyegg,0.0023975116599826,0.0,2.8430368842644246e-05,0.0175590512743657,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,2,grain,0.0022552278588433,0.0,0.4861867692143182,0.1962642934682078,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,2,nonfood,0.9830429200378054,1.0,0.0024847364905512,0.1298851730983167,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,2,nonpork_meatsea,0.0004805961734113,0.0,6.14421235332821e-06,0.0717961199862498,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,2,oil,0.0004805961734113,0.0,0.1169352679453161,0.1045490954734781,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,2,pork,0.0073077478850338,0.0,0.0693374456858464,0.0004731020552723,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,2,vegfruit,0.0040354002115118,0.0,0.0298486600872994,0.0465855338421899,1.113789519769415,6.30108061474913
baseline_real_national_nonfood,3,dairyegg,0.0016191229142611,0.0,2.984054522117546e-05,0.022349949559669,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,3,grain,5.045471452497058e-07,0.0,0.7417881908978468,0.0002191781854484,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,3,nonfood,0.9902637622087952,1.0,0.0026032738100738,0.1346710210172139,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,3,nonpork_meatsea,5.045471452497058e-07,0.0,6.328746585541405e-06,0.1030267220079277,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,3,oil,5.045471452497058e-07,0.0,0.1816136911116993,0.0669533666425486,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,3,pork,0.0050406582750915,0.0,0.0815263572023814,0.0009354156164557,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,3,vegfruit,0.0030749429604163,0.0,0.0264096545698313,0.0550726867078463,0.5831063803704616,6.680300200088772
baseline_real_national_nonfood,4,dairyegg,0.0025133255113102,0.0,3.40119309928875e-05,0.0193300292342815,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,4,grain,0.0020948081918125,0.0,0.6782526417167747,0.2745358519987789,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,4,nonfood,0.97740590892997,1.0,0.0028330949676479,0.1362574693560263,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,4,nonpork_meatsea,4.010618168114486e-06,0.0,6.14421235332821e-06,0.0548489221019059,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,4,oil,4.010618168114486e-06,0.0,0.1363673598146205,0.1293900655893301,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,4,pork,0.0122962912243554,0.0,0.0363479034382447,0.0320061278987395,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,4,vegfruit,0.0056816449062153,0.0,0.0254816739175249,0.0453110540304717,1.7479808094949547,5.6524534736939644
baseline_real_national_nonfood,5,dairyegg,0.0016277993455711,0.0,2.472965015391059e-05,0.0245141589469496,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,5,grain,0.0001997950847104,0.0,0.6817121160739165,0.0605081459895169,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,5,nonfood,0.9900398079410556,1.0,0.002553468816628,0.1384164031082665,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,5,nonpork_meatsea,0.000199432678041,0.0,6.14421235332821e-06,0.0855946178859026,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,5,oil,0.000199432678041,0.0,0.1410759156346731,0.1026963581753073,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,5,pork,0.0046244208054897,0.0,0.0751995294483306,0.0005377528876252,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,5,vegfruit,0.003109311467091,0.0,0.0277260709347588,0.0499889813246052,0.5649794007261154,6.67330223366788
baseline_real_national_nonfood,6,dairyegg,0.0020588724859602,0.0,3.000442141324157e-05,0.021376331269962,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,6,grain,9.32000507698686e-06,0.0,0.6164156733022645,0.2078580317197368,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,6,nonfood,0.9861081636431368,1.0,0.0025828628324758,0.1215168960422028,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,6,nonpork_meatsea,9.32000507698686e-06,0.0,6.14421235332821e-06,0.074226508810599,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,6,oil,9.32000507698686e-06,0.0,0.1590811465821234,0.1012545993761728,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,6,pork,0.0073245881247442,0.0,0.051693071620601,0.000517696519691,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,6,vegfruit,0.0044804157309279,0.0,0.0229923722811004,0.0496255584447767,0.7806155840836548,6.348666430793308
baseline_real_national_nonfood,7,dairyegg,0.0019280464734139,0.0,2.724064468712934e-05,0.017845009855841,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,7,grain,0.0013888583910635,0.0,0.6708650950879878,0.0416169723428325,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,7,nonfood,0.9851503437598004,1.0,0.0027643634042649,0.1313544836116082,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,7,nonpork_meatsea,0.000339451372557,0.0,6.774431467161234e-06,0.0926926786234914,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,7,oil,0.000339451372557,0.0,0.1843764705665468,0.0725968910387404,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,7,pork,0.0071835588390594,0.0,0.0897745163463681,0.0004714394670443,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,7,vegfruit,0.0036702897915484,0.0,0.0332787587655246,0.0436124976963216,0.7245333905391078,6.428636955042989
baseline_real_national_nonfood,8,dairyegg,0.0018783909167778,0.0,2.9835627081786957e-05,0.0259019371952578,1.0944953491524958,6.027186855468082
baseline_real_national_nonfood,8,grain,0.000270441555069,0.0,0.6683971038167922,0.2446788384384979,1.0944953491524958,6.027186855468082
baseline_real_national_nonfood,8,nonfood,0.98537501019362,1.0,0.0025076382894648,0.137773341429138,1.0944953491524958,6.027186855468082
baseline_real_national_nonfood,8,nonpork_meatsea,0.000270441555069,0.0,6.148443860780638e-06,0.0661342211286221,1.0944953491524958,6.027186855468082
baseline_real_national_nonfood,8,oil,0.000270441555069,0.0,0.1455871763404028,0.1233755163901407,1.0944953491524958,6.027186855468082
baseline_real_national_nonfood,8,pork,0.0099094270896912,0.0,0.0735889675593397,0.0004727968109292,1.0944953491524958,6.027186855468082
