model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,1.1342799612992447e-07,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.4129095384185671,False,False,False
AIDADS_sat,grain,tau,0.4129095384185671,False,False,False
AIDADS_sat,oil,alpha,5.529205100126181e-06,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.12798736292575952,False,False,False
AIDADS_sat,oil,tau,0.12798736292575952,False,False,False
AIDADS_sat,vegfruit,alpha,0.003285675895566254,False,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.036863896140832346,False,False,False
AIDADS_sat,vegfruit,tau,0.036863896140832346,False,False,False
AIDADS_sat,pork,alpha,0.003736912775047633,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.053353669073535205,False,False,False
AIDADS_sat,pork,tau,0.053353669073535205,False,False,False
AIDADS_sat,nonpork_meatsea,alpha,1.2703121350955522e-07,True,False,False
AIDADS_sat,nonpork_meatsea,beta,0.0,True,False,True
AIDADS_sat,nonpork_meatsea,delta,0.04197407105575197,False,False,False
AIDADS_sat,nonpork_meatsea,tau,0.04197407105575197,False,False,False
AIDADS_sat,dairyegg,alpha,0.0017242202330137542,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.007607802570524272,False,False,False
AIDADS_sat,dairyegg,tau,0.007607802570524272,False,False,False
AIDADS_sat,nonfood,alpha,0.9912474214320626,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,3.816087668262404,False,False,False
AIDADS_sat,nonfood,tau,3.816087668262404,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,7.117058455842585,False,False,False
MAIDADS_sat,grain,alpha,0.0009745906532673897,False,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.6586124258830395,False,False,False
MAIDADS_sat,grain,tau,0.16071239489566502,False,False,False
MAIDADS_sat,oil,alpha,7.165164480449271e-07,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.16441431332864367,False,False,False
MAIDADS_sat,oil,tau,0.09756070668921232,False,False,False
MAIDADS_sat,vegfruit,alpha,0.004506587802472321,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.026749474097377966,False,False,False
MAIDADS_sat,vegfruit,tau,0.05035332374740349,False,False,False
MAIDADS_sat,pork,alpha,0.007825833000227236,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.06502282021187612,False,False,False
MAIDADS_sat,pork,tau,0.022665104247472378,False,False,False
MAIDADS_sat,nonpork_meatsea,alpha,7.165164480449271e-07,True,False,False
MAIDADS_sat,nonpork_meatsea,beta,0.0,True,False,True
MAIDADS_sat,nonpork_meatsea,delta,0.0002648396385701204,False,False,False
MAIDADS_sat,nonpork_meatsea,tau,0.07634696166686009,False,False,False
MAIDADS_sat,dairyegg,alpha,0.0022580928632655413,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,1.0503062993047899e-05,True,False,False
MAIDADS_sat,dairyegg,tau,0.023037896797506976,False,False,False
MAIDADS_sat,nonfood,alpha,0.9844334626478715,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,85.34679013082226,False,False,False
MAIDADS_sat,nonfood,tau,0.040639869122800557,False,False,False
MAIDADS_sat,all,omega,0.776505965729161,False,False,False
MAIDADS_sat,all,kappa,6.052562183011419,False,False,False
